	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
																																																																
twinfamily	0.00408	-0.0516	-0.0115	-0.0298	0.0315	-0.0765	0.0220	-0.00104	-0.0485	-0.0632*	-0.000154	-0.00383	-0.0631	-0.0886	0.0321**	0.0220*	-0.0431*	-0.0354	-0.00223	-0.00177	-0.0360	-0.0210	0.00223	0.00430	-0.0565***	-0.0504***	-0.0124	-0.00918	-0.0891**	-0.0766**	-0.0226	-0.0183	-0.0447**	-0.0470***	0.00940	0.00502	-0.0897**	-0.0979***	-0.0163	-0.0146*	-0.0448*	-0.0527***	-0.000902	-0.00475	-0.101**	-0.115***	-0.0263	-0.0244*	-0.0196	-0.0309	0.00781	0.00321	-0.0275	-0.0536	0.000179	-0.00231	-0.00860	-0.0244	-0.00709	-0.0175	-0.0235	-0.0588	-0.00804	-0.0100
	(0.0618)	(0.0621)	(0.0258)	(0.0276)	(0.135)	(0.125)	(0.0381)	(0.0341)	(0.0331)	(0.0363)	(0.0186)	(0.0195)	(0.0551)	(0.0599)	(0.0149)	(0.0130)	(0.0234)	(0.0220)	(0.0151)	(0.0146)	(0.0433)	(0.0428)	(0.0197)	(0.0187)	(0.0189)	(0.0167)	(0.0165)	(0.0161)	(0.0413)	(0.0374)	(0.0164)	(0.0135)	(0.0187)	(0.0155)	(0.0137)	(0.0124)	(0.0436)	(0.0320)	(0.0110)	(0.00809)	(0.0227)	(0.0189)	(0.0187)	(0.0168)	(0.0462)	(0.0362)	(0.0158)	(0.0141)	(0.0236)	(0.0203)	(0.0153)	(0.0139)	(0.0501)	(0.0414)	(0.0115)	(0.0112)	(0.0221)	(0.0215)	(0.0283)	(0.0248)	(0.0479)	(0.0463)	(0.0119)	(0.0118)
malec	-0.0815**	-0.0844***	0.00467	0.00581	-0.189***	-0.191***	-0.0276***	-0.0230***	-0.0668***	-0.0583***	-0.00633	-0.00396	-0.134***	-0.117***	-0.0178*	-0.00801	-0.0666***	-0.0539**	0.000962	0.00471	-0.136***	-0.109**	-0.0259*	-0.0142	-0.0455*	-0.0296	0.0158*	0.0213**	-0.0938	-0.0605	-0.0230	-0.00538	-0.0150	0.00279	0.0294**	0.0370***	-0.0437	-0.00406	-0.0246	-0.00770	0.0161	0.0299	0.0427**	0.0485***	0.0437	0.0745	-0.00468	0.0115	0.0437	0.0518	0.0698***	0.0750***	0.105	0.125	0.00130	0.0133	0.0454	0.0548	0.0685***	0.0734***	0.0843	0.108	0.00389	0.0154
	(0.0325)	(0.0312)	(0.0158)	(0.0160)	(0.0511)	(0.0476)	(0.00792)	(0.00813)	(0.0201)	(0.0208)	(0.00721)	(0.00775)	(0.0336)	(0.0361)	(0.00993)	(0.0122)	(0.0194)	(0.0229)	(0.00872)	(0.00969)	(0.0366)	(0.0445)	(0.0145)	(0.0177)	(0.0266)	(0.0312)	(0.00890)	(0.00993)	(0.0576)	(0.0684)	(0.0208)	(0.0238)	(0.0247)	(0.0282)	(0.0130)	(0.0134)	(0.0524)	(0.0614)	(0.0186)	(0.0212)	(0.0301)	(0.0317)	(0.0162)	(0.0167)	(0.0734)	(0.0781)	(0.0232)	(0.0251)	(0.0324)	(0.0336)	(0.0136)	(0.0142)	(0.0760)	(0.0785)	(0.0189)	(0.0200)	(0.0341)	(0.0343)	(0.0181)	(0.0187)	(0.0763)	(0.0772)	(0.0164)	(0.0162)
age	0.0564**	0.0754***	0.184***	0.190***	0.979***	1.018***	0.0631***	0.0663***	0.0535**	0.0678**	0.186***	0.191***	0.982***	1.009***	0.0703**	0.0684**	0.0591***	0.0619***	0.233***	0.233***	0.924***	0.928***	0.0722***	0.0709***	0.0276**	0.0325***	0.252***	0.253***	0.715***	0.725***	0.0838***	0.0806***	0.00587	0.0106	0.285***	0.287***	0.622***	0.632***	0.109***	0.101***	-0.00893	-0.00564	0.286***	0.285***	0.581***	0.588***	0.127***	0.123***	-0.0211**	-0.0201**	0.290***	0.293***	0.559***	0.560***	0.120***	0.114***	-0.0340***	-0.0353***	0.300***	0.299***	0.591***	0.585***	0.113***	0.111***
	(0.0227)	(0.0215)	(0.0152)	(0.0141)	(0.0718)	(0.0705)	(0.0182)	(0.0185)	(0.0247)	(0.0271)	(0.0241)	(0.0228)	(0.0808)	(0.0892)	(0.0277)	(0.0270)	(0.0188)	(0.0190)	(0.0266)	(0.0256)	(0.110)	(0.113)	(0.0212)	(0.0208)	(0.0116)	(0.0114)	(0.0257)	(0.0256)	(0.119)	(0.120)	(0.0214)	(0.0209)	(0.00853)	(0.00940)	(0.0282)	(0.0288)	(0.111)	(0.113)	(0.0256)	(0.0258)	(0.00746)	(0.00745)	(0.0280)	(0.0283)	(0.0878)	(0.0879)	(0.0226)	(0.0219)	(0.00920)	(0.00933)	(0.0275)	(0.0282)	(0.0779)	(0.0753)	(0.0175)	(0.0171)	(0.00842)	(0.00877)	(0.0353)	(0.0352)	(0.0799)	(0.0797)	(0.0167)	(0.0162)
agesq	-0.00216**	-0.00257***	-0.00885***	-0.00898***	-0.00777**	-0.00863***	-0.00158***	-0.00155***	-0.00192*	-0.00222*	-0.00882***	-0.00892***	-0.00718*	-0.00774*	-0.00182***	-0.00167***	-0.00227***	-0.00223**	-0.0109***	-0.0108***	-0.00683	-0.00677	-0.00182***	-0.00173***	-0.000943*	-0.00120**	-0.0116***	-0.0117***	-0.00101	-0.00158	-0.00193***	-0.00185***	-0.000267	-0.000602	-0.0129***	-0.0131***	-0.000395	-0.00119	-0.00251***	-0.00233***	0.000172	-0.000141	-0.0129***	-0.0129***	-0.00135	-0.00207	-0.00288***	-0.00283***	0.000536	0.000336	-0.0130***	-0.0132***	-0.00231	-0.00277	-0.00269***	-0.00256***	0.000951**	0.000886**	-0.0133***	-0.0133***	-0.00529*	-0.00541*	-0.00249***	-0.00247***
	(0.000882)	(0.000798)	(0.000716)	(0.000686)	(0.00294)	(0.00285)	(0.000394)	(0.000393)	(0.00107)	(0.00112)	(0.00114)	(0.00109)	(0.00369)	(0.00388)	(0.000641)	(0.000623)	(0.000833)	(0.000846)	(0.00123)	(0.00119)	(0.00476)	(0.00486)	(0.000483)	(0.000475)	(0.000531)	(0.000523)	(0.00110)	(0.00110)	(0.00486)	(0.00488)	(0.000477)	(0.000465)	(0.000407)	(0.000475)	(0.00113)	(0.00115)	(0.00433)	(0.00447)	(0.000584)	(0.000595)	(0.000303)	(0.000302)	(0.00113)	(0.00113)	(0.00293)	(0.00298)	(0.000509)	(0.000494)	(0.000379)	(0.000383)	(0.00114)	(0.00116)	(0.00280)	(0.00272)	(0.000376)	(0.000370)	(0.000384)	(0.000402)	(0.00148)	(0.00147)	(0.00281)	(0.00283)	(0.000362)	(0.000353)
