	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
														
twinbindfamily2	-0.00413	-0.0116												
	(0.0428)	(0.0397)												
twinXpre2	-0.0660	-0.0552												
	(0.0630)	(0.0633)												
pre2	0.0129	0.00125												
	(0.00788)	(0.00694)												
malec	-0.00800	-0.00695	-0.00168	-0.000935	0.0153	0.0163	0.0407**	0.0440**	0.0171	0.0213	0.119***	0.125***	0.0314	0.0300
	(0.00589)	(0.00672)	(0.0151)	(0.0161)	(0.00975)	(0.0100)	(0.0185)	(0.0181)	(0.0197)	(0.0201)	(0.0301)	(0.0320)	(0.0351)	(0.0336)
age	-0.0280***	-0.0254***	-0.0353***	-0.0327***	-0.0313***	-0.0310***	-0.0212***	-0.0226***	-0.0213***	-0.0225***	-0.0269***	-0.0290***	-0.0153	-0.0169*
	(0.00483)	(0.00521)	(0.00564)	(0.00552)	(0.00555)	(0.00557)	(0.00707)	(0.00697)	(0.00711)	(0.00715)	(0.00678)	(0.00702)	(0.00998)	(0.00991)
agemay	-0.0226	-0.0244	-0.0460*	-0.0491*	-0.0526***	-0.0549***	-0.0517***	-0.0524***	-0.0397**	-0.0389**	-0.0401***	-0.0376**	-0.0290	-0.0239
	(0.0293)	(0.0286)	(0.0265)	(0.0266)	(0.0162)	(0.0160)	(0.0133)	(0.0137)	(0.0170)	(0.0169)	(0.0144)	(0.0155)	(0.0174)	(0.0176)
height		9.81e-05		0.000124		0.000123		0.000364***		0.000251		0.000574		0.000223
		(8.38e-05)		(0.000128)		(0.000105)		(0.000116)		(0.000155)		(0.000342)		(0.000222)
bmi		1.10e-05		2.03e-05		4.51e-05***		6.72e-05**		0.000111***		6.99e-05		0.000109
		(1.36e-05)		(1.64e-05)		(1.33e-05)		(2.72e-05)		(4.02e-05)		(4.54e-05)		(6.51e-05)
educf		0.00922***		0.0134***		0.0167***		0.0245***		0.0249***		0.0298***		0.0413***
		(0.00160)		(0.00326)		(0.00336)		(0.00475)		(0.00619)		(0.00831)		(0.00728)
poor1		-0.0901***		-0.0897***		-0.118***		-0.127***		-0.145***		-0.167***		-0.187***
		(0.0169)		(0.0149)		(0.0285)		(0.0303)		(0.0303)		(0.0579)		(0.0434)
twinbindfamily3			-0.150***	-0.138**										
			(0.0510)	(0.0550)										
twinXpre3			0.0938*	0.0953**										
			(0.0473)	(0.0436)										
pre3			0.0108	-0.00485										
			(0.0126)	(0.0126)										
twinbindfamily4					-0.0934	-0.0931								
					(0.0672)	(0.0655)								
twinXpre4					0.0777	0.0757								
					(0.0941)	(0.0941)								
pre4					-0.00909	-0.0171								
					(0.0136)	(0.0132)								
twinbindfamily5							-0.0675	-0.0639						
							(0.0584)	(0.0646)						
twinXpre5							0.0986	0.0952						
							(0.0919)	(0.0914)						
pre5							-0.0714***	-0.0710***						
							(0.0241)	(0.0248)						
twinbindfamily6									0.0504	0.0261				
									(0.148)	(0.159)				
twinXpre6									-0.0720	-0.0539				
									(0.180)	(0.195)				
pre6									-0.0731*	-0.0721*				
									(0.0410)	(0.0390)				
twinbindfamily7											0.292	0.246		
											(0.368)	(0.342)		
twinXpre7											-0.205	-0.203		
											(0.358)	(0.338)		
pre7											0.00620	0.0219		
											(0.0537)	(0.0484)		
twinbindfamily8													-0.395**	-0.458**
													(0.184)	(0.203)
twinXpre8													0.0451	0.103
													(0.252)	(0.261)
pre8													-0.0254	0.000128
													(0.0485)	(0.0455)
Constant	3.702**	3.368**	5.353***	4.959***	5.534***	5.259***	3.540***	2.711***	4.046***	3.213***	3.669***	2.174*	3.085***	1.699
	(1.551)	(1.566)	(1.314)	(1.481)	(0.945)	(1.029)	(0.807)	(0.918)	(1.025)	(1.084)	(0.878)	(1.216)	(1.061)	(1.283)
														
Observations	31,887	31,636	28,983	28,671	30,523	30,217	13,450	13,310	13,926	13,831	5,255	5,233	5,639	5,619
R-squared	0.585	0.594	0.454	0.470	0.314	0.332	0.227	0.251	0.181	0.208	0.219	0.244	0.156	0.188
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
