	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
														
twinbindfamily2	-0.0520	-0.108												
	(0.0916)	(0.0747)												
twinXpre2	-0.188	-0.115												
	(0.203)	(0.205)												
pre2	0.168***	0.0810***												
	(0.0273)	(0.0173)												
malec	-0.138***	-0.127***	-0.132*	-0.110	-0.0757	-0.0670	-0.0443	-0.0367	-0.000246	0.0208	0.168**	0.189**	-0.0338	-0.0353
	(0.0255)	(0.0281)	(0.0669)	(0.0711)	(0.0693)	(0.0721)	(0.0487)	(0.0473)	(0.0638)	(0.0629)	(0.0810)	(0.0838)	(0.0655)	(0.0616)
age	0.826***	0.846***	0.783***	0.796***	0.712***	0.712***	0.632***	0.624***	0.550***	0.543***	0.478***	0.468***	0.445***	0.439***
	(0.0270)	(0.0194)	(0.0293)	(0.0300)	(0.0270)	(0.0298)	(0.0283)	(0.0296)	(0.0322)	(0.0327)	(0.0430)	(0.0429)	(0.0344)	(0.0350)
agemay	0.0590***	0.0340**	0.0559***	0.0314***	0.0719***	0.0541***	0.0802***	0.0700***	0.0762***	0.0753***	0.0736***	0.0747***	0.0839***	0.0926***
	(0.0211)	(0.0136)	(0.0108)	(0.0116)	(0.00965)	(0.0109)	(0.00991)	(0.0107)	(0.0110)	(0.0114)	(0.0116)	(0.0100)	(0.0112)	(0.0120)
height		0.000728**		0.000648**		0.00124***		0.00117***		0.00151***		0.00185***		0.00146**
		(0.000310)		(0.000275)		(0.000165)		(0.000328)		(0.000353)		(0.000674)		(0.000619)
bmi		0.000223***		0.000289***		0.000397***		0.000376***		0.000584***		0.000537***		0.000400***
		(5.99e-05)		(9.83e-05)		(6.40e-05)		(5.52e-05)		(8.83e-05)		(0.000113)		(0.000117)
educf		0.0614***		0.0915***		0.104***		0.133***		0.120***		0.143***		0.180***
		(0.00864)		(0.0206)		(0.0192)		(0.0161)		(0.0264)		(0.0366)		(0.0206)
poor1		-0.441***		-0.375***		-0.590***		-0.668***		-0.698***		-0.577***		-0.627***
		(0.116)		(0.0585)		(0.0697)		(0.0901)		(0.105)		(0.0929)		(0.122)
twinbindfamily3			-0.148	-0.143										
			(0.157)	(0.161)										
twinXpre3			0.128	0.205										
			(0.309)	(0.239)										
pre3			0.140**	0.0347										
			(0.0621)	(0.0596)										
twinbindfamily4					-0.239*	-0.234								
					(0.135)	(0.140)								
twinXpre4					0.207*	0.244								
					(0.119)	(0.163)								
pre4					0.0571	0.00880								
					(0.0965)	(0.0861)								
twinbindfamily5							-0.336	-0.247						
							(0.222)	(0.189)						
twinXpre5							0.646**	0.573*						
							(0.320)	(0.334)						
pre5							-0.0538	-0.0318						
							(0.0590)	(0.0600)						
twinbindfamily6									0.0701	0.0194				
									(0.392)	(0.403)				
twinXpre6									-0.240	-0.206				
									(0.383)	(0.403)				
pre6									0.0214	0.0512				
									(0.0887)	(0.0753)				
twinbindfamily7											1.147***	0.889**		
											(0.352)	(0.350)		
twinXpre7											-0.457	-0.346		
											(0.420)	(0.406)		
pre7											0.109	0.153		
											(0.115)	(0.108)		
twinbindfamily8													-0.0965	-0.331
													(0.261)	(0.284)
twinXpre8													-0.340	-0.0223
													(0.422)	(0.493)
pre8													-0.0658	-0.00151
													(0.0874)	(0.0904)
Constant	-7.568***	-9.549***	-6.601***	-7.846***	-5.832***	-8.066***	-5.813***	-8.639***	-6.077***	-9.965***	-2.592	-7.140***	-2.704***	-8.491***
	(0.253)	(0.786)	(0.195)	(0.561)	(0.623)	(0.537)	(0.266)	(0.533)	(0.322)	(0.577)	(1.738)	(1.573)	(0.625)	(1.173)
														
Observations	46,383	46,076	43,041	42,647	44,511	44,082	19,849	19,642	20,404	20,263	8,064	8,003	8,290	8,232
R-squared	0.809	0.822	0.748	0.767	0.697	0.724	0.640	0.673	0.587	0.628	0.542	0.578	0.484	0.531
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
