	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool
														
twinbindfamily2	0.0220	0.00532												
	(0.0280)	(0.0272)												
twinXpre2	-0.0792	-0.0580												
	(0.0582)	(0.0648)												
pre2	0.0345***	0.0166***												
	(0.00927)	(0.00436)												
malec	-0.0137	-0.00647	-0.0226	-0.0147	-0.0145	-0.00418	-0.00986	-0.00202	0.0113	0.0247	0.0113	0.0219	-0.00320	0.00695
	(0.0107)	(0.0130)	(0.0194)	(0.0223)	(0.0186)	(0.0199)	(0.0159)	(0.0159)	(0.0170)	(0.0165)	(0.0186)	(0.0175)	(0.0133)	(0.0119)
age	-0.00559	-0.000232	0.000436	0.00395*	0.00537*	0.00704**	0.0145***	0.0127***	0.0145***	0.0134***	0.0168***	0.0162***	0.0173***	0.0158***
	(0.00420)	(0.00262)	(0.00198)	(0.00198)	(0.00302)	(0.00274)	(0.00301)	(0.00269)	(0.00304)	(0.00321)	(0.00406)	(0.00397)	(0.00342)	(0.00325)
agemay	0.0152***	0.0100***	0.0127***	0.00869***	0.0121***	0.00910***	0.0198***	0.0192***	0.0147***	0.0147***	0.0138***	0.0144***	0.00674*	0.00725**
	(0.00400)	(0.00253)	(0.00241)	(0.00246)	(0.00211)	(0.00223)	(0.00411)	(0.00417)	(0.00231)	(0.00208)	(0.00320)	(0.00324)	(0.00363)	(0.00320)
height		5.74e-05		0.000191***		0.000291***		0.000245**		0.000242**		0.000389***		0.000110
		(4.72e-05)		(6.53e-05)		(6.43e-05)		(0.000111)		(0.000108)		(0.000146)		(0.000145)
bmi		4.28e-05***		5.41e-05***		7.40e-05***		7.47e-05***		9.32e-05***		8.43e-05***		8.42e-05***
		(5.73e-06)		(1.77e-05)		(1.32e-05)		(1.41e-05)		(1.62e-05)		(2.60e-05)		(2.03e-05)
educf		0.0119***		0.0163***		0.0218***		0.0210***		0.0293***		0.0227***		0.0377***
		(0.00197)		(0.00307)		(0.00465)		(0.00620)		(0.00318)		(0.00800)		(0.00514)
poor1		-0.175***		-0.140***		-0.157***		-0.248***		-0.170***		-0.144***		-0.125***
		(0.0377)		(0.0220)		(0.0297)		(0.0316)		(0.0251)		(0.0309)		(0.0255)
twinbindfamily3			0.0552	0.0697										
			(0.0563)	(0.0532)										
twinXpre3			-0.0898	-0.0850										
			(0.0639)	(0.0623)										
pre3			0.00885	-0.0144										
			(0.0103)	(0.0109)										
twinbindfamily4					-0.00553	-0.0140								
					(0.0493)	(0.0511)								
twinXpre4					-0.0303	-0.0267								
					(0.0754)	(0.0788)								
pre4					0.0103	-0.00962								
					(0.0161)	(0.0124)								
twinbindfamily5							-0.134*	-0.0776						
							(0.0766)	(0.0834)						
twinXpre5							0.203*	0.143						
							(0.104)	(0.0912)						
pre5							-0.0378	-0.0443**						
							(0.0233)	(0.0220)						
twinbindfamily6									-0.148*	-0.133*				
									(0.0791)	(0.0760)				
twinXpre6									0.157	0.121				
									(0.0962)	(0.0825)				
pre6									0.0129	0.0192				
									(0.0343)	(0.0309)				
twinbindfamily7											-0.130***	-0.243***		
											(0.0440)	(0.0476)		
twinXpre7											0.165**	0.250***		
											(0.0667)	(0.0765)		
pre7											0.0109	-0.000420		
											(0.0369)	(0.0416)		
twinbindfamily8													-0.132**	-0.0784
													(0.0564)	(0.0496)
pre8													-0.0374	0.0131
													(0.0518)	(0.0518)
Constant	0.292***	0.0432	0.230***	-0.386*	-0.227	-0.839***	-1.023***	-1.350***	-1.418***	-1.958***	-0.781***	-1.808***	-0.385*	-1.097***
	(0.0781)	(0.123)	(0.0790)	(0.204)	(0.216)	(0.255)	(0.115)	(0.171)	(0.0699)	(0.184)	(0.0965)	(0.276)	(0.215)	(0.314)
														
Observations	19,328	19,151	21,006	20,677	19,918	19,626	8,163	8,026	8,894	8,808	3,874	3,834	4,311	4,283
R-squared	0.110	0.173	0.135	0.198	0.200	0.274	0.292	0.365	0.334	0.405	0.364	0.418	0.299	0.380
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
