	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
														
twinbindfamily2	-0.0453	-0.0730												
	(0.0498)	(0.0453)												
twinXpre2	-0.0780	-0.0417												
	(0.119)	(0.118)												
pre2	0.0783***	0.0365***												
	(0.0106)	(0.0117)												
malec	-0.0658***	-0.0603***	-0.0731*	-0.0632	-0.0361	-0.0315	-0.0118	-0.00917	-0.00668	0.00153	0.0656*	0.0737*	0.0233	0.0233
	(0.0159)	(0.0173)	(0.0368)	(0.0383)	(0.0334)	(0.0348)	(0.0263)	(0.0261)	(0.0285)	(0.0279)	(0.0380)	(0.0395)	(0.0355)	(0.0339)
age	0.00889	0.0183***	0.00565*	0.0132***	0.00515*	0.00558	0.00390	0.00112	-0.00186	-0.00421	-0.00428	-0.00841***	-0.00631	-0.00860*
	(0.00697)	(0.00447)	(0.00309)	(0.00369)	(0.00279)	(0.00338)	(0.00291)	(0.00293)	(0.00326)	(0.00301)	(0.00330)	(0.00306)	(0.00483)	(0.00474)
agemay	0.0252***	0.0137**	0.0290***	0.0172**	0.0404***	0.0322***	0.0412***	0.0357***	0.0389***	0.0381***	0.0317***	0.0326***	0.0375***	0.0417***
	(0.00822)	(0.00618)	(0.00742)	(0.00823)	(0.00816)	(0.00834)	(0.00648)	(0.00655)	(0.00610)	(0.00561)	(0.00608)	(0.00569)	(0.00529)	(0.00539)
height		0.000381***		0.000386***		0.000592***		0.000539***		0.000720***		0.000692**		0.000481**
		(0.000130)		(0.000108)		(9.52e-05)		(0.000183)		(0.000160)		(0.000298)		(0.000240)
bmi		9.20e-05***		0.000117***		0.000174***		0.000172***		0.000223***		0.000227***		0.000209***
		(1.45e-05)		(3.00e-05)		(2.78e-05)		(3.05e-05)		(4.76e-05)		(6.04e-05)		(6.42e-05)
educf		0.0293***		0.0467***		0.0520***		0.0656***		0.0550***		0.0559***		0.0700***
		(0.00260)		(0.00887)		(0.00941)		(0.00912)		(0.0127)		(0.0153)		(0.0113)
poor1		-0.223***		-0.203***		-0.310***		-0.313***		-0.298***		-0.247***		-0.295***
		(0.0489)		(0.0330)		(0.0376)		(0.0430)		(0.0441)		(0.0491)		(0.0516)
twinbindfamily3			-0.0820	-0.0864										
			(0.101)	(0.101)										
twinXpre3			0.0814	0.108										
			(0.146)	(0.122)										
pre3			0.0846**	0.0288										
			(0.0385)	(0.0338)										
twinbindfamily4					-0.127	-0.124								
					(0.0927)	(0.0879)								
twinXpre4					0.0875	0.103								
					(0.0776)	(0.0810)								
pre4					0.0256	1.57e-05								
					(0.0451)	(0.0393)								
twinbindfamily5							-0.129	-0.0828						
							(0.139)	(0.138)						
twinXpre5							0.200	0.160						
							(0.144)	(0.148)						
pre5							-0.0754**	-0.0655**						
							(0.0293)	(0.0259)						
twinbindfamily6									0.199	0.178				
									(0.179)	(0.168)				
twinXpre6									-0.236	-0.226				
									(0.171)	(0.165)				
pre6									-0.0728*	-0.0636*				
									(0.0424)	(0.0340)				
twinbindfamily7											0.596*	0.485		
											(0.307)	(0.309)		
twinXpre7											-0.312	-0.261		
											(0.328)	(0.327)		
pre7											-0.0295	-0.0128		
											(0.0556)	(0.0521)		
twinbindfamily8													-0.206	-0.300
													(0.258)	(0.264)
twinXpre8													0.00538	0.137
													(0.317)	(0.334)
pre8													-0.146***	-0.119**
													(0.0491)	(0.0466)
Constant	-2.246***	-3.229***	-2.016***	-2.701***	-2.354***	-3.388***	-2.253***	-3.567***	-2.008***	-3.767***	-1.297*	-3.072***	-2.285***	-4.613***
	(0.115)	(0.301)	(0.150)	(0.315)	(0.197)	(0.352)	(0.146)	(0.367)	(0.130)	(0.363)	(0.719)	(0.727)	(0.334)	(0.711)
														
Observations	46,435	46,127	43,118	42,723	44,601	44,172	19,889	19,682	20,476	20,334	8,090	8,029	8,322	8,264
R-squared	0.102	0.145	0.091	0.158	0.091	0.175	0.086	0.175	0.080	0.162	0.088	0.149	0.094	0.168
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
