	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
																																																								
twinbindfamily2	-0.0882	-0.0856	-0.0305	-0.0309	-0.152	-0.139	-0.0187	-0.0155																																																
	(0.0600)	(0.0695)	(0.0326)	(0.0320)	(0.112)	(0.130)	(0.0312)	(0.0356)																																																
malec	-0.0660***	-0.0592***	-0.00800	-0.00700	-0.138***	-0.124***	-0.0133	-0.00451	-0.0753**	-0.0629	-0.00193	-0.000428	-0.135**	-0.108	-0.0227	-0.0133	-0.0366	-0.0325	0.0154	0.0158	-0.0767	-0.0688	-0.0147	-0.00393	-0.0120	-0.00904	0.0405**	0.0436**	-0.0447	-0.0364	-0.0100	-0.00157	-0.00666	0.00219	0.0170	0.0224	-0.000321	0.0217	0.0114	0.0236	0.0656*	0.0730*	0.118***	0.124***	0.167**	0.187**	0.0116	0.0231	0.0244	0.0253	0.0315	0.0306	-0.0334	-0.0337	-0.00313	0.00593
	(0.0153)	(0.0172)	(0.00582)	(0.00678)	(0.0246)	(0.0279)	(0.0104)	(0.0131)	(0.0368)	(0.0386)	(0.0151)	(0.0163)	(0.0668)	(0.0724)	(0.0194)	(0.0230)	(0.0339)	(0.0359)	(0.00970)	(0.0102)	(0.0702)	(0.0741)	(0.0187)	(0.0200)	(0.0264)	(0.0261)	(0.0184)	(0.0177)	(0.0487)	(0.0473)	(0.0158)	(0.0152)	(0.0287)	(0.0283)	(0.0197)	(0.0206)	(0.0637)	(0.0638)	(0.0169)	(0.0168)	(0.0380)	(0.0396)	(0.0300)	(0.0321)	(0.0808)	(0.0830)	(0.0186)	(0.0176)	(0.0355)	(0.0338)	(0.0351)	(0.0331)	(0.0655)	(0.0612)	(0.0133)	(0.0117)
age	0.0124*	0.0198***	-0.0275***	-0.0253***	0.834***	0.849***	-0.00409	0.000304	0.00974**	0.0137***	-0.0347***	-0.0334***	0.789***	0.796***	0.000837	0.00300	0.00616**	0.00454	-0.0316***	-0.0321***	0.714***	0.711***	0.00570*	0.00625**	0.00188	-0.00130	-0.0233***	-0.0252***	0.631***	0.623***	0.0137***	0.0116***	-0.00336	-0.00586**	-0.0230***	-0.0245***	0.550***	0.543***	0.0148***	0.0136***	-0.00484	-0.00875***	-0.0269***	-0.0289***	0.480***	0.470***	0.0170***	0.0162***	-0.00854*	-0.0107**	-0.0157	-0.0171*	0.444***	0.439***	0.0172***	0.0155***
	(0.00694)	(0.00483)	(0.00467)	(0.00492)	(0.0261)	(0.0201)	(0.00379)	(0.00262)	(0.00392)	(0.00458)	(0.00563)	(0.00546)	(0.0316)	(0.0330)	(0.00212)	(0.00214)	(0.00301)	(0.00373)	(0.00553)	(0.00553)	(0.0295)	(0.0320)	(0.00288)	(0.00286)	(0.00283)	(0.00296)	(0.00706)	(0.00698)	(0.0288)	(0.0297)	(0.00281)	(0.00269)	(0.00308)	(0.00282)	(0.00700)	(0.00697)	(0.0330)	(0.0333)	(0.00290)	(0.00306)	(0.00317)	(0.00287)	(0.00685)	(0.00696)	(0.0426)	(0.0425)	(0.00410)	(0.00408)	(0.00486)	(0.00482)	(0.00978)	(0.00978)	(0.0339)	(0.0342)	(0.00346)	(0.00327)
agemay	0.0215**	0.0127*	-0.0232	-0.0245	0.0509**	0.0323**	0.0137***	0.00945***	0.0248***	0.0167*	-0.0465*	-0.0486*	0.0490***	0.0325**	0.0123***	0.00982***	0.0394***	0.0331***	-0.0524***	-0.0541***	0.0696***	0.0554***	0.0117***	0.00984***	0.0432***	0.0376***	-0.0498***	-0.0499***	0.0814***	0.0708***	0.0206***	0.0194***	0.0406***	0.0393***	-0.0381**	-0.0382**	0.0758***	0.0731***	0.0145***	0.0143***	0.0324***	0.0326***	-0.0401***	-0.0384**	0.0717***	0.0705***	0.0136***	0.0139***	0.0396***	0.0438***	-0.0286	-0.0244	0.0850***	0.0932***	0.00686*	0.00736**
	(0.00841)	(0.00659)	(0.0290)	(0.0285)	(0.0206)	(0.0142)	(0.00362)	(0.00241)	(0.00816)	(0.00890)	(0.0265)	(0.0264)	(0.0126)	(0.0137)	(0.00237)	(0.00232)	(0.00825)	(0.00795)	(0.0163)	(0.0159)	(0.0108)	(0.0115)	(0.00201)	(0.00207)	(0.00674)	(0.00604)	(0.0131)	(0.0134)	(0.0105)	(0.0103)	(0.00422)	(0.00394)	(0.00627)	(0.00535)	(0.0169)	(0.0165)	(0.0111)	(0.0107)	(0.00235)	(0.00211)	(0.00608)	(0.00540)	(0.0140)	(0.0151)	(0.0116)	(0.00907)	(0.00324)	(0.00323)	(0.00535)	(0.00539)	(0.0175)	(0.0176)	(0.0107)	(0.0114)	(0.00366)	(0.00315)
