	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
														
finaltwinfamily	-0.0174	-0.0254	-0.0282	-0.0188	-0.0452	-0.0436	0.0327	0.0275	0.135**	0.122**	0.136**	0.134**	-0.0651	-0.0593
	(0.0306)	(0.0284)	(0.0294)	(0.0285)	(0.0317)	(0.0309)	(0.0355)	(0.0367)	(0.0629)	(0.0588)	(0.0540)	(0.0531)	(0.114)	(0.102)
pretwinXfinaltwin	-0.0325	-0.0212	0.0139	0.00665	0.0510	0.0410	-0.0351	-0.0332	-0.108	-0.114*	-0.170**	-0.176***	0.0651	0.0546
	(0.0497)	(0.0492)	(0.0329)	(0.0346)	(0.0413)	(0.0424)	(0.0353)	(0.0359)	(0.0653)	(0.0667)	(0.0649)	(0.0652)	(0.106)	(0.0922)
pretwin_f	0.0171***	0.00424	0.00811	-0.0100*	-0.00933	-0.0171*	-0.0329***	-0.0286***	-0.0562***	-0.0460***	-0.0530***	-0.0365**	-0.0821***	-0.0640***
	(0.00560)	(0.00543)	(0.00578)	(0.00583)	(0.0137)	(0.0101)	(0.0101)	(0.00992)	(0.0163)	(0.0164)	(0.0163)	(0.0165)	(0.0205)	(0.0217)
malec	-0.00693	-0.00497	0.000156	0.00276	0.0136	0.0189*	0.0273**	0.0340**	0.0387**	0.0434**	0.0653***	0.0709***	0.0580***	0.0644***
	(0.00718)	(0.00775)	(0.00896)	(0.00969)	(0.00876)	(0.00960)	(0.0130)	(0.0134)	(0.0160)	(0.0163)	(0.0136)	(0.0139)	(0.0175)	(0.0181)
age	-0.0260***	-0.0235***	-0.0296***	-0.0272***	-0.0288***	-0.0287***	-0.0258***	-0.0271***	-0.0252***	-0.0271***	-0.0269***	-0.0293***	-0.0256**	-0.0276***
	(0.00487)	(0.00493)	(0.00556)	(0.00549)	(0.00600)	(0.00587)	(0.00697)	(0.00682)	(0.00779)	(0.00777)	(0.00836)	(0.00834)	(0.00973)	(0.00976)
agemay	-0.0243	-0.0273	-0.0373*	-0.0415**	-0.0394**	-0.0420**	-0.0386**	-0.0394**	-0.0321**	-0.0310**	-0.0286*	-0.0263*	-0.0235	-0.0193
	(0.0216)	(0.0211)	(0.0207)	(0.0204)	(0.0190)	(0.0189)	(0.0165)	(0.0165)	(0.0153)	(0.0149)	(0.0150)	(0.0149)	(0.0144)	(0.0143)
height		0.000130*		0.000115		0.000137**		0.000264***		0.000176*		0.000153**		0.000300***
		(7.04e-05)		(7.17e-05)		(6.07e-05)		(9.25e-05)		(0.000104)		(6.81e-05)		(0.000105)
bmi		2.95e-05***		3.21e-05**		6.50e-05***		7.89e-05***		9.46e-05***		0.000107***		0.000109***
		(7.92e-06)		(1.53e-05)		(2.00e-05)		(1.75e-05)		(2.96e-05)		(2.71e-05)		(2.25e-05)
educf		0.0117***		0.0164***		0.0204***		0.0222***		0.0244***		0.0293***		0.0322***
		(0.00193)		(0.00345)		(0.00354)		(0.00384)		(0.00372)		(0.00288)		(0.00355)
poor1		-0.108***		-0.118***		-0.138***		-0.148***		-0.149***		-0.162***		-0.172***
		(0.0177)		(0.0182)		(0.0213)		(0.0236)		(0.0199)		(0.0229)		(0.0212)
Constant	1.827	1.605	4.899***	4.727***	4.140***	3.770***	3.268***	2.528**	3.421***	2.752***	3.096***	2.347**	2.309**	1.130
	(1.226)	(1.222)	(1.182)	(1.208)	(1.118)	(1.200)	(1.023)	(1.108)	(0.962)	(1.022)	(0.943)	(0.983)	(0.887)	(0.960)
														
Observations	62,753	62,209	96,130	95,144	96,113	95,144	86,873	86,009	74,238	73,641	59,650	59,140	45,749	45,349
R-squared	0.500	0.514	0.400	0.420	0.300	0.325	0.238	0.263	0.211	0.236	0.198	0.225	0.178	0.203
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
