	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
														
finaltwinfamily	-0.0260	-0.0609	-0.130	-0.114	-0.255**	-0.251**	-0.230*	-0.234*	-0.0788	-0.118	-0.0403	-0.101	-0.219	-0.138
	(0.0742)	(0.0793)	(0.0943)	(0.0880)	(0.108)	(0.0966)	(0.130)	(0.117)	(0.170)	(0.172)	(0.0944)	(0.0956)	(0.206)	(0.191)
pretwinXfinaltwin	-0.0826	-0.0329	0.159	0.159*	0.300**	0.272**	0.215*	0.215*	0.186	0.155	0.0279	0.0343	0.190	0.104
	(0.0756)	(0.0737)	(0.101)	(0.0871)	(0.121)	(0.130)	(0.119)	(0.109)	(0.181)	(0.188)	(0.0946)	(0.113)	(0.206)	(0.189)
pretwin_f	0.187***	0.104***	0.193***	0.0853	0.0119	-0.0384	-0.0377	-0.0215	-0.0331	0.0325	-0.0410	0.0199	-0.0681	-0.000282
	(0.0228)	(0.0264)	(0.0600)	(0.0625)	(0.107)	(0.0895)	(0.100)	(0.0856)	(0.0963)	(0.0936)	(0.0989)	(0.0964)	(0.0807)	(0.0700)
malec	-0.133***	-0.120***	-0.130***	-0.110**	-0.0934	-0.0633	-0.0437	-0.00627	0.0398	0.0689	0.101	0.122	0.0733	0.104
	(0.0336)	(0.0357)	(0.0370)	(0.0432)	(0.0567)	(0.0658)	(0.0522)	(0.0597)	(0.0714)	(0.0761)	(0.0772)	(0.0798)	(0.0735)	(0.0748)
age	0.802***	0.817***	0.750***	0.763***	0.691***	0.690***	0.614***	0.606***	0.551***	0.539***	0.504***	0.493***	0.463***	0.453***
	(0.0212)	(0.0183)	(0.0207)	(0.0211)	(0.0237)	(0.0266)	(0.0274)	(0.0288)	(0.0300)	(0.0303)	(0.0326)	(0.0326)	(0.0325)	(0.0323)
agemay	0.0662***	0.0413***	0.0712***	0.0432***	0.0693***	0.0495***	0.0808***	0.0702***	0.0816***	0.0800***	0.0767***	0.0798***	0.0765***	0.0837***
	(0.0149)	(0.00978)	(0.0103)	(0.00946)	(0.00871)	(0.00994)	(0.00987)	(0.0109)	(0.00873)	(0.00904)	(0.00755)	(0.00908)	(0.00668)	(0.00764)
height		0.000699***		0.000836***		0.000970***		0.00111***		0.000789***		0.000883***		0.000630***
		(0.000244)		(0.000285)		(0.000160)		(0.000180)		(0.000215)		(0.000196)		(0.000212)
bmi		0.000269***		0.000307***		0.000414***		0.000506***		0.000560***		0.000533***		0.000585***
		(4.93e-05)		(5.64e-05)		(7.81e-05)		(5.47e-05)		(7.10e-05)		(6.85e-05)		(5.78e-05)
educf		0.0683***		0.0943***		0.117***		0.126***		0.135***		0.146***		0.161***
		(0.00872)		(0.0159)		(0.0183)		(0.0181)		(0.0193)		(0.0161)		(0.0147)
poor1		-0.480***		-0.489***		-0.561***		-0.651***		-0.719***		-0.735***		-0.683***
		(0.0919)		(0.0544)		(0.0617)		(0.0638)		(0.0592)		(0.0585)		(0.0664)
Constant	-10.25***	-12.00***	-7.187***	-8.573***	-5.218***	-7.862***	-4.423***	-7.501***	-5.015***	-7.806***	-2.609***	-6.232***	-3.981***	-6.956***
	(0.188)	(0.495)	(0.801)	(1.012)	(0.221)	(0.455)	(0.437)	(0.599)	(0.217)	(0.434)	(0.309)	(0.376)	(0.429)	(0.439)
														
Observations	83,424	82,784	138,968	137,743	147,604	146,284	135,960	134,706	117,932	117,010	95,302	94,516	72,391	71,734
R-squared	0.798	0.814	0.746	0.768	0.678	0.710	0.606	0.643	0.553	0.592	0.516	0.554	0.476	0.514
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
