	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool
														
finaltwinfamily	0.0463*	0.0269	-0.00783	0.00406	-0.0454	-0.0484	-0.0473	-0.0378	-0.0989	-0.0736	-0.180**	-0.191**	-0.159	-0.0822
	(0.0241)	(0.0219)	(0.0430)	(0.0470)	(0.0353)	(0.0335)	(0.0608)	(0.0638)	(0.0766)	(0.0715)	(0.0700)	(0.0790)	(0.153)	(0.140)
pretwinXfinaltwin	-0.0554**	-0.0403	0.0220	0.0109	0.0367	0.0316	0.0489	0.0471	0.103	0.0622	0.183**	0.181**	0.147	0.0851
	(0.0257)	(0.0310)	(0.0360)	(0.0418)	(0.0360)	(0.0331)	(0.0509)	(0.0582)	(0.0723)	(0.0671)	(0.0803)	(0.0859)	(0.154)	(0.142)
pretwin_f	0.0368***	0.0176***	0.0318***	0.00469	-0.00296	-0.0215***	-0.0207	-0.0243*	-0.0410*	-0.0314	-0.0605***	-0.0584***	-0.111***	-0.0959***
	(0.00643)	(0.00371)	(0.00997)	(0.00973)	(0.0126)	(0.00755)	(0.0190)	(0.0136)	(0.0221)	(0.0190)	(0.0165)	(0.0158)	(0.0210)	(0.0167)
malec	-0.0181*	-0.00937	-0.0252*	-0.0152	-0.0212	-0.00525	-0.0247	-0.00843	-0.00749	0.00774	0.00100	0.0133	0.00442	0.0173
	(0.00982)	(0.0117)	(0.0144)	(0.0172)	(0.0205)	(0.0232)	(0.0184)	(0.0207)	(0.0228)	(0.0246)	(0.0189)	(0.0200)	(0.0158)	(0.0158)
age	-0.00378	0.00119	-0.00195	0.00201	0.00630**	0.00753***	0.00896***	0.00845***	0.0126***	0.0110***	0.0134***	0.0124***	0.0146***	0.0135***
	(0.00387)	(0.00286)	(0.00231)	(0.00203)	(0.00283)	(0.00268)	(0.00297)	(0.00275)	(0.00320)	(0.00297)	(0.00343)	(0.00309)	(0.00311)	(0.00296)
agemay	0.0162***	0.0111***	0.0168***	0.0118***	0.0129***	0.0101***	0.0165***	0.0147***	0.0133***	0.0128***	0.0118***	0.0115***	0.0106***	0.0111***
	(0.00363)	(0.00249)	(0.00179)	(0.00173)	(0.00153)	(0.00184)	(0.00269)	(0.00249)	(0.00199)	(0.00176)	(0.00166)	(0.00174)	(0.00175)	(0.00180)
height		0.000114***		0.000255***		0.000206***		0.000199***		0.000215***		0.000145***		0.000167***
		(4.03e-05)		(7.79e-05)		(5.34e-05)		(4.29e-05)		(5.89e-05)		(4.51e-05)		(5.43e-05)
bmi		5.10e-05***		5.48e-05***		7.70e-05***		9.34e-05***		0.000100***		8.67e-05***		0.000109***
		(9.23e-06)		(9.30e-06)		(1.37e-05)		(1.03e-05)		(1.71e-05)		(1.59e-05)		(1.48e-05)
educf		0.0137***		0.0178***		0.0242***		0.0273***		0.0252***		0.0306***		0.0323***
		(0.00190)		(0.00263)		(0.00348)		(0.00292)		(0.00534)		(0.00307)		(0.00318)
poor1		-0.171***		-0.156***		-0.159***		-0.180***		-0.174***		-0.152***		-0.148***
		(0.0358)		(0.0210)		(0.0233)		(0.0194)		(0.0161)		(0.0171)		(0.0174)
Constant	0.619***	0.313**	0.0541	-0.454	-0.452***	-0.785***	-0.650***	-1.213***	-0.661***	-1.312***	-0.628***	-1.164***	-0.482***	-1.051***
	(0.0686)	(0.124)	(0.488)	(0.450)	(0.0597)	(0.116)	(0.116)	(0.133)	(0.0794)	(0.180)	(0.0733)	(0.129)	(0.0549)	(0.126)
														
Observations	33,177	32,825	58,530	57,724	61,534	60,697	56,978	56,117	53,643	53,037	47,791	47,202	39,433	38,934
R-squared	0.196	0.261	0.177	0.248	0.191	0.274	0.241	0.320	0.278	0.342	0.292	0.352	0.270	0.330
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
