	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
														
finaltwinfamily	-0.0331	-0.0557	-0.107*	-0.0958*	-0.136**	-0.131**	-0.155**	-0.155**	-0.0605	-0.0840	0.00926	-0.0171	-0.153	-0.143
	(0.0455)	(0.0492)	(0.0590)	(0.0545)	(0.0655)	(0.0583)	(0.0711)	(0.0664)	(0.0751)	(0.0693)	(0.0721)	(0.0717)	(0.111)	(0.0956)
pretwinXfinaltwin	-0.0632	-0.0352	0.0840	0.0771	0.145**	0.130*	0.143**	0.142**	0.0989	0.0873	-0.0606	-0.0591	0.147	0.133
	(0.0422)	(0.0429)	(0.0642)	(0.0572)	(0.0709)	(0.0733)	(0.0651)	(0.0624)	(0.0774)	(0.0784)	(0.0670)	(0.0745)	(0.0989)	(0.0873)
pretwin_f	0.0831***	0.0398**	0.0915**	0.0355	-0.00657	-0.0328	-0.0597	-0.0559**	-0.0822**	-0.0567**	-0.110***	-0.0825**	-0.111***	-0.0830***
	(0.0137)	(0.0165)	(0.0344)	(0.0317)	(0.0476)	(0.0368)	(0.0360)	(0.0271)	(0.0315)	(0.0275)	(0.0374)	(0.0357)	(0.0259)	(0.0208)
malec	-0.0655***	-0.0586***	-0.0624***	-0.0528**	-0.0461*	-0.0316	-0.0152	0.00165	0.0128	0.0256	0.0406	0.0492	0.0433	0.0555
	(0.0199)	(0.0205)	(0.0193)	(0.0222)	(0.0267)	(0.0306)	(0.0246)	(0.0276)	(0.0296)	(0.0311)	(0.0331)	(0.0343)	(0.0331)	(0.0334)
age	0.00511	0.0136***	0.00171	0.00834***	0.00593***	0.00610**	0.00140	-0.00153	-0.00270*	-0.00719***	-0.00605***	-0.0102***	-0.00943***	-0.0126***
	(0.00457)	(0.00375)	(0.00225)	(0.00231)	(0.00200)	(0.00284)	(0.00228)	(0.00262)	(0.00143)	(0.00155)	(0.00157)	(0.00161)	(0.00230)	(0.00242)
agemay	0.0364***	0.0235***	0.0402***	0.0263***	0.0378***	0.0286***	0.0388***	0.0337***	0.0373***	0.0368***	0.0328***	0.0347***	0.0329***	0.0360***
	(0.00687)	(0.00601)	(0.00740)	(0.00729)	(0.00693)	(0.00725)	(0.00617)	(0.00641)	(0.00470)	(0.00449)	(0.00428)	(0.00455)	(0.00382)	(0.00393)
height		0.000370***		0.000405***		0.000524***		0.000510***		0.000382***		0.000404***		0.000298***
		(9.92e-05)		(0.000112)		(6.90e-05)		(9.79e-05)		(9.66e-05)		(8.29e-05)		(9.29e-05)
bmi		0.000113***		0.000133***		0.000174***		0.000204***		0.000211***		0.000217***		0.000235***
		(1.50e-05)		(2.13e-05)		(3.06e-05)		(2.48e-05)		(3.15e-05)		(2.82e-05)		(2.46e-05)
educf		0.0362***		0.0486***		0.0575***		0.0598***		0.0603***		0.0630***		0.0656***
		(0.00372)		(0.00720)		(0.00763)		(0.00740)		(0.00812)		(0.00668)		(0.00657)
poor1		-0.240***		-0.253***		-0.278***		-0.291***		-0.317***		-0.333***		-0.284***
		(0.0460)		(0.0317)		(0.0294)		(0.0289)		(0.0219)		(0.0197)		(0.0223)
Constant	-2.382***	-3.241***	-1.789***	-2.419***	-2.039***	-3.360***	-1.688***	-3.053***	-1.003***	-2.213***	-0.833***	-2.412***	-1.925***	-3.195***
	(0.0838)	(0.222)	(0.507)	(0.591)	(0.170)	(0.319)	(0.234)	(0.392)	(0.0964)	(0.255)	(0.157)	(0.254)	(0.129)	(0.252)
														
Observations	85,449	84,782	140,098	138,853	148,363	147,036	136,497	135,225	118,359	117,427	95,649	94,857	72,694	72,035
R-squared	0.096	0.155	0.066	0.144	0.050	0.144	0.044	0.131	0.047	0.126	0.050	0.126	0.058	0.123
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
