	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
																																																								
finaltwinfamily	-0.0720*	-0.0732	-0.0332	-0.0342*	-0.0881	-0.0833	0.0165	0.00625	-0.0682**	-0.0623**	-0.0213	-0.0177	-0.0597	-0.0458	0.00254	0.00626	-0.0300	-0.0293	-0.00833	-0.0112	-0.0372	-0.0412	-0.0177	-0.0214	-0.0359	-0.0368	0.00895	0.00668	-0.0535	-0.0587	-0.00411	0.00325	0.0277	-0.0128	0.0538*	0.0322	0.0777	-0.00416	-0.00526	-0.0176	-0.0335	-0.0551*	-3.13e-05	-0.00655	-0.0135	-0.0614	-0.00705	-0.0183	-0.0191	-0.0242	-0.00371	-0.01000	-0.0539	-0.0500	-0.0149	0.00240
	(0.0421)	(0.0495)	(0.0200)	(0.0204)	(0.0717)	(0.0879)	(0.0198)	(0.0163)	(0.0320)	(0.0297)	(0.0204)	(0.0206)	(0.0533)	(0.0510)	(0.0261)	(0.0241)	(0.0308)	(0.0288)	(0.0173)	(0.0201)	(0.0614)	(0.0570)	(0.0250)	(0.0234)	(0.0280)	(0.0265)	(0.0213)	(0.0206)	(0.0519)	(0.0488)	(0.0258)	(0.0228)	(0.0356)	(0.0299)	(0.0299)	(0.0270)	(0.0781)	(0.0649)	(0.0210)	(0.0207)	(0.0371)	(0.0303)	(0.0296)	(0.0252)	(0.0784)	(0.0626)	(0.0181)	(0.0183)	(0.0477)	(0.0465)	(0.0461)	(0.0441)	(0.0774)	(0.0805)	(0.0210)	(0.0216)
malec	-0.0660***	-0.0578***	-0.00701	-0.00473	-0.134***	-0.119***	-0.0179*	-0.00797	-0.0649***	-0.0524**	-5.14e-05	0.00362	-0.136***	-0.110**	-0.0259*	-0.0140	-0.0461*	-0.0301	0.0137	0.0194*	-0.0939	-0.0607	-0.0212	-0.00386	-0.0145	0.00327	0.0278**	0.0351**	-0.0433	-0.00403	-0.0244	-0.00749	0.0137	0.0280	0.0395**	0.0456***	0.0402	0.0721	-0.00718	0.00924	0.0414	0.0496	0.0656***	0.0705***	0.102	0.122	0.00124	0.0136	0.0442	0.0544	0.0586***	0.0641***	0.0738	0.0998	0.00462	0.0169
	(0.0195)	(0.0202)	(0.00712)	(0.00765)	(0.0326)	(0.0350)	(0.00951)	(0.0118)	(0.0192)	(0.0226)	(0.00892)	(0.00992)	(0.0364)	(0.0441)	(0.0143)	(0.0176)	(0.0275)	(0.0318)	(0.00883)	(0.00988)	(0.0583)	(0.0686)	(0.0208)	(0.0237)	(0.0251)	(0.0286)	(0.0131)	(0.0136)	(0.0530)	(0.0618)	(0.0186)	(0.0213)	(0.0299)	(0.0315)	(0.0160)	(0.0166)	(0.0721)	(0.0771)	(0.0230)	(0.0249)	(0.0336)	(0.0346)	(0.0136)	(0.0142)	(0.0778)	(0.0800)	(0.0191)	(0.0202)	(0.0332)	(0.0336)	(0.0175)	(0.0182)	(0.0738)	(0.0750)	(0.0158)	(0.0158)
age	0.00861*	0.0152***	-0.0253***	-0.0232***	0.810***	0.822***	-0.00220	0.00209	0.00586**	0.00916***	-0.0292***	-0.0282***	0.759***	0.764***	-0.000473	0.00187	0.00583**	0.00402	-0.0291***	-0.0298***	0.691***	0.687***	0.00624**	0.00631**	-0.000141	-0.00368	-0.0269***	-0.0285***	0.613***	0.604***	0.00847***	0.00772**	-0.00439***	-0.00876***	-0.0267***	-0.0287***	0.550***	0.539***	0.0120***	0.0105***	-0.00814***	-0.0122***	-0.0283***	-0.0306***	0.503***	0.493***	0.0129***	0.0118***	-0.0111***	-0.0141***	-0.0273***	-0.0290***	0.462***	0.453***	0.0139***	0.0126***
	(0.00485)	(0.00370)	(0.00474)	(0.00483)	(0.0213)	(0.0183)	(0.00365)	(0.00289)	(0.00292)	(0.00300)	(0.00552)	(0.00543)	(0.0223)	(0.0227)	(0.00255)	(0.00241)	(0.00277)	(0.00343)	(0.00586)	(0.00575)	(0.0256)	(0.0277)	(0.00286)	(0.00285)	(0.00273)	(0.00332)	(0.00690)	(0.00674)	(0.0283)	(0.0295)	(0.00314)	(0.00291)	(0.00153)	(0.00194)	(0.00762)	(0.00757)	(0.0302)	(0.0304)	(0.00329)	(0.00317)	(0.00196)	(0.00208)	(0.00838)	(0.00831)	(0.0325)	(0.0325)	(0.00348)	(0.00323)	(0.00247)	(0.00256)	(0.00957)	(0.00952)	(0.0324)	(0.0322)	(0.00317)	(0.00306)
agemay	0.0324***	0.0220***	-0.0251	-0.0275	0.0572***	0.0368***	0.0147***	0.0100***	0.0359***	0.0252***	-0.0377*	-0.0406*	0.0623***	0.0407***	0.0155***	0.0120***	0.0380***	0.0307***	-0.0391**	-0.0413**	0.0686***	0.0524***	0.0130***	0.0113***	0.0404***	0.0351***	-0.0376**	-0.0390**	0.0818***	0.0703***	0.0170***	0.0154***	0.0392***	0.0378***	-0.0306*	-0.0302**	0.0823***	0.0785***	0.0139***	0.0129***	0.0351***	0.0363***	-0.0273*	-0.0257*	0.0775***	0.0788***	0.0123***	0.0118***	0.0347***	0.0376***	-0.0220	-0.0182	0.0776***	0.0840***	0.0112***	0.0119***
	(0.00726)	(0.00609)	(0.0214)	(0.0211)	(0.0152)	(0.0102)	(0.00341)	(0.00233)	(0.00793)	(0.00770)	(0.0207)	(0.0206)	(0.0123)	(0.0115)	(0.00194)	(0.00185)	(0.00719)	(0.00699)	(0.0192)	(0.0188)	(0.0103)	(0.0105)	(0.00153)	(0.00171)	(0.00665)	(0.00659)	(0.0166)	(0.0163)	(0.0112)	(0.0119)	(0.00277)	(0.00253)	(0.00504)	(0.00464)	(0.0153)	(0.0147)	(0.00920)	(0.00946)	(0.00199)	(0.00179)	(0.00454)	(0.00467)	(0.0149)	(0.0149)	(0.00798)	(0.00930)	(0.00174)	(0.00181)	(0.00386)	(0.00386)	(0.0144)	(0.0142)	(0.00666)	(0.00764)	(0.00173)	(0.00186)
