	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
twinfamily	-0.0697***	-0.0590***	-0.0134	-0.00901	-0.154***	-0.132***	-0.0294***	-0.0225***
	(0.0131)	(0.00942)	(0.00873)	(0.00682)	(0.0264)	(0.0183)	(0.00680)	(0.00503)
malec	-0.000608	0.00714	0.0366***	0.0396***	-0.00391	0.0135	-0.00749	0.00677
	(0.0298)	(0.0297)	(0.0129)	(0.0131)	(0.0679)	(0.0681)	(0.0181)	(0.0189)
age	-0.00191	0.0120	0.257***	0.262***	0.729***	0.757***	0.101***	0.0957***
	(0.00901)	(0.0100)	(0.0241)	(0.0238)	(0.0861)	(0.0890)	(0.0181)	(0.0176)
agesq	1.61e-05	-0.000610	-0.0117***	-0.0119***	-0.00522*	-0.00658**	-0.00229***	-0.00217***
	(0.000348)	(0.000404)	(0.000999)	(0.000986)	(0.00267)	(0.00283)	(0.000391)	(0.000386)
agemay	0.0531***	0.0197*	-0.0313	-0.0458*	0.0113	-0.0579*	0.0358***	0.0179**
	(0.0107)	(0.0103)	(0.0249)	(0.0259)	(0.0367)	(0.0318)	(0.00599)	(0.00673)
magesq	-0.000326**	0.000110	-5.59e-05	0.000154	0.000703	0.00161***	-0.000286***	-8.78e-05
	(0.000137)	(0.000132)	(0.000224)	(0.000234)	(0.000500)	(0.000426)	(7.20e-05)	(8.68e-05)
educf_0		-0.868***		-0.325***		-1.722***		-0.357***
		(0.0887)		(0.0440)		(0.190)		(0.0353)
educf_1_4		-0.573***		-0.155***		-1.049***		-0.249***
		(0.0843)		(0.0310)		(0.159)		(0.0357)
educf_5_6		-0.328***		-0.0685**		-0.548***		-0.129***
		(0.0637)		(0.0263)		(0.131)		(0.0251)
educf_7_10		-0.154***		-0.0329		-0.200*		-0.0449**
		(0.0557)		(0.0231)		(0.119)		(0.0214)
poor1		-0.312***		-0.151***		-0.664***		-0.174***
		(0.0231)		(0.0172)		(0.0562)		(0.0184)
Constant	-1.024	-2.195	1.706	1.510	-3.194	-4.344	-1.590	-1.388***
		(4,745)	(1.049)	(1.087)		(28,913)		(0.159)
								
Observations	961,686	953,352	626,345	620,538	955,005	946,760	441,788	436,136
R-squared	0.025	0.153	0.297	0.332	0.584	0.635	0.312	0.406
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
