	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
FAMtwinbindsfinal	-0.0429**	-0.0606***	-0.633***	-0.645***	1.019***	0.983***	-0.330***	-0.333***
	(0.0165)	(0.0174)	(0.0642)	(0.0650)	(0.0824)	(0.0754)	(0.0571)	(0.0545)
malec	-0.0275	-0.0234	0.0175	0.0183	-0.0672	-0.0572	-0.0142	-0.00248
	(0.0256)	(0.0259)	(0.0117)	(0.0118)	(0.0508)	(0.0520)	(0.0127)	(0.0141)
age	0.00443**	0.00611**	-0.0208***	-0.0206***	0.664***	0.665***	0.00884***	0.0104***
	(0.00167)	(0.00233)	(0.00448)	(0.00426)	(0.0279)	(0.0300)	(0.00263)	(0.00212)
agemay	0.0326***	0.0264***	-0.0430**	-0.0430**	0.0765***	0.0634***	0.0148***	0.0112***
	(0.00552)	(0.00557)	(0.0176)	(0.0175)	(0.00924)	(0.00900)	(0.00149)	(0.00142)
height		0.000521***		0.000201***		0.00107***		0.000204***
		(8.41e-05)		(7.25e-05)		(0.000211)		(4.37e-05)
bmi		0.000150***		4.11e-05***		0.000405***		6.92e-05***
		(2.17e-05)		(1.38e-05)		(5.29e-05)		(9.23e-06)
educf_0		-0.771***		-0.282***		-1.553***		-0.304***
		(0.0928)		(0.0434)		(0.179)		(0.0388)
educf_1_4		-0.508***		-0.143***		-0.945***		-0.208***
		(0.0838)		(0.0328)		(0.150)		(0.0383)
educf_5_6		-0.266***		-0.0495*		-0.459***		-0.0909***
		(0.0570)		(0.0253)		(0.104)		(0.0222)
educf_7_10		-0.121**		-0.0310		-0.152		-0.0320
		(0.0466)		(0.0213)		(0.0922)		(0.0200)
poor1		-0.283***		-0.130***		-0.580***		-0.171***
		(0.0305)		(0.0183)		(0.0657)		(0.0202)
Constant	-0.628***	-1.750***	3.849***	3.477***	-0.617***	-3.254***	0.313***	-0.157
	(0.126)	(0.231)	(1.022)	(1.050)	(0.203)	(0.474)	(0.0683)	(0.102)
								
Observations	207,821	206,148	140,949	139,743	207,353	205,682	96,824	95,650
R-squared	0.041	0.162	0.331	0.360	0.664	0.706	0.365	0.449
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
