	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	school_zscore	school_zscore	attendance	attendance	educ	educ	highschool	highschool
								
finaltwinfamily	-0.00544	-0.0327**	0.00992	-0.00166	0.0162	-0.0379	0.00442	-0.00734
	(0.0169)	(0.0137)	(0.00916)	(0.00793)	(0.0375)	(0.0275)	(0.00998)	(0.0101)
malec	-0.000517	0.00694	0.0334**	0.0363***	-0.00576	0.0110	-0.00660	0.00765
	(0.0298)	(0.0296)	(0.0127)	(0.0129)	(0.0673)	(0.0674)	(0.0177)	(0.0184)
age	-0.00104	-0.00288*	-0.0275***	-0.0285***	0.602***	0.595***	0.00974***	0.00928***
	(0.00136)	(0.00152)	(0.00604)	(0.00586)	(0.0319)	(0.0325)	(0.00297)	(0.00271)
agemay	0.0288***	0.0278***	-0.0353**	-0.0339**	0.0633***	0.0613***	0.0129***	0.0111***
	(0.00427)	(0.00464)	(0.0156)	(0.0155)	(0.00635)	(0.00761)	(0.00130)	(0.00131)
height		0.000427***		0.000176***		0.000841***		0.000208***
		(7.29e-05)		(5.36e-05)		(0.000183)		(3.24e-05)
bmi		0.000182***		6.67e-05***		0.000477***		8.36e-05***
		(2.11e-05)		(1.62e-05)		(5.33e-05)		(9.16e-06)
educf_0		-0.867***		-0.321***		-1.711***		-0.359***
		(0.0886)		(0.0441)		(0.191)		(0.0356)
educf_1_4		-0.573***		-0.152***		-1.040***		-0.250***
		(0.0843)		(0.0311)		(0.159)		(0.0361)
educf_5_6		-0.328***		-0.0667**		-0.541***		-0.130***
		(0.0637)		(0.0266)		(0.132)		(0.0255)
educf_7_10		-0.154***		-0.0314		-0.196		-0.0452**
		(0.0557)		(0.0234)		(0.119)		(0.0217)
poor1		-0.313***		-0.148***		-0.665***		-0.175***
		(0.0231)		(0.0173)		(0.0559)		(0.0184)
Constant	-0.774	-2.243	3.381***	2.952***	-3.185	-4.567	-0.211	-0.511***
		(3,060)	(0.940)	(0.972)				(0.0636)
								
Observations	961,686	953,352	626,345	620,538	955,005	946,760	441,788	436,136
R-squared	0.025	0.153	0.273	0.308	0.583	0.634	0.305	0.401
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
