	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																																																								
fert	-0.0516	-0.0437	-0.0321	0.00942**	0.00907**	-0.00701**	0.0479*	0.0556*	0.0727**	0.00868**	0.00851**	-0.00475**	-0.0243	-0.0177	-0.00982	0.00370**	0.00398**	-0.00656**	-0.00265	0.00601	0.0162	0.00232	0.00319*	-0.00404**	0.0200	0.0232	0.0232	0.00180	0.00281	-0.00303	-0.0247	-0.0234	-0.0298	-0.00182	7.37e-05	-0.00494**	-0.104	-0.0891	-0.0664	0.0186**	0.0180**	-0.0138**	0.0977*	0.112*	0.146**	0.0176**	0.0172**	-0.00894**	-0.0439	-0.0312	-0.0156	0.00797**	0.00852**	-0.0123**	0.00398	0.0206	0.0406	0.00509	0.00676*	-0.00754**	0.0402	0.0464	0.0464	0.00440	0.00637*	-0.00519	-0.0378	-0.0351	-0.0480	-0.00270	0.000982	-0.00896*
	(0.0319)	(0.0320)	(0.0337)	(0.00166)	(0.00167)	(0.00170)	(0.0227)	(0.0229)	(0.0245)	(0.00133)	(0.00134)	(0.00137)	(0.0193)	(0.0194)	(0.0203)	(0.00127)	(0.00128)	(0.00131)	(0.0176)	(0.0176)	(0.0183)	(0.00135)	(0.00136)	(0.00139)	(0.0206)	(0.0207)	(0.0212)	(0.00152)	(0.00153)	(0.00156)	(0.0204)	(0.0205)	(0.0208)	(0.00181)	(0.00182)	(0.00185)	(0.0634)	(0.0634)	(0.0668)	(0.00329)	(0.00330)	(0.00337)	(0.0451)	(0.0455)	(0.0486)	(0.00264)	(0.00265)	(0.00271)	(0.0383)	(0.0384)	(0.0401)	(0.00252)	(0.00254)	(0.00259)	(0.0349)	(0.0349)	(0.0362)	(0.00268)	(0.00269)	(0.00275)	(0.0408)	(0.0410)	(0.0420)	(0.00301)	(0.00303)	(0.00309)	(0.0405)	(0.0406)	(0.0413)	(0.00359)	(0.00360)	(0.00367)
educf_1_4	0.174**	0.185**		0.183**	0.192**		0.181**	0.192**		0.175**	0.185**		0.163**	0.174**		0.167**	0.177**		0.159**	0.169**		0.160**	0.169**		0.151**	0.159**		0.149**	0.158**		0.137**	0.144**		0.138**	0.146**		0.343**	0.363**		0.360**	0.378**		0.356**	0.377**		0.344**	0.364**		0.324**	0.345**		0.330**	0.350**		0.317**	0.336**		0.317**	0.334**		0.298**	0.314**		0.295**	0.311**		0.272**	0.286**		0.275**	0.289**	
	(0.00768)	(0.00772)		(0.00617)	(0.00618)		(0.00568)	(0.00573)		(0.00472)	(0.00474)		(0.00498)	(0.00496)		(0.00437)	(0.00438)		(0.00466)	(0.00465)		(0.00440)	(0.00441)		(0.00494)	(0.00492)		(0.00470)	(0.00472)		(0.00554)	(0.00552)		(0.00529)	(0.00531)		(0.0152)	(0.0153)		(0.0122)	(0.0123)		(0.0113)	(0.0114)		(0.00937)	(0.00939)		(0.00986)	(0.00984)		(0.00866)	(0.00868)		(0.00924)	(0.00921)		(0.00872)	(0.00874)		(0.00978)	(0.00976)		(0.00932)	(0.00935)		(0.0110)	(0.0109)		(0.0105)	(0.0105)	
educf_5_6	0.243**	0.263**		0.263**	0.280**		0.252**	0.273**		0.241**	0.259**		0.227**	0.247**		0.234**	0.253**		0.233**	0.252**		0.234**	0.251**		0.233**	0.250**		0.230**	0.246**		0.216**	0.232**		0.220**	0.236**		0.480**	0.517**		0.519**	0.552**		0.500**	0.539**		0.476**	0.511**		0.450**	0.488**		0.464**	0.499**		0.462**	0.498**		0.462**	0.496**		0.460**	0.493**		0.454**	0.486**		0.429**	0.460**		0.435**	0.467**	
	(0.0125)	(0.0127)		(0.00723)	(0.00722)		(0.00887)	(0.00894)		(0.00567)	(0.00566)		(0.00748)	(0.00742)		(0.00541)	(0.00541)		(0.00669)	(0.00660)		(0.00567)	(0.00567)		(0.00729)	(0.00720)		(0.00622)	(0.00622)		(0.00821)	(0.00808)		(0.00723)	(0.00724)		(0.0249)	(0.0251)		(0.0143)	(0.0143)		(0.0176)	(0.0177)		(0.0112)	(0.0112)		(0.0148)	(0.0147)		(0.0107)	(0.0107)		(0.0133)	(0.0131)		(0.0112)	(0.0112)		(0.0145)	(0.0143)		(0.0123)	(0.0123)		(0.0163)	(0.0160)		(0.0143)	(0.0143)	
educf_7_10	0.245**	0.276**		0.280**	0.307**		0.289**	0.321**		0.270**	0.298**		0.248**	0.279**		0.259**	0.287**		0.252**	0.281**		0.254**	0.280**		0.245**	0.269**		0.241**	0.265**		0.240**	0.265**		0.244**	0.268**		0.484**	0.544**		0.554**	0.606**		0.573**	0.635**		0.535**	0.589**		0.493**	0.552**		0.514**	0.568**		0.503**	0.558**		0.504**	0.554**		0.486**	0.533**		0.478**	0.526**		0.480**	0.527**		0.486**	0.532**	
	(0.0194)	(0.0196)		(0.00666)	(0.00656)		(0.0120)	(0.0121)		(0.00533)	(0.00526)		(0.00931)	(0.00919)		(0.00517)	(0.00511)		(0.00745)	(0.00725)		(0.00551)	(0.00547)		(0.00755)	(0.00736)		(0.00622)	(0.00618)		(0.00812)	(0.00792)		(0.00743)	(0.00739)		(0.0385)	(0.0389)		(0.0132)	(0.0130)		(0.0238)	(0.0240)		(0.0106)	(0.0104)		(0.0184)	(0.0182)		(0.0102)	(0.0101)		(0.0148)	(0.0144)		(0.0109)	(0.0108)		(0.0150)	(0.0146)		(0.0123)	(0.0122)		(0.0161)	(0.0157)		(0.0147)	(0.0147)	
