	(1)	(2)	(3)	(4)
VARIABLES	terminated_preg	terminated_preg	terminated_preg	terminated_preg
				
fert	0.00429**	0.00420**	0.00968**	0.00598**
	(0.000291)	(0.000421)	(0.000415)	(0.000863)
agemay	0.00683**	0.00562**	0.00650**	0.00658**
	(0.000111)	(0.000168)	(0.000159)	(0.000309)
educf_1_4	0.0190**	0.0137**	0.0265**	0.0399**
	(0.00163)	(0.00246)	(0.00245)	(0.00546)
educf_5_6	0.0137**	0.00698*	0.0178**	0.0453**
	(0.00180)	(0.00298)	(0.00257)	(0.00551)
educf_7_10	0.0181**	0.00673*	0.0214**	0.0589**
	(0.00184)	(0.00292)	(0.00260)	(0.00627)
educf_11plus	0.00978**	-0.000805	0.00707*	0.0556**
	(0.00226)	(0.00511)	(0.00290)	(0.00657)
height	-0.000259**	-0.000356*	-0.000697**	0.00204**
	(8.79e-05)	(0.000139)	(0.000124)	(0.000271)
bmi1	0.00199**	0.00235**	0.00147**	0.00450**
	(0.000132)	(0.000270)	(0.000167)	(0.000360)
aiquin	0.00432**	0.00247**	0.00718**	0.00674**
	(0.000432)	(0.000661)	(0.000631)	(0.00131)
Constant	0.356**	6.315**	9.461**	12.02**
	(0.0164)	(0.221)	(0.261)	(0.587)
				
Observations	874,385	309,989	434,611	129,785
R-squared	0.053	0.028	0.057	0.062
Robust standard errors in parentheses				
** p<0.01, * p<0.05				
