	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	0.0321	0.0333	0.0507**	-0.00525**	-0.00622**	-0.0232**	0.00980	0.0113	0.0249	-0.00727**	-0.00840**	-0.0233**	-0.0292*	-0.0255	-0.00953	-0.00953**	-0.0107**	-0.0230**	-0.0279*	-0.0262	-0.0152	-0.0108**	-0.0115**	-0.0208**	0.0363*	0.0340*	0.0428**	-0.0110**	-0.0114**	-0.0189**	-0.0365*	-0.0351*	-0.0337	-0.0124**	-0.0120**	-0.0185**
	(0.0174)	(0.0175)	(0.0194)	(0.000800)	(0.000800)	(0.000792)	(0.0136)	(0.0137)	(0.0147)	(0.000709)	(0.000709)	(0.000710)	(0.0130)	(0.0132)	(0.0141)	(0.000759)	(0.000760)	(0.000768)	(0.0142)	(0.0143)	(0.0148)	(0.000865)	(0.000867)	(0.000880)	(0.0148)	(0.0149)	(0.0154)	(0.00102)	(0.00102)	(0.00104)	(0.0169)	(0.0170)	(0.0173)	(0.00125)	(0.00125)	(0.00127)
educf_1_4	0.162**	0.168**		0.155**	0.160**		0.156**	0.161**		0.153**	0.158**		0.149**	0.155**		0.151**	0.157**		0.146**	0.152**		0.148**	0.153**		0.142**	0.148**		0.138**	0.144**		0.129**	0.135**		0.131**	0.137**	
	(0.00466)	(0.00486)		(0.00325)	(0.00325)		(0.00327)	(0.00338)		(0.00267)	(0.00267)		(0.00306)	(0.00313)		(0.00270)	(0.00271)		(0.00318)	(0.00321)		(0.00293)	(0.00293)		(0.00357)	(0.00358)		(0.00330)	(0.00330)		(0.00417)	(0.00416)		(0.00383)	(0.00384)	
educf_5_6	0.227**	0.237**		0.211**	0.219**		0.214**	0.224**		0.208**	0.217**		0.202**	0.213**		0.207**	0.218**		0.201**	0.212**		0.205**	0.216**		0.214**	0.225**		0.204**	0.215**		0.195**	0.206**		0.199**	0.210**	
	(0.00832)	(0.00875)		(0.00335)	(0.00334)		(0.00567)	(0.00597)		(0.00283)	(0.00282)		(0.00484)	(0.00506)		(0.00296)	(0.00295)		(0.00466)	(0.00477)		(0.00332)	(0.00331)		(0.00489)	(0.00493)		(0.00386)	(0.00385)		(0.00550)	(0.00546)		(0.00462)	(0.00461)	
educf_7_10	0.255**	0.270**		0.230**	0.241**		0.241**	0.256**		0.231**	0.244**		0.226**	0.243**		0.235**	0.250**		0.228**	0.245**		0.234**	0.251**		0.244**	0.259**		0.231**	0.247**		0.222**	0.238**		0.228**	0.244**	
	(0.0122)	(0.0128)		(0.00307)	(0.00303)		(0.00794)	(0.00840)		(0.00269)	(0.00266)		(0.00643)	(0.00679)		(0.00295)	(0.00292)		(0.00599)	(0.00618)		(0.00344)	(0.00341)		(0.00576)	(0.00583)		(0.00412)	(0.00409)		(0.00666)	(0.00660)		(0.00506)	(0.00503)	
educf_11plus	0.267**	0.286**		0.229**	0.244**		0.245**	0.265**		0.230**	0.248**		0.229**	0.253**		0.242**	0.264**		0.241**	0.267**		0.251**	0.276**		0.283**	0.307**		0.260**	0.285**		0.251**	0.277**		0.262**	0.287**	
	(0.0180)	(0.0189)		(0.00337)	(0.00330)		(0.0120)	(0.0126)		(0.00314)	(0.00309)		(0.00991)	(0.0104)		(0.00379)	(0.00374)		(0.00950)	(0.00980)		(0.00497)	(0.00492)		(0.00982)	(0.00992)		(0.00664)	(0.00660)		(0.0117)	(0.0116)		(0.00904)	(0.00901)	
height	0.000149**			0.000141**			0.000162**			0.000157**			0.000130**			0.000134**			0.000130**			0.000134**			0.000123**			0.000114**			0.000114**			0.000117**		
	(1.60e-05)			(1.55e-05)			(1.39e-05)			(1.35e-05)			(1.44e-05)			(1.41e-05)			(1.60e-05)			(1.57e-05)			(1.83e-05)			(1.80e-05)			(2.11e-05)			(2.10e-05)		
bmi	5.62e-05**			5.02e-05**			6.13e-05**			5.86e-05**			6.82e-05**			7.08e-05**			7.75e-05**			7.87e-05**			8.19e-05**			8.07e-05**			8.45e-05**			8.37e-05**		
	(3.70e-06)			(2.37e-06)			(2.98e-06)			(2.08e-06)			(2.80e-06)			(2.23e-06)			(2.69e-06)			(2.51e-06)			(2.91e-06)			(2.87e-06)			(3.39e-06)			(3.34e-06)		
