	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
																																				
fert	-0.747	-0.655	-0.504	-0.299**	-0.315**	-0.535**	0.550	0.715	1.744*	-0.314**	-0.333**	-0.535**	0.889*	0.980*	1.137*	-0.305**	-0.325**	-0.494**	0.153	0.230	0.396	-0.280**	-0.297**	-0.432**	0.374	0.413	0.542	-0.257**	-0.269**	-0.377**	-0.0250	0.0237	0.0595	-0.233**	-0.235**	-0.326**
	(0.629)	(0.650)	(0.739)	(0.00931)	(0.00932)	(0.00929)	(0.443)	(0.474)	(0.784)	(0.00766)	(0.00766)	(0.00765)	(0.431)	(0.448)	(0.509)	(0.00766)	(0.00768)	(0.00771)	(0.299)	(0.307)	(0.335)	(0.00857)	(0.00859)	(0.00866)	(0.325)	(0.330)	(0.352)	(0.0101)	(0.0102)	(0.0103)	(0.294)	(0.296)	(0.302)	(0.0125)	(0.0126)	(0.0127)
educf_1_4	1.275**	1.392**		1.407**	1.502**		1.668**	1.848**		1.425**	1.520**		1.717**	1.874**		1.402**	1.494**		1.431**	1.556**		1.322**	1.414**		1.429**	1.538**		1.283**	1.373**		1.330**	1.430**		1.291**	1.381**	
	(0.192)	(0.217)		(0.0557)	(0.0557)		(0.133)	(0.156)		(0.0434)	(0.0435)		(0.122)	(0.138)		(0.0412)	(0.0413)		(0.0866)	(0.0938)		(0.0432)	(0.0433)		(0.0893)	(0.0934)		(0.0476)	(0.0477)		(0.0772)	(0.0780)		(0.0540)	(0.0541)	
educf_5_6	2.205**	2.462**		2.567**	2.757**		3.134**	3.527**		2.481**	2.667**		3.260**	3.594**		2.465**	2.651**		2.626**	2.893**		2.384**	2.575**		2.631**	2.865**		2.337**	2.530**		2.394**	2.598**		2.316**	2.499**	
	(0.511)	(0.569)		(0.0578)	(0.0575)		(0.339)	(0.392)		(0.0458)	(0.0456)		(0.291)	(0.327)		(0.0446)	(0.0444)		(0.174)	(0.191)		(0.0484)	(0.0482)		(0.161)	(0.171)		(0.0546)	(0.0545)		(0.127)	(0.129)		(0.0634)	(0.0632)	
educf_7_10	2.779**	3.125**		3.280**	3.533**		4.132**	4.682**		3.229**	3.491**		4.322**	4.802**		3.195**	3.463**		3.376**	3.754**		3.037**	3.308**		3.338**	3.659**		2.944**	3.209**		3.014**	3.276**		2.909**	3.142**	
	(0.705)	(0.783)		(0.0544)	(0.0536)		(0.466)	(0.541)		(0.0448)	(0.0442)		(0.410)	(0.462)		(0.0458)	(0.0453)		(0.240)	(0.264)		(0.0518)	(0.0513)		(0.212)	(0.226)		(0.0605)	(0.0601)		(0.166)	(0.169)		(0.0718)	(0.0714)	
educf_11plus	3.433**	3.869**		4.193**	4.479**		5.441**	6.138**		4.048**	4.339**		5.702**	6.294**		3.959**	4.264**		4.460**	4.920**		3.907**	4.208**		4.579**	4.966**		3.905**	4.210**		4.046**	4.367**		3.865**	4.138**	
	(1.069)	(1.168)		(0.0632)	(0.0623)		(0.717)	(0.816)		(0.0543)	(0.0537)		(0.632)	(0.700)		(0.0607)	(0.0603)		(0.389)	(0.420)		(0.0751)	(0.0748)		(0.360)	(0.378)		(0.0960)	(0.0958)		(0.284)	(0.289)		(0.123)	(0.123)	
height	0.00223**			0.00266**			0.00337**			0.00259**			0.00359**			0.00260**			0.00272**			0.00239**			0.00257**			0.00225**			0.00191**			0.00184**		
	(0.000663)			(0.000281)			(0.000468)			(0.000229)			(0.000434)			(0.000225)			(0.000334)			(0.000241)			(0.000318)			(0.000269)			(0.000321)			(0.000307)		
bmi	0.000748**			0.000865**			0.00117**			0.000919**			0.00131**			0.000984**			0.00113**			0.00104**			0.00114**			0.00106**			0.00102**			0.00102**		
	(0.000170)			(3.76e-05)			(0.000132)			(3.05e-05)			(0.000123)			(3.02e-05)			(7.13e-05)			(3.27e-05)			(5.44e-05)			(3.67e-05)			(4.27e-05)			(4.22e-05)		
malec	0.0115	1.35e-05	-0.159**	0.0549	0.0305	-0.160**	0.103*	0.0836*	-0.173**	0.0464	0.0221	-0.158**	0.160**	0.125**	-0.131**	0.129**	0.101**	-0.0677*	0.202**	0.166**	-0.00331	0.204**	0.172**	0.0377	0.269**	0.230**	0.0899*	0.285**	0.250**	0.141**	0.352**	0.322**	0.220**	0.358**	0.329**	0.238**
