	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																																				
fert	-0.137	-0.139	-0.235*	0.384**	0.389**	0.504**	-0.108	-0.120	-0.223**	0.403**	0.408**	0.508**	-0.0960	-0.104	-0.163*	0.400**	0.404**	0.483**	0.0213	-0.00228	-0.0337	0.390**	0.392**	0.450**	-0.165*	-0.168*	-0.202**	0.378**	0.378**	0.421**	0.0447	0.0458	0.0283	0.369**	0.366**	0.400**
	(0.100)	(0.101)	(0.117)	(0.00320)	(0.00320)	(0.00320)	(0.0746)	(0.0754)	(0.0854)	(0.00274)	(0.00275)	(0.00278)	(0.0669)	(0.0675)	(0.0741)	(0.00285)	(0.00286)	(0.00292)	(0.0634)	(0.0640)	(0.0674)	(0.00321)	(0.00322)	(0.00330)	(0.0659)	(0.0662)	(0.0694)	(0.00377)	(0.00378)	(0.00386)	(0.0666)	(0.0669)	(0.0691)	(0.00456)	(0.00458)	(0.00467)
educf_1_4	-0.737**	-0.769**		-0.636**	-0.660**		-0.694**	-0.728**		-0.615**	-0.640**		-0.701**	-0.735**		-0.640**	-0.669**		-0.667**	-0.702**		-0.632**	-0.664**		-0.663**	-0.694**		-0.615**	-0.646**		-0.630**	-0.658**		-0.599**	-0.628**	
	(0.0239)	(0.0251)		(0.0131)	(0.0131)		(0.0161)	(0.0168)		(0.0106)	(0.0106)		(0.0136)	(0.0140)		(0.0105)	(0.0105)		(0.0129)	(0.0131)		(0.0112)	(0.0112)		(0.0143)	(0.0143)		(0.0125)	(0.0125)		(0.0159)	(0.0158)		(0.0144)	(0.0144)	
educf_5_6	-1.313**	-1.376**		-1.066**	-1.112**		-1.279**	-1.347**		-1.068**	-1.117**		-1.252**	-1.322**		-1.086**	-1.144**		-1.205**	-1.278**		-1.106**	-1.169**		-1.228**	-1.292**		-1.105**	-1.168**		-1.142**	-1.202**		-1.078**	-1.141**	
	(0.0496)	(0.0523)		(0.0136)	(0.0136)		(0.0330)	(0.0348)		(0.0113)	(0.0112)		(0.0254)	(0.0265)		(0.0115)	(0.0115)		(0.0214)	(0.0219)		(0.0128)	(0.0128)		(0.0215)	(0.0215)		(0.0148)	(0.0148)		(0.0221)	(0.0219)		(0.0176)	(0.0176)	
educf_7_10	-1.731**	-1.820**		-1.343**	-1.407**		-1.681**	-1.780**		-1.365**	-1.437**		-1.661**	-1.762**		-1.417**	-1.500**		-1.534**	-1.639**		-1.397**	-1.489**		-1.500**	-1.590**		-1.346**	-1.434**		-1.385**	-1.464**		-1.309**	-1.391**	
	(0.0757)	(0.0797)		(0.0126)	(0.0125)		(0.0474)	(0.0502)		(0.0108)	(0.0107)		(0.0350)	(0.0366)		(0.0116)	(0.0115)		(0.0271)	(0.0278)		(0.0134)	(0.0133)		(0.0250)	(0.0251)		(0.0159)	(0.0158)		(0.0252)	(0.0248)		(0.0194)	(0.0193)	
educf_11plus	-2.106**	-2.220**		-1.500**	-1.580**		-2.069**	-2.199**		-1.558**	-1.650**		-2.054**	-2.192**		-1.639**	-1.750**		-1.957**	-2.107**		-1.701**	-1.827**		-2.013**	-2.138**		-1.696**	-1.818**		-1.818**	-1.932**		-1.652**	-1.772**	
	(0.117)	(0.123)		(0.0146)	(0.0143)		(0.0758)	(0.0796)		(0.0133)	(0.0131)		(0.0584)	(0.0608)		(0.0157)	(0.0155)		(0.0484)	(0.0497)		(0.0201)	(0.0199)		(0.0473)	(0.0475)		(0.0264)	(0.0263)		(0.0494)	(0.0489)		(0.0352)	(0.0351)	
height	-0.000768**			-0.000574**			-0.000846**			-0.000653**			-0.000843**			-0.000711**			-0.000815**			-0.000744**			-0.000684**			-0.000614**			-0.000576**			-0.000543**		
	(7.85e-05)			(6.49e-05)			(6.43e-05)			(5.48e-05)			(6.11e-05)			(5.59e-05)			(6.38e-05)			(6.12e-05)			(7.30e-05)			(6.95e-05)			(8.25e-05)			(8.11e-05)		
bmi	-0.000365**			-0.000286**			-0.000389**			-0.000323**			-0.000421**			-0.000374**			-0.000432**			-0.000417**			-0.000428**			-0.000429**			-0.000410**			-0.000428**		
	(1.85e-05)			(9.99e-06)			(1.32e-05)			(8.49e-06)			(1.12e-05)			(8.76e-06)			(1.02e-05)			(9.66e-06)			(1.14e-05)			(1.09e-05)			(1.33e-05)			(1.26e-05)		
malec	-0.0185	-0.0168	-0.0181	0.0386**	0.0407**	0.0599**	-0.0241**	-0.0222*	-0.00555	0.0120	0.0146*	0.0387**	-0.0551**	-0.0519**	-0.0270**	-0.0360**	-0.0327**	-0.00816	-0.0759**	-0.0721**	-0.0512**	-0.0695**	-0.0655**	-0.0458**	-0.107**	-0.103**	-0.0834**	-0.104**	-0.0999**	-0.0828**	-0.118**	-0.114**	-0.102**	-0.119**	-0.115**	-0.103**
	(0.0137)	(0.0137)	(0.0154)	(0.00774)	(0.00775)	(0.00809)	(0.00869)	(0.00871)	(0.00917)	(0.00655)	(0.00657)	(0.00684)	(0.00748)	(0.00750)	(0.00781)	(0.00672)	(0.00674)	(0.00699)	(0.00760)	(0.00764)	(0.00793)	(0.00735)	(0.00738)	(0.00762)	(0.00868)	(0.00871)	(0.00904)	(0.00832)	(0.00835)	(0.00858)	(0.00983)	(0.00986)	(0.0101)	(0.00970)	(0.00973)	(0.00996)
agemay	0.0556**	0.0520**	0.0183**	0.0463**	0.0434**	0.0214**	0.0702**	0.0673**	0.0422**	0.0602**	0.0575**	0.0386**	0.0828**	0.0804**	0.0643**	0.0732**	0.0709**	0.0569**	0.0875**	0.0863**	0.0779**	0.0819**	0.0803**	0.0723**	0.0929**	0.0921**	0.0886**	0.0875**	0.0868**	0.0834**	0.0941**	0.0940**	0.0931**	0.0927**	0.0926**	0.0917**
	(0.00206)	(0.00194)	(0.00118)	(0.000951)	(0.000948)	(0.000954)	(0.00169)	(0.00163)	(0.00100)	(0.000807)	(0.000806)	(0.000818)	(0.00156)	(0.00153)	(0.00124)	(0.000826)	(0.000827)	(0.000846)	(0.00134)	(0.00135)	(0.00124)	(0.000908)	(0.000911)	(0.000933)	(0.00126)	(0.00127)	(0.00127)	(0.00104)	(0.00104)	(0.00107)	(0.00129)	(0.00130)	(0.00132)	(0.00124)	(0.00125)	(0.00127)
borddummy2							-0.162**	-0.162**	-0.0146	-0.379**	-0.385**	-0.359**	-0.292**	-0.295**	-0.222**	-0.464**	-0.470**	-0.458**	-0.424**	-0.422**	-0.380**	-0.528**	-0.533**	-0.522**	-0.367**	-0.371**	-0.341**	-0.500**	-0.504**	-0.497**	-0.346**	-0.349**	-0.328**	-0.410**	-0.412**	-0.403**
							(0.0324)	(0.0326)	(0.0410)	(0.00695)	(0.00696)	(0.00724)	(0.0248)	(0.0249)	(0.0287)	(0.00863)	(0.00865)	(0.00898)	(0.0214)	(0.0216)	(0.0233)	(0.0116)	(0.0116)	(0.0120)	(0.0237)	(0.0238)	(0.0250)	(0.0166)	(0.0167)	(0.0172)	(0.0293)	(0.0294)	(0.0304)	(0.0259)	(0.0260)	(0.0266)
borddummy3													-0.482**	-0.487**	-0.319**	-0.867**	-0.881**	-0.850**	-0.768**	-0.763**	-0.677**	-1.003**	-1.014**	-0.995**	-0.768**	-0.774**	-0.714**	-1.054**	-1.062**	-1.050**	-0.796**	-0.801**	-0.763**	-0.938**	-0.941**	-0.928**
													(0.0529)	(0.0531)	(0.0618)	(0.00949)	(0.00951)	(0.00987)	(0.0420)	(0.0424)	(0.0460)	(0.0119)	(0.0119)	(0.0123)	(0.0386)	(0.0388)	(0.0413)	(0.0163)	(0.0163)	(0.0168)	(0.0383)	(0.0385)	(0.0401)	(0.0247)	(0.0247)	(0.0253)
borddummy4																			-1.060**	-1.052**	-0.914**	-1.451**	-1.469**	-1.442**	-1.102**	-1.114**	-1.020**	-1.570**	-1.584**	-1.567**	-1.289**	-1.298**	-1.237**	-1.512**	-1.519**	-1.498**
																			(0.0683)	(0.0689)	(0.0748)	(0.0130)	(0.0131)	(0.0135)	(0.0593)	(0.0596)	(0.0635)	(0.0169)	(0.0169)	(0.0174)	(0.0521)	(0.0524)	(0.0548)	(0.0246)	(0.0247)	(0.0253)
borddummy5																									-1.332**	-1.350**		-2.025**	-2.047**		-1.707**	-1.723**		-2.032**	-2.045**	
																									(0.0862)	(0.0866)		(0.0183)	(0.0184)		(0.0714)	(0.0718)		(0.0255)	(0.0256)	
borddummy6																															-2.018**	-2.042**		-2.471**	-2.491**	
																															(0.0968)	(0.0975)		(0.0270)	(0.0271)	
Constant	2.276**	0.313	-0.802*	6.358**	4.978**	3.979*	1.663**	-0.461	-1.647**	5.907**	4.339**	3.161*	1.231**	-0.962*	-2.355**	5.421**	3.648**	2.297	0.481	-1.655**	-3.285**	5.059**	3.137*	1.681	1.286*	-0.734	-2.374**	4.561**	2.783	1.290	-0.0177	-1.909**	-3.407**	4.252**	2.557	1.061
	(0.421)	(0.335)	(0.338)	(1.718)	(1.719)	(1.794)	(0.376)	(0.321)	(0.330)	(1.280)	(1.281)	(1.334)	(0.411)	(0.376)	(0.387)	(1.347)	(1.348)	(1.400)	(0.461)	(0.438)	(0.442)	(1.404)	(1.406)	(1.452)	(0.597)	(0.580)	(0.589)	(1.447)	(1.447)	(1.488)	(0.675)	(0.663)	(0.671)	(1.484)	(1.483)	(1.518)
																																				
Observations	196,974	196,974	196,974	196,974	196,974	196,974	304,626	304,626	304,626	304,626	304,626	304,626	320,875	320,875	320,875	320,875	320,875	320,875	290,067	290,067	290,067	290,067	290,067	290,067	238,875	238,875	238,875	238,875	238,875	238,875	181,955	181,955	181,955	181,955	181,955	181,955
R-squared	0.350	0.346	0.204	0.427	0.425	0.374	0.347	0.339	0.215	0.414	0.411	0.361	0.349	0.342	0.256	0.405	0.401	0.354	0.372	0.364	0.306	0.399	0.395	0.354	0.344	0.340	0.289	0.397	0.393	0.358	0.379	0.376	0.340	0.396	0.392	0.363
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
