	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	-0.0372	-0.0341	-0.0114	-0.0611**	-0.0630**	-0.0953**	0.0255	0.0333	0.0795*	-0.0632**	-0.0653**	-0.0954**	0.0125	0.0178	0.0352	-0.0585**	-0.0605**	-0.0857**	0.00242	0.0106	0.0250	-0.0547**	-0.0561**	-0.0757**	-0.0330	-0.0319	-0.0198	-0.0502**	-0.0508**	-0.0660**	-0.0614*	-0.0602*	-0.0549*	-0.0472**	-0.0466**	-0.0590**
	(0.0410)	(0.0413)	(0.0452)	(0.00104)	(0.00104)	(0.00102)	(0.0300)	(0.0305)	(0.0345)	(0.000881)	(0.000882)	(0.000873)	(0.0263)	(0.0265)	(0.0283)	(0.000906)	(0.000907)	(0.000908)	(0.0242)	(0.0244)	(0.0254)	(0.00103)	(0.00103)	(0.00104)	(0.0246)	(0.0247)	(0.0254)	(0.00121)	(0.00121)	(0.00122)	(0.0254)	(0.0255)	(0.0259)	(0.00149)	(0.00149)	(0.00150)
educf_1_4	0.159**	0.171**		0.153**	0.164**		0.185**	0.200**		0.167**	0.179**		0.199**	0.213**		0.187**	0.199**		0.202**	0.216**		0.194**	0.206**		0.198**	0.210**		0.196**	0.207**		0.194**	0.205**		0.196**	0.207**	
	(0.0108)	(0.0115)		(0.00500)	(0.00500)		(0.00727)	(0.00776)		(0.00399)	(0.00399)		(0.00599)	(0.00628)		(0.00388)	(0.00389)		(0.00546)	(0.00561)		(0.00417)	(0.00417)		(0.00563)	(0.00568)		(0.00458)	(0.00458)		(0.00614)	(0.00612)		(0.00528)	(0.00528)	
educf_5_6	0.323**	0.348**		0.310**	0.331**		0.370**	0.400**		0.324**	0.347**		0.375**	0.404**		0.344**	0.368**		0.379**	0.408**		0.359**	0.383**		0.363**	0.388**		0.358**	0.383**		0.348**	0.372**		0.352**	0.376**	
	(0.0239)	(0.0254)		(0.00518)	(0.00515)		(0.0160)	(0.0171)		(0.00423)	(0.00421)		(0.0122)	(0.0129)		(0.00425)	(0.00423)		(0.00982)	(0.0102)		(0.00473)	(0.00471)		(0.00909)	(0.00924)		(0.00538)	(0.00535)		(0.00905)	(0.00898)		(0.00639)	(0.00636)	
educf_7_10	0.418**	0.453**		0.398**	0.427**		0.488**	0.531**		0.423**	0.455**		0.496**	0.537**		0.452**	0.486**		0.482**	0.523**		0.454**	0.489**		0.447**	0.481**		0.441**	0.474**		0.427**	0.458**		0.432**	0.462**	
	(0.0348)	(0.0369)		(0.00479)	(0.00473)		(0.0224)	(0.0240)		(0.00407)	(0.00402)		(0.0169)	(0.0180)		(0.00429)	(0.00424)		(0.0129)	(0.0135)		(0.00497)	(0.00492)		(0.0111)	(0.0113)		(0.00583)	(0.00578)		(0.0107)	(0.0106)		(0.00710)	(0.00705)	
educf_11plus	0.536**	0.579**		0.505**	0.540**		0.648**	0.703**		0.543**	0.582**		0.645**	0.699**		0.572**	0.614**		0.639**	0.694**		0.588**	0.633**		0.601**	0.646**		0.589**	0.632**		0.564**	0.606**		0.574**	0.615**	
