	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																															
fert	0.0427	0.0427	0.0631	0.00289*	0.00185	-0.0151**	0.0212	0.0219	0.0374	0.00202	0.00105	-0.0126**	-0.0892**	-0.0836**	-0.0712**	-0.00147	-0.00211	-0.0126**	-0.0604**	-0.0609**	-0.0518*	-0.00257*	-0.00246*	-0.00942**	0.0329	0.0276	0.0352	-0.00272*	-0.00211	-0.00757**	-0.0395
	(0.0360)	(0.0360)	(0.0394)	(0.00139)	(0.00139)	(0.00139)	(0.0247)	(0.0248)	(0.0265)	(0.00113)	(0.00114)	(0.00115)	(0.0230)	(0.0231)	(0.0241)	(0.00112)	(0.00112)	(0.00114)	(0.0211)	(0.0212)	(0.0216)	(0.00121)	(0.00122)	(0.00124)	(0.0213)	(0.0215)	(0.0221)	(0.00138)	(0.00139)	(0.00141)	(0.0231)
educf_1_4	0.180**	0.188**		0.173**	0.180**		0.169**	0.178**		0.167**	0.175**		0.148**	0.157**		0.158**	0.166**		0.145**	0.152**		0.149**	0.156**		0.142**	0.147**		0.139**	0.145**		0.128**
	(0.00809)	(0.00838)		(0.00522)	(0.00523)		(0.00524)	(0.00539)		(0.00407)	(0.00408)		(0.00473)	(0.00479)		(0.00388)	(0.00388)		(0.00434)	(0.00435)		(0.00402)	(0.00403)		(0.00470)	(0.00469)		(0.00440)	(0.00441)		(0.00540)
educf_5_6	0.255**	0.269**		0.241**	0.254**		0.231**	0.247**		0.225**	0.240**		0.193**	0.209**		0.216**	0.230**		0.194**	0.209**		0.205**	0.219**		0.204**	0.216**		0.198**	0.211**		0.184**
	(0.0144)	(0.0150)		(0.00627)	(0.00625)		(0.00940)	(0.00974)		(0.00499)	(0.00498)		(0.00778)	(0.00793)		(0.00489)	(0.00488)		(0.00652)	(0.00652)		(0.00523)	(0.00522)		(0.00687)	(0.00681)		(0.00585)	(0.00584)		(0.00794)
educf_7_10	0.288**	0.310**		0.260**	0.280**		0.265**	0.288**		0.254**	0.276**		0.206**	0.229**		0.246**	0.267**		0.217**	0.238**		0.237**	0.258**		0.237**	0.255**		0.228**	0.247**		0.213**
	(0.0257)	(0.0267)		(0.00572)	(0.00564)		(0.0146)	(0.0151)		(0.00469)	(0.00464)		(0.0116)	(0.0118)		(0.00469)	(0.00464)		(0.00888)	(0.00886)		(0.00512)	(0.00508)		(0.00819)	(0.00808)		(0.00586)	(0.00582)		(0.00897)
