	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
																																				
fert	-3.561	-3.505	-3.748	-0.216**	-0.232**	-0.425**	1.115	1.705	2.872	-0.238**	-0.255**	-0.425**	3.099*	2.901*	3.422*	-0.229**	-0.243**	-0.387**	-0.312	-0.253	-0.190	-0.214**	-0.225**	-0.334**	0.971	0.923	1.046	-0.197**	-0.196**	-0.284**	-0.517	-0.592	-0.504	-0.183**	-0.170**	-0.238**
	(3.307)	(3.245)	(4.161)	(0.0179)	(0.0180)	(0.0182)	(1.369)	(1.616)	(2.691)	(0.0144)	(0.0145)	(0.0147)	(1.241)	(1.184)	(1.483)	(0.0137)	(0.0138)	(0.0140)	(0.580)	(0.586)	(0.610)	(0.0143)	(0.0144)	(0.0146)	(0.537)	(0.539)	(0.572)	(0.0164)	(0.0165)	(0.0168)	(0.404)	(0.409)	(0.420)	(0.0201)	(0.0203)	(0.0206)
educf_1_4	0.657	0.747		1.472**	1.637**		1.746**	2.095**		1.439**	1.600**		2.153**	2.314**		1.424**	1.571**		1.348**	1.504**		1.365**	1.509**		1.499**	1.629**		1.319**	1.457**		1.261**	1.388**		1.303**	1.437**	
	(0.823)	(0.898)		(0.105)	(0.105)		(0.323)	(0.420)		(0.0797)	(0.0800)		(0.293)	(0.299)		(0.0714)	(0.0717)		(0.123)	(0.129)		(0.0696)	(0.0700)		(0.114)	(0.114)		(0.0738)	(0.0741)		(0.0966)	(0.0952)		(0.0823)	(0.0826)	
educf_5_6	0.369	0.557		2.615**	2.929**		3.393**	4.146**		2.625**	2.938**		4.292**	4.619**		2.562**	2.871**		2.412**	2.747**		2.453**	2.760**		2.777**	3.049**		2.338**	2.630**		2.150**	2.408**		2.256**	2.533**	
	(2.230)	(2.361)		(0.127)	(0.127)		(0.785)	(1.003)		(0.0993)	(0.0992)		(0.660)	(0.672)		(0.0906)	(0.0905)		(0.261)	(0.276)		(0.0900)	(0.0900)		(0.226)	(0.226)		(0.0968)	(0.0967)		(0.169)	(0.164)		(0.110)	(0.110)	
educf_7_10	-0.293	0.00840		3.464**	3.964**		4.704**	6.016**		3.283**	3.800**		6.427**	6.924**		3.214**	3.705**		2.893**	3.424**		2.967**	3.446**		3.619**	4.037**		2.923**	3.373**		2.754**	3.122**		2.906**	3.302**	
	(3.719)	(3.927)		(0.118)	(0.116)		(1.442)	(1.831)		(0.0941)	(0.0922)		(1.206)	(1.218)		(0.0882)	(0.0868)		(0.449)	(0.473)		(0.0902)	(0.0891)		(0.336)	(0.336)		(0.0998)	(0.0987)		(0.217)	(0.209)		(0.116)	(0.115)	
educf_11plus	-1.522	-1.047		5.101**	5.866**		7.392**	9.540**		4.940**	5.739**		9.747**	10.54**		4.778**	5.555**		4.510**	5.308**		4.625**	5.343**		5.849**	6.429**		4.788**	5.417**		4.787**	5.333**		4.983**	5.562**	
	(6.554)	(6.860)		(0.185)	(0.181)		(2.488)	(3.140)		(0.157)	(0.155)		(1.870)	(1.893)		(0.161)	(0.160)		(0.713)	(0.750)		(0.179)	(0.178)		(0.537)	(0.537)		(0.214)	(0.214)		(0.360)	(0.351)		(0.271)	(0.271)	
height	0.00255*			0.00341**			0.00375**			0.00363**			0.00358**			0.00343**			0.00299**			0.00300**			0.00293**			0.00282**			0.00245**			0.00241**		
	(0.00127)			(0.000578)			(0.000516)			(0.000450)			(0.000626)			(0.000406)			(0.000403)			(0.000397)			(0.000450)			(0.000423)			(0.000474)			(0.000471)		
bmi	0.000607			0.00147**			0.00187**			0.00153**			0.00218**			0.00153**			0.00158**			0.00159**			0.00154**			0.00156**			0.00153**			0.00149**		
	(0.000862)			(8.92e-05)			(0.000350)			(6.88e-05)			(0.000260)			(6.24e-05)			(9.27e-05)			(6.18e-05)			(7.04e-05)			(6.61e-05)			(8.78e-05)			(7.43e-05)		
malec	0.402**	0.386**	0.405	0.480**	0.441**	0.262**	0.418**	0.357**	0.0204	0.418**	0.371**	0.214**	0.291**	0.226*	-0.0886	0.406**	0.356**	0.218**	0.408**	0.353**	0.234**	0.403**	0.351**	0.246**	0.344**	0.295**	0.171*	0.422**	0.370**	0.281**	0.468**	0.429**	0.348**	0.453**	0.411**	0.334**
	(0.141)	(0.128)	(0.217)	(0.0719)	(0.0723)	(0.0754)	(0.0620)	(0.0698)	(0.182)	(0.0556)	(0.0560)	(0.0580)	(0.0885)	(0.0895)	(0.147)	(0.0503)	(0.0507)	(0.0523)	(0.0581)	(0.0599)	(0.0713)	(0.0493)	(0.0496)	(0.0510)	(0.0661)	(0.0661)	(0.0746)	(0.0524)	(0.0527)	(0.0539)	(0.0614)	(0.0616)	(0.0637)	(0.0585)	(0.0588)	(0.0600)
agemay	-0.186	-0.185	-0.221	0.0342**	0.0263*	0.0564**	0.128	0.163	0.325	0.0279**	0.0208*	0.0412**	0.264**	0.240**	0.328**	0.0235**	0.0158	0.0275**	0.0176	0.0138	0.0297	0.0240**	0.0156	0.0198*	0.0859**	0.0750*	0.0931**	0.0202*	0.0119	0.0158	-0.000366	-0.0113	-0.00140	0.0153	0.00862	0.0114
	(0.218)	(0.210)	(0.347)	(0.0116)	(0.0116)	(0.0120)	(0.101)	(0.118)	(0.232)	(0.00909)	(0.00915)	(0.00945)	(0.0906)	(0.0854)	(0.118)	(0.00836)	(0.00841)	(0.00867)	(0.0389)	(0.0390)	(0.0425)	(0.00832)	(0.00837)	(0.00860)	(0.0316)	(0.0318)	(0.0347)	(0.00895)	(0.00900)	(0.00921)	(0.0214)	(0.0219)	(0.0227)	(0.0102)	(0.0102)	(0.0104)
borddummy2							-0.793	-1.136	-2.253	0.0821	0.122*	0.0646	-1.938*	-1.773*	-2.327*	0.0874	0.127*	0.105	0.0961	0.0993	-0.000816	0.0403	0.0830	0.0842	-0.556*	-0.497	-0.626*	0.0360	0.0711	0.0624	0.128	0.191	0.114	-0.0153	0.00917	-0.00176
							(0.888)	(1.040)	(1.894)	(0.0586)	(0.0590)	(0.0612)	(0.761)	(0.721)	(0.952)	(0.0605)	(0.0609)	(0.0629)	(0.339)	(0.341)	(0.364)	(0.0643)	(0.0648)	(0.0666)	(0.282)	(0.284)	(0.307)	(0.0722)	(0.0727)	(0.0745)	(0.192)	(0.196)	(0.202)	(0.0843)	(0.0848)	(0.0865)
borddummy3													-3.948*	-3.615*	-4.791*	0.205**	0.283**	0.217**	0.300	0.305	0.0845	0.189*	0.273**	0.254**	-0.964	-0.843	-1.107	0.208*	0.282**	0.256**	0.396	0.521	0.344	0.102	0.148	0.107
													(1.553)	(1.471)	(1.953)	(0.0728)	(0.0733)	(0.0757)	(0.666)	(0.670)	(0.718)	(0.0756)	(0.0762)	(0.0783)	(0.546)	(0.549)	(0.594)	(0.0833)	(0.0839)	(0.0859)	(0.367)	(0.374)	(0.388)	(0.0957)	(0.0963)	(0.0983)
borddummy4																			0.425	0.455	0.128	0.263**	0.407**	0.376**	-1.473	-1.274	-1.664	0.256*	0.385**	0.348**	0.651	0.859	0.601	0.212	0.301**	0.246*
																			(0.973)	(0.978)	(1.049)	(0.0914)	(0.0920)	(0.0945)	(0.801)	(0.806)	(0.872)	(0.0995)	(0.100)	(0.102)	(0.541)	(0.552)	(0.574)	(0.113)	(0.114)	(0.116)
borddummy5																									-1.846	-1.599		0.424**	0.579**		0.987	1.243		0.427**	0.532**	
																									(1.050)	(1.057)		(0.119)	(0.120)		(0.688)	(0.702)		(0.134)	(0.134)	
borddummy6																															1.297	1.630		0.589**	0.731**	
																															(0.869)	(0.887)		(0.164)	(0.165)	
