	(1)	(2)	(3)	(4)
VARIABLES	twind100	twind100	twind100	twind100
				
bord	1.081**	1.174**	1.050**	0.982**
	(0.0219)	(0.0344)	(0.0325)	(0.0641)
agemay	-0.103**	-0.148**	-0.0879**	-0.0377*
	(0.00638)	(0.0105)	(0.00948)	(0.0153)
educf_1_4	0.435**	0.442**	0.354**	0.608*
	(0.0807)	(0.117)	(0.122)	(0.299)
educf_5_6	0.723**	0.706**	0.710**	0.723**
	(0.0901)	(0.155)	(0.128)	(0.280)
educf_7_10	1.026**	1.126**	0.911**	1.025**
	(0.0867)	(0.143)	(0.122)	(0.288)
educf_11plus	1.903**	1.435**	1.676**	2.208**
	(0.111)	(0.232)	(0.153)	(0.324)
height	0.00591**	0.00599**	0.00605**	0.00484**
	(0.000433)	(0.000691)	(0.000641)	(0.00111)
bmi	0.000341**	0.000603**	0.000333**	-0.000105
	(6.71e-05)	(0.000126)	(9.32e-05)	(0.000151)
wealth	0.128**	0.0395	0.243**	-0.000518
	(0.0218)	(0.0330)	(0.0334)	(0.0605)
Constant	-5.124**	-4.111**	-7.855**	-8.539**
	(0.825)	(1.157)	(1.102)	(2.039)
				
Observations	1,099,460	446,349	498,159	154,952
R-squared	0.011	0.011	0.011	0.007
Robust standard errors in parentheses				
** p<0.01, * p<0.05				
