	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Bind	-0.0440	-0.0501*	-0.0744**	-0.0473	-0.0623	-0.0750	-0.118	-0.0600	-0.0429**	-0.0481***	-0.0617***	-0.0546***	-0.00538	-0.0123	-0.0290*	-0.0249
	(0.0312)	(0.0269)	(0.0356)	(0.0330)	(0.0642)	(0.0565)	(0.0756)	(0.0694)	(0.0180)	(0.0172)	(0.0215)	(0.0197)	(0.0156)	(0.0145)	(0.0167)	(0.0155)
malec	-0.0404	-0.0357	-0.0404	-0.0357	-0.0819	-0.0712	-0.0819	-0.0712	0.0149	0.0164	0.0148	0.0164	-0.0127	-0.00688	-0.0127	-0.00689
	(0.0249)	(0.0251)	(0.0248)	(0.0251)	(0.0532)	(0.0544)	(0.0531)	(0.0544)	(0.0113)	(0.0112)	(0.0113)	(0.0112)	(0.0124)	(0.0129)	(0.0124)	(0.0129)
agemay	0.0333**	0.00975	0.0332**	0.00976	-0.0100	-0.0611	-0.0102	-0.0611	-0.0531**	-0.0636**	-0.0531**	-0.0636**	0.0283***	0.0129	0.0282***	0.0129
	(0.0152)	(0.0140)	(0.0152)	(0.0140)	(0.0553)	(0.0524)	(0.0553)	(0.0525)	(0.0250)	(0.0259)	(0.0250)	(0.0259)	(0.00839)	(0.00995)	(0.00839)	(0.00996)
magesq	-0.000231	0.000156	-0.000230	0.000156	0.000766	0.00159**	0.000766	0.00159**	0.000108	0.000293	0.000108	0.000293	-0.000297***	-7.68e-05	-0.000297***	-7.69e-05
	(0.000168)	(0.000153)	(0.000168)	(0.000153)	(0.000693)	(0.000645)	(0.000693)	(0.000645)	(0.000305)	(0.000318)	(0.000305)	(0.000318)	(0.000103)	(0.000131)	(0.000103)	(0.000132)
agefirstbirth	0.0369***	0.0102***	0.0369***	0.0102***	0.0670***	0.0126***	0.0670***	0.0125***	0.0148***	0.00510***	0.0148***	0.00511***	0.0160***	0.00503***	0.0160***	0.00505***
	(0.00364)	(0.00117)	(0.00365)	(0.00117)	(0.0118)	(0.00347)	(0.0118)	(0.00347)	(0.00126)	(0.000929)	(0.00127)	(0.000932)	(0.00198)	(0.000519)	(0.00198)	(0.000519)
height		0.00540***		0.00540***		0.0107***		0.0107***		0.00244***		0.00244***		0.00204***		0.00204***
		(0.000727)		(0.000727)		(0.00192)		(0.00192)		(0.000676)		(0.000677)		(0.000398)		(0.000399)
bmi		0.0170***		0.0170***		0.0441***		0.0441***		0.00448***		0.00448***		0.00639***		0.00638***
		(0.00222)		(0.00222)		(0.00547)		(0.00547)		(0.00135)		(0.00134)		(0.000800)		(0.000801)
educf_1_4		0.259***		0.259***		0.634***		0.634***		0.133***		0.133***		0.0918***		0.0918***
		(0.0282)		(0.0282)		(0.0800)		(0.0800)		(0.0242)		(0.0242)		(0.0192)		(0.0192)
educf_5_6		0.491***		0.491***		1.093***		1.093***		0.218***		0.218***		0.195***		0.195***
		(0.0407)		(0.0407)		(0.0827)		(0.0827)		(0.0345)		(0.0345)		(0.0184)		(0.0184)
educf_7_10		0.646***		0.646***		1.382***		1.382***		0.245***		0.245***		0.264***		0.264***
		(0.0542)		(0.0542)		(0.0995)		(0.0995)		(0.0369)		(0.0369)		(0.0196)		(0.0196)
educf_11plus		0.773***		0.773***		1.585***		1.585***		0.299***		0.299***		0.305***		0.304***
		(0.0963)		(0.0963)		(0.168)		(0.168)		(0.0437)		(0.0438)		(0.0301)		(0.0301)
poor1		-0.277***		-0.277***		-0.600***		-0.600***		-0.127***		-0.127***		-0.139***		-0.139***
		(0.0276)		(0.0276)		(0.0521)		(0.0521)		(0.0168)		(0.0168)		(0.0174)		(0.0174)
T_BindXtwin			0.0880**	-0.00802			0.161*	-0.0433			0.0512	0.0179			0.0864***	0.0461*
			(0.0360)	(0.0338)			(0.0953)	(0.0753)			(0.0333)	(0.0326)			(0.0251)	(0.0270)
Constant	-3.637***	-4.230***	-3.635***	-4.230***	-4.577***	-5.871***	-4.573***	-5.872***	2.947***	2.636***	2.948***	2.637***	-1.475***	-1.551***	-1.474***	-1.550***
	(0.488)	(0.503)	(0.488)	(0.503)	(1.020)	(1.100)	(1.019)	(1.100)	(0.779)	(0.808)	(0.780)	(0.808)	(0.210)	(0.209)	(0.210)	(0.209)
																
Observations	249,481	249,481	249,481	249,481	249,713	249,713	249,713	249,713	171,205	171,205	171,205	171,205	113,857	113,857	113,857	113,857
R-squared	0.047	0.150	0.047	0.150	0.706	0.739	0.706	0.739	0.369	0.395	0.369	0.395	0.410	0.475	0.410	0.475
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
