	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Bind	-0.0144	-0.0316	-0.0713*	-0.0462	-0.0156	-0.0515	-0.117	-0.0627	-0.0287	-0.0388**	-0.0583***	-0.0524**	0.00213	-0.00842	-0.0283*	-0.0247
	(0.0298)	(0.0262)	(0.0359)	(0.0332)	(0.0623)	(0.0559)	(0.0763)	(0.0701)	(0.0176)	(0.0171)	(0.0217)	(0.0199)	(0.0155)	(0.0144)	(0.0167)	(0.0155)
malec	-0.0385	-0.0347	-0.0385	-0.0347	-0.0784	-0.0693	-0.0784	-0.0693	0.0155	0.0167	0.0155	0.0167	-0.0119	-0.00650	-0.0119	-0.00651
	(0.0250)	(0.0252)	(0.0249)	(0.0252)	(0.0536)	(0.0545)	(0.0534)	(0.0545)	(0.0113)	(0.0112)	(0.0113)	(0.0112)	(0.0124)	(0.0129)	(0.0123)	(0.0129)
agemay	0.0868***	0.0439***	0.0868***	0.0439***	0.0835	-0.00827	0.0836	-0.00825	-0.0350	-0.0530**	-0.0349	-0.0530**	0.0458***	0.0228*	0.0460***	0.0229*
	(0.0163)	(0.0154)	(0.0163)	(0.0154)	(0.0566)	(0.0552)	(0.0566)	(0.0552)	(0.0260)	(0.0263)	(0.0260)	(0.0263)	(0.0101)	(0.0119)	(0.0101)	(0.0119)
magesq	-0.000418**	2.41e-05	-0.000419**	2.39e-05	0.000324	0.00127*	0.000323	0.00127*	7.20e-05	0.000278	7.20e-05	0.000278	-0.000355***	-0.000114	-0.000357***	-0.000115
	(0.000162)	(0.000162)	(0.000162)	(0.000162)	(0.000689)	(0.000662)	(0.000689)	(0.000661)	(0.000309)	(0.000321)	(0.000309)	(0.000321)	(0.000114)	(0.000145)	(0.000114)	(0.000146)
agefirstbirth	-0.00538	-0.0152***	-0.00549	-0.0152***	0.00191	-0.0175***	0.00172	-0.0175***	-0.00191	-0.00492***	-0.00196	-0.00494***	0.00233	-0.00208	0.00226	-0.00212
	(0.00498)	(0.00254)	(0.00496)	(0.00253)	(0.0120)	(0.00644)	(0.0119)	(0.00643)	(0.00180)	(0.00141)	(0.00179)	(0.00141)	(0.00288)	(0.00139)	(0.00287)	(0.00140)
height		0.00541***		0.00541***		0.0107***		0.0107***		0.00248***		0.00248***		0.00204***		0.00203***
		(0.000729)		(0.000730)		(0.00190)		(0.00190)		(0.000680)		(0.000681)		(0.000400)		(0.000400)
bmi		0.0170***		0.0170***		0.0443***		0.0443***		0.00435***		0.00435***		0.00641***		0.00641***
		(0.00223)		(0.00223)		(0.00546)		(0.00546)		(0.00133)		(0.00133)		(0.000811)		(0.000812)
educf_1_4		0.254***		0.254***		0.631***		0.631***		0.130***		0.130***		0.0906***		0.0906***
		(0.0282)		(0.0282)		(0.0795)		(0.0795)		(0.0237)		(0.0237)		(0.0195)		(0.0194)
educf_5_6		0.479***		0.479***		1.082***		1.082***		0.212***		0.212***		0.192***		0.192***
		(0.0391)		(0.0391)		(0.0823)		(0.0823)		(0.0337)		(0.0337)		(0.0183)		(0.0183)
educf_7_10		0.628***		0.628***		1.361***		1.361***		0.237***		0.237***		0.260***		0.260***
		(0.0524)		(0.0524)		(0.0997)		(0.0997)		(0.0356)		(0.0356)		(0.0195)		(0.0195)
educf_11plus		0.745***		0.745***		1.548***		1.548***		0.289***		0.289***		0.298***		0.298***
		(0.0938)		(0.0938)		(0.168)		(0.168)		(0.0421)		(0.0421)		(0.0298)		(0.0298)
poor1		-0.270***		-0.270***		-0.593***		-0.593***		-0.124***		-0.124***		-0.137***		-0.137***
		(0.0289)		(0.0289)		(0.0532)		(0.0532)		(0.0165)		(0.0165)		(0.0178)		(0.0178)
T_BindXtwin			0.166***	0.0427			0.296***	0.0327			0.0811**	0.0372			0.112***	0.0598**
			(0.0375)	(0.0348)			(0.102)	(0.0778)			(0.0330)	(0.0323)			(0.0255)	(0.0281)
Constant	-3.911***	-4.423***	-3.909***	-4.422***	-5.192***	-6.312***	-5.189***	-6.311***	2.843***	2.574***	2.844***	2.575***	-1.675***	-1.670***	-1.676***	-1.671***
	(0.494)	(0.503)	(0.493)	(0.503)	(1.030)	(1.093)	(1.029)	(1.093)	(0.796)	(0.819)	(0.796)	(0.820)	(0.218)	(0.220)	(0.218)	(0.220)
																
Observations	249,481	249,481	249,481	249,481	249,713	249,713	249,713	249,713	171,205	171,205	171,205	171,205	113,857	113,857	113,857	113,857
R-squared	0.059	0.154	0.059	0.154	0.708	0.739	0.708	0.739	0.373	0.396	0.373	0.396	0.414	0.476	0.414	0.476
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
