	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Bind	-0.0133	-0.0308	-0.0688*	-0.0440	-0.0148	-0.0512	-0.111	-0.0575	-0.0260	-0.0363**	-0.0537**	-0.0480**	0.00186	-0.00887	-0.0278*	-0.0243
	(0.0301)	(0.0264)	(0.0358)	(0.0331)	(0.0629)	(0.0560)	(0.0759)	(0.0693)	(0.0175)	(0.0169)	(0.0205)	(0.0186)	(0.0154)	(0.0141)	(0.0166)	(0.0154)
malec	-0.0384	-0.0347	-0.0384	-0.0347	-0.0782	-0.0692	-0.0782	-0.0692	0.0156	0.0167	0.0156	0.0167	-0.0118	-0.00644	-0.0118	-0.00644
	(0.0250)	(0.0252)	(0.0249)	(0.0252)	(0.0536)	(0.0545)	(0.0535)	(0.0545)	(0.0113)	(0.0112)	(0.0113)	(0.0112)	(0.0123)	(0.0129)	(0.0123)	(0.0129)
agemay	0.0869***	0.0439***	0.0869***	0.0440***	0.0834	-0.00847	0.0836	-0.00846	-0.0349	-0.0529*	-0.0349	-0.0529*	0.0459***	0.0229*	0.0460***	0.0230*
	(0.0163)	(0.0154)	(0.0163)	(0.0154)	(0.0566)	(0.0552)	(0.0565)	(0.0552)	(0.0260)	(0.0263)	(0.0260)	(0.0263)	(0.0101)	(0.0119)	(0.0101)	(0.0119)
magesq	-0.000420**	2.36e-05	-0.000420**	2.34e-05	0.000324	0.00127*	0.000323	0.00127*	7.25e-05	0.000278	7.25e-05	0.000278	-0.000356***	-0.000115	-0.000358***	-0.000116
	(0.000163)	(0.000163)	(0.000163)	(0.000163)	(0.000689)	(0.000661)	(0.000689)	(0.000661)	(0.000309)	(0.000322)	(0.000309)	(0.000322)	(0.000114)	(0.000146)	(0.000114)	(0.000146)
agefirstbirth	-0.00538	-0.0151***	-0.00548	-0.0152***	0.00194	-0.0174***	0.00176	-0.0174***	-0.00200	-0.00499***	-0.00205	-0.00501***	0.00230	-0.00209	0.00223	-0.00213
	(0.00499)	(0.00254)	(0.00497)	(0.00253)	(0.0120)	(0.00645)	(0.0119)	(0.00644)	(0.00180)	(0.00141)	(0.00180)	(0.00141)	(0.00288)	(0.00140)	(0.00288)	(0.00140)
height		0.00541***		0.00541***		0.0107***		0.0107***		0.00245***		0.00245***		0.00203***		0.00203***
		(0.000727)		(0.000727)		(0.00189)		(0.00189)		(0.000674)		(0.000675)		(0.000399)		(0.000400)
bmi		0.0170***		0.0170***		0.0442***		0.0442***		0.00434***		0.00434***		0.00641***		0.00640***
		(0.00223)		(0.00223)		(0.00546)		(0.00546)		(0.00134)		(0.00134)		(0.000811)		(0.000812)
educf_1_4		0.254***		0.254***		0.631***		0.631***		0.130***		0.130***		0.0907***		0.0907***
		(0.0282)		(0.0282)		(0.0795)		(0.0795)		(0.0236)		(0.0236)		(0.0195)		(0.0194)
educf_5_6		0.479***		0.479***		1.082***		1.082***		0.211***		0.211***		0.192***		0.192***
		(0.0391)		(0.0391)		(0.0824)		(0.0824)		(0.0336)		(0.0336)		(0.0183)		(0.0183)
educf_7_10		0.628***		0.628***		1.361***		1.361***		0.236***		0.236***		0.260***		0.260***
		(0.0524)		(0.0524)		(0.0997)		(0.0997)		(0.0355)		(0.0355)		(0.0195)		(0.0195)
educf_11plus		0.745***		0.745***		1.548***		1.548***		0.289***		0.288***		0.298***		0.298***
		(0.0937)		(0.0937)		(0.168)		(0.168)		(0.0420)		(0.0420)		(0.0298)		(0.0298)
poor1		-0.270***		-0.270***		-0.593***		-0.593***		-0.124***		-0.124***		-0.137***		-0.137***
		(0.0289)		(0.0289)		(0.0532)		(0.0532)		(0.0166)		(0.0166)		(0.0178)		(0.0178)
T_BindXtwin			0.162***	0.0387			0.282***	0.0184			0.0760**	0.0321			0.110***	0.0574**
			(0.0372)	(0.0342)			(0.101)	(0.0756)			(0.0314)	(0.0308)			(0.0255)	(0.0284)
Constant	-3.911***	-4.424***	-3.909***	-4.423***	-5.192***	-6.312***	-5.188***	-6.312***	2.844***	2.580***	2.845***	2.581***	-1.676***	-1.671***	-1.678***	-1.672***
	(0.493)	(0.503)	(0.493)	(0.503)	(1.029)	(1.091)	(1.028)	(1.092)	(0.797)	(0.820)	(0.797)	(0.820)	(0.218)	(0.220)	(0.218)	(0.220)
																
Observations	249,343	249,343	249,343	249,343	249,575	249,575	249,575	249,575	171,104	171,104	171,104	171,104	113,795	113,795	113,795	113,795
R-squared	0.059	0.154	0.059	0.154	0.708	0.739	0.708	0.739	0.373	0.396	0.373	0.396	0.414	0.476	0.414	0.476
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
