	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Bind	-0.0424	-0.0489*	-0.0719**	-0.0450	-0.0606	-0.0742	-0.112	-0.0546	-0.0401**	-0.0456**	-0.0571***	-0.0502***	-0.00560	-0.0128	-0.0285*	-0.0246
	(0.0315)	(0.0271)	(0.0355)	(0.0328)	(0.0647)	(0.0565)	(0.0749)	(0.0685)	(0.0179)	(0.0170)	(0.0202)	(0.0184)	(0.0155)	(0.0143)	(0.0166)	(0.0154)
malec	-0.0404	-0.0357	-0.0404	-0.0357	-0.0817	-0.0711	-0.0818	-0.0711	0.0149	0.0164	0.0149	0.0164	-0.0126	-0.00682	-0.0126	-0.00683
	(0.0249)	(0.0251)	(0.0248)	(0.0251)	(0.0532)	(0.0544)	(0.0532)	(0.0544)	(0.0113)	(0.0112)	(0.0113)	(0.0112)	(0.0124)	(0.0129)	(0.0124)	(0.0129)
agemay	0.0334**	0.00981	0.0333**	0.00982	-0.0100	-0.0612	-0.0102	-0.0612	-0.0531**	-0.0636**	-0.0532**	-0.0636**	0.0283***	0.0130	0.0283***	0.0130
	(0.0153)	(0.0140)	(0.0153)	(0.0140)	(0.0553)	(0.0524)	(0.0553)	(0.0524)	(0.0250)	(0.0259)	(0.0250)	(0.0259)	(0.00840)	(0.00998)	(0.00840)	(0.00998)
magesq	-0.000233	0.000155	-0.000232	0.000155	0.000764	0.00159**	0.000765	0.00159**	0.000108	0.000293	0.000108	0.000293	-0.000298***	-7.73e-05	-0.000298***	-7.74e-05
	(0.000169)	(0.000153)	(0.000169)	(0.000153)	(0.000693)	(0.000645)	(0.000693)	(0.000645)	(0.000305)	(0.000319)	(0.000305)	(0.000319)	(0.000103)	(0.000132)	(0.000103)	(0.000132)
agefirstbirth	0.0370***	0.0102***	0.0370***	0.0102***	0.0671***	0.0126***	0.0671***	0.0126***	0.0148***	0.00512***	0.0148***	0.00512***	0.0160***	0.00503***	0.0160***	0.00505***
	(0.00364)	(0.00117)	(0.00365)	(0.00117)	(0.0118)	(0.00344)	(0.0118)	(0.00345)	(0.00127)	(0.000938)	(0.00127)	(0.000940)	(0.00198)	(0.000521)	(0.00198)	(0.000521)
height		0.00541***		0.00541***		0.0107***		0.0107***		0.00242***		0.00241***		0.00204***		0.00204***
		(0.000725)		(0.000725)		(0.00191)		(0.00191)		(0.000670)		(0.000671)		(0.000397)		(0.000398)
bmi		0.0170***		0.0170***		0.0441***		0.0441***		0.00448***		0.00447***		0.00638***		0.00638***
		(0.00222)		(0.00222)		(0.00547)		(0.00547)		(0.00135)		(0.00135)		(0.000799)		(0.000801)
educf_1_4		0.259***		0.259***		0.634***		0.634***		0.133***		0.133***		0.0919***		0.0919***
		(0.0282)		(0.0282)		(0.0800)		(0.0800)		(0.0242)		(0.0242)		(0.0192)		(0.0192)
educf_5_6		0.491***		0.491***		1.093***		1.093***		0.218***		0.218***		0.195***		0.195***
		(0.0406)		(0.0406)		(0.0828)		(0.0828)		(0.0345)		(0.0345)		(0.0185)		(0.0185)
educf_7_10		0.646***		0.646***		1.382***		1.382***		0.245***		0.245***		0.264***		0.264***
		(0.0541)		(0.0542)		(0.0995)		(0.0995)		(0.0368)		(0.0368)		(0.0196)		(0.0196)
educf_11plus		0.772***		0.773***		1.585***		1.585***		0.299***		0.299***		0.305***		0.304***
		(0.0962)		(0.0962)		(0.168)		(0.168)		(0.0437)		(0.0437)		(0.0301)		(0.0301)
poor1		-0.277***		-0.277***		-0.600***		-0.600***		-0.127***		-0.127***		-0.139***		-0.139***
		(0.0276)		(0.0277)		(0.0521)		(0.0521)		(0.0169)		(0.0169)		(0.0174)		(0.0174)
T_BindXtwin			0.0856**	-0.0113			0.149	-0.0567			0.0461	0.0127			0.0845***	0.0437
			(0.0358)	(0.0333)			(0.0939)	(0.0730)			(0.0318)	(0.0312)			(0.0251)	(0.0273)
Constant	-3.638***	-4.232***	-3.636***	-4.232***	-4.578***	-5.871***	-4.575***	-5.873***	2.949***	2.642***	2.950***	2.642***	-1.477***	-1.553***	-1.476***	-1.552***
	(0.488)	(0.503)	(0.488)	(0.503)	(1.019)	(1.098)	(1.018)	(1.098)	(0.780)	(0.808)	(0.780)	(0.808)	(0.210)	(0.209)	(0.210)	(0.209)
																
Observations	249,343	249,343	249,343	249,343	249,575	249,575	249,575	249,575	171,104	171,104	171,104	171,104	113,795	113,795	113,795	113,795
R-squared	0.047	0.150	0.047	0.150	0.706	0.739	0.706	0.739	0.370	0.395	0.370	0.395	0.410	0.475	0.410	0.475
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
