	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Final	-0.0174	-0.0361***	-0.0487***	-0.0375***	-0.00443	-0.0450	-0.0559*	-0.0334	0.00534	-0.00289	-0.0197**	-0.0136*	0.00318	-0.00448	-0.0101	-0.00709
	(0.0157)	(0.0124)	(0.0129)	(0.0106)	(0.0369)	(0.0276)	(0.0323)	(0.0263)	(0.00853)	(0.00751)	(0.00824)	(0.00699)	(0.00842)	(0.00729)	(0.00646)	(0.00580)
malec	-0.0106	-0.00218	-0.0106	-0.00218	-0.0203	-0.00175	-0.0204	-0.00173	0.0316**	0.0349***	0.0316**	0.0349***	-0.00563	0.00184	-0.00563	0.00184
	(0.0274)	(0.0274)	(0.0274)	(0.0274)	(0.0633)	(0.0640)	(0.0632)	(0.0640)	(0.0121)	(0.0122)	(0.0121)	(0.0122)	(0.0151)	(0.0155)	(0.0151)	(0.0155)
agemay	0.0203*	0.0102	0.0204*	0.0102	-0.0522	-0.0744*	-0.0521	-0.0745*	-0.0298	-0.0369	-0.0297	-0.0369	0.00867*	-0.00115	0.00876*	-0.00113
	(0.0112)	(0.0101)	(0.0112)	(0.0101)	(0.0427)	(0.0419)	(0.0427)	(0.0419)	(0.0227)	(0.0228)	(0.0227)	(0.0228)	(0.00462)	(0.00423)	(0.00462)	(0.00422)
magesq	-3.14e-05	0.000185	-3.38e-05	0.000185	0.00132**	0.00178***	0.00132**	0.00178***	-8.03e-05	6.43e-05	-8.18e-05	6.36e-05	-5.22e-05	9.71e-05*	-5.39e-05	9.68e-05*
	(0.000123)	(0.000121)	(0.000123)	(0.000121)	(0.000557)	(0.000538)	(0.000558)	(0.000538)	(0.000245)	(0.000251)	(0.000245)	(0.000251)	(5.31e-05)	(5.20e-05)	(5.31e-05)	(5.19e-05)
agefirstbirth	0.0368***	0.0120***	0.0368***	0.0120***	0.0670***	0.0186***	0.0670***	0.0185***	0.0130***	0.00299***	0.0130***	0.00300***	0.0153***	0.00577***	0.0153***	0.00577***
	(0.00364)	(0.00146)	(0.00363)	(0.00146)	(0.0108)	(0.00331)	(0.0108)	(0.00331)	(0.00132)	(0.000883)	(0.00132)	(0.000883)	(0.00182)	(0.000672)	(0.00182)	(0.000671)
height		0.00462***		0.00462***		0.00868***		0.00868***		0.00210***		0.00210***		0.00180***		0.00180***
		(0.000650)		(0.000650)		(0.00171)		(0.00170)		(0.000485)		(0.000485)		(0.000332)		(0.000332)
bmi		0.0196***		0.0196***		0.0526***		0.0526***		0.00674***		0.00673***		0.00768***		0.00768***
		(0.00213)		(0.00213)		(0.00581)		(0.00581)		(0.00157)		(0.00157)		(0.000903)		(0.000903)
educf_1_4		0.279***		0.279***		0.667***		0.667***		0.159***		0.159***		0.0927***		0.0927***
		(0.0237)		(0.0237)		(0.0854)		(0.0854)		(0.0231)		(0.0231)		(0.0185)		(0.0185)
educf_5_6		0.519***		0.519***		1.137***		1.138***		0.245***		0.245***		0.194***		0.194***
		(0.0306)		(0.0306)		(0.0852)		(0.0852)		(0.0332)		(0.0332)		(0.0177)		(0.0177)
educf_7_10		0.705***		0.705***		1.459***		1.459***		0.288***		0.287***		0.274***		0.274***
		(0.0420)		(0.0420)		(0.118)		(0.118)		(0.0365)		(0.0365)		(0.0202)		(0.0202)
educf_11plus		0.842***		0.842***		1.647***		1.648***		0.346***		0.346***		0.319***		0.319***
		(0.0901)		(0.0901)		(0.180)		(0.180)		(0.0453)		(0.0453)		(0.0291)		(0.0291)
poor1		-0.303***		-0.303***		-0.663***		-0.663***		-0.145***		-0.145***		-0.137***		-0.137***
		(0.0193)		(0.0193)		(0.0454)		(0.0454)		(0.0164)		(0.0164)		(0.0148)		(0.0148)
T_FinalXtwin			0.114***	0.00519			0.188**	-0.0422			0.0803***	0.0344**			0.0594***	0.0117
			(0.0306)	(0.0218)			(0.0880)	(0.0540)			(0.0143)	(0.0146)			(0.0167)	(0.0129)
Constant	-3.176***	-3.904***	-3.176***	-3.904***	-3.091***	-4.784***	-3.091***	-4.784***	2.449***	1.947**	2.449***	1.947**	-1.007***	-1.161***	-1.008***	-1.161***
	(0.286)	(0.375)	(0.286)	(0.375)	(0.823)	(1.050)	(0.822)	(1.050)	(0.746)	(0.783)	(0.746)	(0.784)	(0.152)	(0.170)	(0.151)	(0.170)
																
Observations	1,142,413	1,142,413	1,142,413	1,142,413	1,143,163	1,143,163	1,143,163	1,143,163	760,739	760,739	760,739	760,739	532,787	532,787	532,787	532,787
R-squared	0.035	0.146	0.035	0.146	0.627	0.666	0.627	0.666	0.316	0.348	0.316	0.348	0.376	0.442	0.376	0.442
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
