	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Final	-0.000490	-0.0252**	-0.0446***	-0.0354***	0.0229	-0.0300	-0.0488	-0.0302	0.0134	0.00189	-0.0176**	-0.0127*	0.00760	-0.00186	-0.00990	-0.00708
	(0.0153)	(0.0121)	(0.0123)	(0.0103)	(0.0378)	(0.0279)	(0.0318)	(0.0260)	(0.00836)	(0.00740)	(0.00818)	(0.00698)	(0.00834)	(0.00719)	(0.00643)	(0.00577)
malec	-0.00943	-0.00161	-0.00948	-0.00162	-0.0185	-0.000998	-0.0186	-0.000998	0.0321**	0.0351***	0.0320**	0.0351***	-0.00505	0.00209	-0.00505	0.00208
	(0.0275)	(0.0275)	(0.0274)	(0.0275)	(0.0634)	(0.0641)	(0.0634)	(0.0641)	(0.0121)	(0.0123)	(0.0121)	(0.0123)	(0.0151)	(0.0156)	(0.0151)	(0.0156)
agemay	0.0791***	0.0471***	0.0794***	0.0472***	0.0526	-0.0132	0.0531	-0.0132	-0.00717	-0.0242	-0.00700	-0.0241	0.0278***	0.0101*	0.0280***	0.0102*
	(0.0105)	(0.00995)	(0.0105)	(0.00995)	(0.0427)	(0.0425)	(0.0427)	(0.0426)	(0.0235)	(0.0229)	(0.0235)	(0.0229)	(0.00572)	(0.00527)	(0.00572)	(0.00527)
magesq	-0.000326***	-3.35e-06	-0.000330***	-4.33e-06	0.000708	0.00138**	0.000702	0.00138**	-0.000182	1.03e-05	-0.000184	9.08e-06	-0.000142**	4.18e-05	-0.000145**	4.10e-05
	(0.000111)	(0.000118)	(0.000111)	(0.000118)	(0.000553)	(0.000533)	(0.000553)	(0.000534)	(0.000249)	(0.000253)	(0.000250)	(0.000253)	(5.86e-05)	(5.99e-05)	(5.87e-05)	(5.99e-05)
agefirstbirth	-0.00324	-0.0122***	-0.00334	-0.0122***	0.00244	-0.0145***	0.00228	-0.0145***	-0.00329**	-0.00611***	-0.00335**	-0.00613***	0.00252	-0.00142	0.00246	-0.00143*
	(0.00358)	(0.00176)	(0.00356)	(0.00176)	(0.00792)	(0.00378)	(0.00786)	(0.00378)	(0.00155)	(0.00113)	(0.00156)	(0.00114)	(0.00188)	(0.000857)	(0.00187)	(0.000856)
height		0.00457***		0.00457***		0.00862***		0.00862***		0.00209***		0.00209***		0.00178***		0.00178***
		(0.000676)		(0.000676)		(0.00174)		(0.00174)		(0.000487)		(0.000488)		(0.000341)		(0.000342)
bmi		0.0198***		0.0198***		0.0529***		0.0529***		0.00679***		0.00679***		0.00777***		0.00777***
		(0.00216)		(0.00216)		(0.00585)		(0.00584)		(0.00158)		(0.00158)		(0.000910)		(0.000910)
educf_1_4		0.276***		0.276***		0.663***		0.663***		0.157***		0.157***		0.0920***		0.0920***
		(0.0236)		(0.0236)		(0.0848)		(0.0847)		(0.0230)		(0.0230)		(0.0186)		(0.0186)
educf_5_6		0.509***		0.509***		1.125***		1.125***		0.241***		0.241***		0.192***		0.192***
		(0.0300)		(0.0300)		(0.0849)		(0.0848)		(0.0329)		(0.0329)		(0.0176)		(0.0176)
educf_7_10		0.688***		0.688***		1.436***		1.436***		0.281***		0.281***		0.270***		0.270***
		(0.0414)		(0.0414)		(0.117)		(0.117)		(0.0360)		(0.0360)		(0.0201)		(0.0201)
educf_11plus		0.811***		0.810***		1.600***		1.600***		0.334***		0.334***		0.311***		0.311***
		(0.0897)		(0.0897)		(0.181)		(0.181)		(0.0449)		(0.0449)		(0.0291)		(0.0291)
poor1		-0.296***		-0.296***		-0.654***		-0.654***		-0.142***		-0.142***		-0.136***		-0.135***
		(0.0200)		(0.0200)		(0.0461)		(0.0461)		(0.0163)		(0.0163)		(0.0148)		(0.0148)
T_FinalXtwin			0.161***	0.0375*			0.262***	0.000674			0.0992***	0.0467***			0.0784***	0.0234*
			(0.0306)	(0.0220)			(0.0909)	(0.0554)			(0.0153)	(0.0155)			(0.0166)	(0.0127)
Constant	-3.610***	-4.185***	-3.611***	-4.185***	-3.916***	-5.302***	-3.918***	-5.302***	2.280***	1.858**	2.280***	1.858**	-1.250***	-1.307***	-1.253***	-1.308***
	(0.294)	(0.369)	(0.294)	(0.369)	(0.843)	(1.055)	(0.843)	(1.055)	(0.754)	(0.786)	(0.754)	(0.786)	(0.160)	(0.168)	(0.160)	(0.168)
																
Observations	1,142,413	1,142,413	1,142,413	1,142,413	1,143,163	1,143,163	1,143,163	1,143,163	760,739	760,739	760,739	760,739	532,787	532,787	532,787	532,787
R-squared	0.046	0.150	0.046	0.150	0.629	0.667	0.629	0.667	0.319	0.349	0.319	0.349	0.379	0.443	0.379	0.443
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
