	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Final	-0.00196	-0.0257**	-0.0455***	-0.0355***	0.0198	-0.0310	-0.0511*	-0.0306	0.0139	0.00268	-0.0165**	-0.0114	0.00567	-0.00321	-0.0115*	-0.00810
	(0.0150)	(0.0119)	(0.0118)	(0.0101)	(0.0373)	(0.0277)	(0.0303)	(0.0255)	(0.00838)	(0.00732)	(0.00806)	(0.00685)	(0.00837)	(0.00715)	(0.00633)	(0.00576)
malec	-0.00956	-0.00175	-0.00961	-0.00176	-0.0187	-0.00126	-0.0188	-0.00126	0.0320**	0.0350***	0.0319**	0.0350***	-0.00504	0.00211	-0.00504	0.00211
	(0.0275)	(0.0275)	(0.0274)	(0.0275)	(0.0634)	(0.0641)	(0.0634)	(0.0641)	(0.0121)	(0.0122)	(0.0121)	(0.0122)	(0.0151)	(0.0156)	(0.0151)	(0.0155)
agemay	0.0793***	0.0472***	0.0795***	0.0473***	0.0530	-0.0131	0.0534	-0.0131	-0.00707	-0.0242	-0.00692	-0.0241	0.0279***	0.0102*	0.0282***	0.0103*
	(0.0105)	(0.00997)	(0.0105)	(0.00997)	(0.0427)	(0.0426)	(0.0427)	(0.0426)	(0.0235)	(0.0229)	(0.0235)	(0.0229)	(0.00570)	(0.00527)	(0.00571)	(0.00527)
magesq	-0.000329***	-4.56e-06	-0.000333***	-5.48e-06	0.000704	0.00138**	0.000697	0.00138**	-0.000182	1.07e-05	-0.000184	9.56e-06	-0.000144**	4.08e-05	-0.000146**	4.00e-05
	(0.000112)	(0.000119)	(0.000112)	(0.000119)	(0.000553)	(0.000533)	(0.000553)	(0.000534)	(0.000249)	(0.000253)	(0.000249)	(0.000253)	(5.84e-05)	(6.00e-05)	(5.85e-05)	(6.00e-05)
agefirstbirth	-0.00328	-0.0122***	-0.00337	-0.0122***	0.00246	-0.0144***	0.00231	-0.0144***	-0.00338**	-0.00617***	-0.00344**	-0.00620***	0.00251	-0.00141	0.00245	-0.00143
	(0.00359)	(0.00177)	(0.00357)	(0.00177)	(0.00792)	(0.00377)	(0.00787)	(0.00377)	(0.00156)	(0.00114)	(0.00156)	(0.00114)	(0.00189)	(0.000860)	(0.00187)	(0.000858)
height		0.00457***		0.00457***		0.00860***		0.00860***		0.00209***		0.00209***		0.00178***		0.00178***
		(0.000677)		(0.000677)		(0.00174)		(0.00174)		(0.000486)		(0.000487)		(0.000343)		(0.000343)
bmi		0.0198***		0.0198***		0.0529***		0.0529***		0.00679***		0.00678***		0.00777***		0.00777***
		(0.00215)		(0.00215)		(0.00584)		(0.00583)		(0.00159)		(0.00158)		(0.000909)		(0.000908)
educf_1_4		0.276***		0.276***		0.663***		0.663***		0.157***		0.157***		0.0919***		0.0919***
		(0.0236)		(0.0236)		(0.0848)		(0.0848)		(0.0230)		(0.0230)		(0.0186)		(0.0186)
educf_5_6		0.509***		0.509***		1.125***		1.125***		0.240***		0.240***		0.192***		0.192***
		(0.0299)		(0.0299)		(0.0849)		(0.0848)		(0.0328)		(0.0328)		(0.0177)		(0.0177)
educf_7_10		0.688***		0.688***		1.435***		1.435***		0.280***		0.280***		0.270***		0.270***
		(0.0414)		(0.0414)		(0.118)		(0.117)		(0.0360)		(0.0360)		(0.0202)		(0.0202)
educf_11plus		0.810***		0.810***		1.599***		1.599***		0.334***		0.334***		0.311***		0.311***
		(0.0896)		(0.0896)		(0.181)		(0.180)		(0.0449)		(0.0449)		(0.0292)		(0.0292)
poor1		-0.296***		-0.296***		-0.654***		-0.654***		-0.142***		-0.142***		-0.136***		-0.135***
		(0.0200)		(0.0200)		(0.0462)		(0.0461)		(0.0163)		(0.0163)		(0.0148)		(0.0148)
T_FinalXtwin			0.160***	0.0361			0.261***	-0.00138			0.0981***	0.0454***			0.0771***	0.0220*
			(0.0312)	(0.0225)			(0.0925)	(0.0570)			(0.0151)	(0.0154)			(0.0169)	(0.0130)
Constant	-3.611***	-4.186***	-3.612***	-4.186***	-3.920***	-5.304***	-3.921***	-5.304***	2.281***	1.859**	2.280***	1.859**	-1.252***	-1.308***	-1.254***	-1.309***
	(0.294)	(0.369)	(0.294)	(0.369)	(0.842)	(1.054)	(0.842)	(1.055)	(0.754)	(0.785)	(0.754)	(0.785)	(0.160)	(0.168)	(0.160)	(0.168)
																
Observations	1,141,489	1,141,489	1,141,489	1,141,489	1,142,239	1,142,239	1,142,239	1,142,239	760,053	760,053	760,053	760,053	532,350	532,350	532,350	532,350
R-squared	0.046	0.150	0.046	0.150	0.629	0.667	0.629	0.667	0.319	0.349	0.319	0.349	0.379	0.443	0.379	0.443
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
