	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Final	-0.0187	-0.0365***	-0.0498***	-0.0377***	-0.00733	-0.0459*	-0.0586*	-0.0340	0.00595	-0.00204	-0.0188**	-0.0124*	0.00124	-0.00583	-0.0118*	-0.00819
	(0.0154)	(0.0123)	(0.0125)	(0.0105)	(0.0364)	(0.0274)	(0.0310)	(0.0258)	(0.00852)	(0.00740)	(0.00815)	(0.00690)	(0.00845)	(0.00726)	(0.00638)	(0.00581)
malec	-0.0107	-0.00233	-0.0107	-0.00233	-0.0206	-0.00200	-0.0206	-0.00199	0.0315**	0.0348***	0.0315**	0.0348***	-0.00563	0.00187	-0.00563	0.00186
	(0.0274)	(0.0274)	(0.0274)	(0.0274)	(0.0633)	(0.0640)	(0.0632)	(0.0640)	(0.0121)	(0.0122)	(0.0121)	(0.0122)	(0.0151)	(0.0155)	(0.0151)	(0.0155)
agemay	0.0203*	0.0102	0.0204*	0.0102	-0.0521	-0.0743*	-0.0519	-0.0743*	-0.0298	-0.0369	-0.0298	-0.0369	0.00877*	-0.00107	0.00886*	-0.00105
	(0.0112)	(0.0101)	(0.0112)	(0.0101)	(0.0427)	(0.0418)	(0.0427)	(0.0419)	(0.0226)	(0.0228)	(0.0226)	(0.0228)	(0.00462)	(0.00423)	(0.00461)	(0.00422)
magesq	-3.31e-05	0.000184	-3.54e-05	0.000184	0.00132**	0.00178***	0.00131**	0.00178***	-8.01e-05	6.51e-05	-8.15e-05	6.44e-05	-5.38e-05	9.59e-05*	-5.54e-05	9.56e-05*
	(0.000124)	(0.000121)	(0.000124)	(0.000122)	(0.000557)	(0.000538)	(0.000558)	(0.000538)	(0.000245)	(0.000251)	(0.000245)	(0.000252)	(5.30e-05)	(5.20e-05)	(5.29e-05)	(5.19e-05)
agefirstbirth	0.0368***	0.0121***	0.0368***	0.0121***	0.0671***	0.0186***	0.0671***	0.0186***	0.0130***	0.00300***	0.0130***	0.00300***	0.0153***	0.00579***	0.0153***	0.00579***
	(0.00363)	(0.00146)	(0.00363)	(0.00146)	(0.0108)	(0.00330)	(0.0108)	(0.00330)	(0.00133)	(0.000887)	(0.00133)	(0.000887)	(0.00182)	(0.000672)	(0.00182)	(0.000671)
height		0.00461***		0.00461***		0.00867***		0.00867***		0.00210***		0.00210***		0.00179***		0.00179***
		(0.000651)		(0.000650)		(0.00171)		(0.00170)		(0.000484)		(0.000484)		(0.000334)		(0.000334)
bmi		0.0196***		0.0196***		0.0526***		0.0526***		0.00673***		0.00673***		0.00768***		0.00768***
		(0.00213)		(0.00213)		(0.00580)		(0.00579)		(0.00157)		(0.00157)		(0.000901)		(0.000901)
educf_1_4		0.279***		0.279***		0.667***		0.667***		0.158***		0.158***		0.0926***		0.0926***
		(0.0237)		(0.0237)		(0.0855)		(0.0855)		(0.0230)		(0.0230)		(0.0186)		(0.0186)
educf_5_6		0.519***		0.519***		1.137***		1.137***		0.244***		0.244***		0.194***		0.194***
		(0.0305)		(0.0305)		(0.0853)		(0.0852)		(0.0331)		(0.0331)		(0.0178)		(0.0178)
educf_7_10		0.705***		0.705***		1.459***		1.459***		0.287***		0.287***		0.274***		0.274***
		(0.0420)		(0.0420)		(0.118)		(0.118)		(0.0365)		(0.0364)		(0.0202)		(0.0202)
educf_11plus		0.842***		0.842***		1.647***		1.647***		0.346***		0.345***		0.319***		0.319***
		(0.0900)		(0.0900)		(0.180)		(0.180)		(0.0453)		(0.0453)		(0.0291)		(0.0291)
poor1		-0.303***		-0.303***		-0.664***		-0.664***		-0.145***		-0.145***		-0.137***		-0.137***
		(0.0194)		(0.0193)		(0.0455)		(0.0454)		(0.0165)		(0.0165)		(0.0148)		(0.0148)
T_FinalXtwin			0.114***	0.00453			0.188**	-0.0436			0.0797***	0.0334**			0.0586***	0.0106
			(0.0310)	(0.0224)			(0.0892)	(0.0555)			(0.0141)	(0.0146)			(0.0169)	(0.0131)
Constant	-3.176***	-3.905***	-3.176***	-3.905***	-3.094***	-4.786***	-3.094***	-4.786***	2.450***	1.948**	2.450***	1.949**	-1.009***	-1.163***	-1.010***	-1.163***
	(0.286)	(0.375)	(0.286)	(0.375)	(0.822)	(1.050)	(0.822)	(1.050)	(0.746)	(0.783)	(0.746)	(0.783)	(0.152)	(0.171)	(0.151)	(0.171)
																
Observations	1,141,489	1,141,489	1,141,489	1,141,489	1,142,239	1,142,239	1,142,239	1,142,239	760,053	760,053	760,053	760,053	532,350	532,350	532,350	532,350
R-squared	0.035	0.146	0.035	0.146	0.627	0.666	0.627	0.666	0.317	0.348	0.317	0.348	0.376	0.442	0.376	0.442
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
