	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	0.0158	0.0168	0.0348	-0.00178*	-0.00243**	-0.0227**	-0.0150	-0.0140	-0.000119	-0.00363**	-0.00436**	-0.0230**	-0.0344**	-0.0326*	-0.0161	-0.00597**	-0.00664**	-0.0229**	-0.0344*	-0.0333*	-0.0246	-0.00779**	-0.00809**	-0.0213**	0.0225	0.0195	0.0303*	-0.00798**	-0.00796**	-0.0191**	-0.0712**	-0.0712**	-0.0659**	-0.00884**	-0.00825**	-0.0184**
	(0.0171)	(0.0171)	(0.0191)	(0.000801)	(0.000801)	(0.000789)	(0.0137)	(0.0137)	(0.0148)	(0.000709)	(0.000709)	(0.000707)	(0.0132)	(0.0132)	(0.0142)	(0.000757)	(0.000758)	(0.000763)	(0.0135)	(0.0135)	(0.0140)	(0.000860)	(0.000862)	(0.000874)	(0.0141)	(0.0142)	(0.0148)	(0.00101)	(0.00102)	(0.00103)	(0.0163)	(0.0163)	(0.0168)	(0.00123)	(0.00124)	(0.00126)
educf_1_4	0.150**	0.154**		0.148**	0.151**		0.145**	0.148**		0.146**	0.149**		0.141**	0.145**		0.143**	0.147**		0.138**	0.142**		0.139**	0.144**		0.133**	0.137**		0.131**	0.135**		0.120**	0.124**		0.124**	0.129**	
	(0.00413)	(0.00425)		(0.00323)	(0.00323)		(0.00300)	(0.00306)		(0.00265)	(0.00265)		(0.00288)	(0.00291)		(0.00268)	(0.00268)		(0.00302)	(0.00303)		(0.00291)	(0.00291)		(0.00342)	(0.00342)		(0.00327)	(0.00327)		(0.00404)	(0.00402)		(0.00379)	(0.00379)	
educf_5_6	0.204**	0.212**		0.198**	0.204**		0.191**	0.199**		0.195**	0.202**		0.187**	0.195**		0.194**	0.202**		0.186**	0.194**		0.191**	0.199**		0.197**	0.205**		0.192**	0.200**		0.177**	0.187**		0.187**	0.196**	
	(0.00701)	(0.00728)		(0.00335)	(0.00334)		(0.00491)	(0.00508)		(0.00283)	(0.00282)		(0.00428)	(0.00440)		(0.00296)	(0.00295)		(0.00411)	(0.00415)		(0.00331)	(0.00330)		(0.00450)	(0.00450)		(0.00383)	(0.00382)		(0.00520)	(0.00515)		(0.00458)	(0.00457)	
educf_7_10	0.224**	0.234**		0.214**	0.223**		0.209**	0.220**		0.215**	0.225**		0.206**	0.218**		0.217**	0.228**		0.208**	0.221**		0.215**	0.228**		0.220**	0.232**		0.214**	0.226**		0.198**	0.211**		0.211**	0.224**	
	(0.0103)	(0.0107)		(0.00309)	(0.00306)		(0.00682)	(0.00710)		(0.00271)	(0.00268)		(0.00561)	(0.00580)		(0.00296)	(0.00294)		(0.00511)	(0.00518)		(0.00344)	(0.00342)		(0.00515)	(0.00514)		(0.00412)	(0.00409)		(0.00613)	(0.00605)		(0.00504)	(0.00502)	
educf_11plus	0.221**	0.234**		0.206**	0.217**		0.197**	0.211**		0.205**	0.219**		0.199**	0.216**		0.216**	0.232**		0.211**	0.230**		0.224**	0.243**		0.248**	0.265**		0.235**	0.254**		0.215**	0.235**		0.238**	0.258**	
	(0.0153)	(0.0158)		(0.00343)	(0.00338)		(0.0103)	(0.0107)		(0.00318)	(0.00314)		(0.00866)	(0.00895)		(0.00382)	(0.00378)		(0.00811)	(0.00822)		(0.00498)	(0.00495)		(0.00880)	(0.00880)		(0.00663)	(0.00660)		(0.0109)	(0.0108)		(0.00898)	(0.00895)	
poor1	-0.0874**	-0.0929**		-0.0798**	-0.0843**		-0.0799**	-0.0861**		-0.0844**	-0.0901**		-0.0818**	-0.0895**		-0.0916**	-0.0987**		-0.0876**	-0.0960**		-0.0957**	-0.104**		-0.107**	-0.114**		-0.0994**	-0.107**		-0.0885**	-0.0965**		-0.103**	-0.111**	
	(0.00787)	(0.00809)		(0.00269)	(0.00269)		(0.00588)	(0.00605)		(0.00223)	(0.00223)		(0.00508)	(0.00522)		(0.00227)	(0.00226)		(0.00477)	(0.00482)		(0.00247)	(0.00246)		(0.00458)	(0.00457)		(0.00280)	(0.00279)		(0.00506)	(0.00498)		(0.00328)	(0.00327)	
height	0.000128**			0.000126**			0.000136**			0.000138**			0.000110**			0.000114**			0.000112**			0.000116**			0.000108**			0.000102**			9.46e-05**			0.000100**		
	(1.55e-05)			(1.53e-05)			(1.35e-05)			(1.33e-05)			(1.42e-05)			(1.40e-05)			(1.57e-05)			(1.55e-05)			(1.79e-05)			(1.77e-05)			(2.09e-05)			(2.07e-05)		
