	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
																																				
fert	-0.445	-0.372	-0.197	-0.252**	-0.265**	-0.507**	1.249	1.369	3.114	-0.281**	-0.295**	-0.507**	-0.287	-0.266	0.0911	-0.266**	-0.278**	-0.460**	0.279	0.308	0.564	-0.227**	-0.236**	-0.383**	-0.0625	-0.0491	0.00989	-0.215**	-0.220**	-0.337**	-0.634	-0.636	-0.551	-0.180**	-0.177**	-0.281**
	(0.768)	(0.796)	(0.955)	(0.0160)	(0.0160)	(0.0159)	(1.018)	(1.078)	(2.340)	(0.0128)	(0.0128)	(0.0127)	(0.521)	(0.525)	(0.632)	(0.0128)	(0.0129)	(0.0129)	(0.497)	(0.503)	(0.565)	(0.0139)	(0.0140)	(0.0141)	(0.352)	(0.354)	(0.372)	(0.0161)	(0.0161)	(0.0164)	(0.422)	(0.423)	(0.438)	(0.0193)	(0.0193)	(0.0197)
educf_1_4	1.132**	1.216**		1.179**	1.245**		1.470**	1.600**		1.210**	1.274**		1.215**	1.283**		1.219**	1.280**		1.223**	1.290**		1.153**	1.209**		1.137**	1.201**		1.112**	1.173**		1.090**	1.147**		1.165**	1.222**	
	(0.204)	(0.230)		(0.0846)	(0.0845)		(0.188)	(0.224)		(0.0646)	(0.0646)		(0.109)	(0.118)		(0.0618)	(0.0619)		(0.0940)	(0.0988)		(0.0632)	(0.0633)		(0.0886)	(0.0898)		(0.0682)	(0.0683)		(0.103)	(0.102)		(0.0751)	(0.0752)	
educf_5_6	2.020**	2.193**		2.156**	2.273**		3.099**	3.395**		2.123**	2.247**		2.178**	2.323**		2.189**	2.317**		2.368**	2.524**		2.154**	2.280**		2.141**	2.285**		2.086**	2.221**		1.914**	2.036**		2.052**	2.174**	
	(0.548)	(0.608)		(0.0892)	(0.0887)		(0.654)	(0.748)		(0.0697)	(0.0694)		(0.283)	(0.305)		(0.0688)	(0.0686)		(0.223)	(0.237)		(0.0728)	(0.0726)		(0.152)	(0.155)		(0.0807)	(0.0805)		(0.158)	(0.157)		(0.0910)	(0.0909)	
educf_7_10	2.559**	2.784**		2.739**	2.892**		3.985**	4.376**		2.710**	2.873**		2.674**	2.872**		2.690**	2.862**		2.902**	3.116**		2.602**	2.774**		2.541**	2.736**		2.468**	2.652**		2.278**	2.438**		2.459**	2.619**	
	(0.726)	(0.805)		(0.0825)	(0.0815)		(0.852)	(0.976)		(0.0670)	(0.0663)		(0.387)	(0.417)		(0.0695)	(0.0689)		(0.305)	(0.325)		(0.0761)	(0.0755)		(0.191)	(0.195)		(0.0877)	(0.0873)		(0.197)	(0.195)		(0.101)	(0.101)	
educf_11plus	2.850*	3.146**		3.128**	3.310**		5.048**	5.550**		3.051**	3.239**		2.986**	3.225**		3.010**	3.210**		3.502**	3.756**		3.015**	3.210**		3.084**	3.323**		2.960**	3.181**		2.583**	2.781**		2.885**	3.084**	
	(1.114)	(1.221)		(0.0965)	(0.0951)		(1.332)	(1.500)		(0.0818)	(0.0810)		(0.606)	(0.643)		(0.0918)	(0.0912)		(0.492)	(0.517)		(0.111)	(0.111)		(0.318)	(0.324)		(0.139)	(0.139)		(0.331)	(0.329)		(0.174)	(0.173)	
poor1	-1.282**	-1.413**		-1.393**	-1.479**		-2.115**	-2.362**		-1.257**	-1.357**		-1.329**	-1.461**		-1.341**	-1.454**		-1.644**	-1.794**		-1.417**	-1.537**		-1.480**	-1.621**		-1.430**	-1.564**		-1.360**	-1.480**		-1.493**	-1.613**	
	(0.449)	(0.495)		(0.0917)	(0.0915)		(0.577)	(0.657)		(0.0713)	(0.0712)		(0.288)	(0.308)		(0.0685)	(0.0684)		(0.234)	(0.248)		(0.0696)	(0.0695)		(0.138)	(0.141)		(0.0756)	(0.0754)		(0.150)	(0.148)		(0.0840)	(0.0838)	
height	0.00139			0.00157**			0.00266**			0.00154**			0.00160**			0.00161**			0.00180**			0.00162**			0.00191**			0.00188**			0.00108*			0.00112**		
	(0.000823)			(0.000425)			(0.000842)			(0.000339)			(0.000426)			(0.000337)			(0.000396)			(0.000351)			(0.000390)			(0.000385)			(0.000433)			(0.000429)		
bmi	0.000567**			0.000612**			0.00108**			0.000677**			0.000752**			0.000756**			0.000870**			0.000793**			0.000877**			0.000868**			0.000867**			0.000848**		
	(0.000189)			(5.94e-05)			(0.000271)			(4.75e-05)			(0.000120)			(4.76e-05)			(9.07e-05)			(5.05e-05)			(5.90e-05)			(5.56e-05)			(6.49e-05)			(6.20e-05)		
malec	0.0637	0.0607	-0.0686	0.0919	0.0758	-0.0935	0.196*	0.188*	0.00811	0.0728	0.0607	-0.0809	0.118*	0.103*	-0.0565	0.119**	0.103*	-0.0496	0.204**	0.181**	0.0285	0.198**	0.177**	0.0540	0.286**	0.259**	0.151**	0.291**	0.265**	0.170**	0.331**	0.309**	0.233**	0.317**	0.295**	0.221**
	(0.123)	(0.123)	(0.0933)	(0.0508)	(0.0509)	(0.0531)	(0.0944)	(0.0953)	(0.0927)	(0.0405)	(0.0406)	(0.0422)	(0.0460)	(0.0451)	(0.0435)	(0.0404)	(0.0405)	(0.0419)	(0.0431)	(0.0432)	(0.0483)	(0.0423)	(0.0424)	(0.0437)	(0.0477)	(0.0480)	(0.0521)	(0.0464)	(0.0465)	(0.0478)	(0.0537)	(0.0537)	(0.0566)	(0.0517)	(0.0518)	(0.0531)
agemay	0.0333	0.0378	0.119	0.0446**	0.0441**	0.0902**	0.138*	0.146*	0.382	0.0457**	0.0455**	0.0766**	0.0467	0.0473	0.103*	0.0480**	0.0466**	0.0626**	0.0702*	0.0699*	0.102**	0.0419**	0.0396**	0.0444**	0.0445*	0.0422*	0.0529*	0.0366**	0.0335**	0.0342**	0.0265	0.0233	0.0300	0.0471**	0.0442**	0.0427**
	(0.0457)	(0.0474)	(0.0899)	(0.00756)	(0.00758)	(0.00772)	(0.0616)	(0.0654)	(0.197)	(0.00613)	(0.00614)	(0.00629)	(0.0318)	(0.0320)	(0.0463)	(0.00619)	(0.00621)	(0.00638)	(0.0287)	(0.0288)	(0.0352)	(0.00660)	(0.00662)	(0.00681)	(0.0196)	(0.0196)	(0.0214)	(0.00736)	(0.00738)	(0.00757)	(0.0209)	(0.0210)	(0.0222)	(0.00835)	(0.00837)	(0.00857)
borddummy2							-0.899	-0.949	-2.347	-0.0681	-0.0512	-0.0985*	-0.0502	-0.0482	-0.362	-0.0619	-0.0418	-0.0415	-0.358	-0.356	-0.545	-0.0745	-0.0528	-0.00405	-0.133	-0.126	-0.174	-0.0486	-0.0313	0.0201	0.0683	0.0847	0.0512	-0.143	-0.130	-0.0755
							(0.555)	(0.584)	(1.456)	(0.0432)	(0.0433)	(0.0450)	(0.287)	(0.288)	(0.372)	(0.0504)	(0.0506)	(0.0524)	(0.285)	(0.286)	(0.329)	(0.0592)	(0.0594)	(0.0613)	(0.208)	(0.208)	(0.221)	(0.0712)	(0.0715)	(0.0734)	(0.215)	(0.216)	(0.223)	(0.0865)	(0.0867)	(0.0890)
borddummy3													0.00674	0.0108	-0.651	-0.0167	0.0235	-0.00434	-0.556	-0.548	-0.960	-0.0235	0.0206	0.0651	-0.123	-0.0965	-0.223	0.0340	0.0787	0.139	0.293	0.335	0.205	-0.117	-0.0817	-0.0430
													(0.570)	(0.571)	(0.744)	(0.0585)	(0.0586)	(0.0606)	(0.528)	(0.530)	(0.616)	(0.0665)	(0.0666)	(0.0687)	(0.370)	(0.371)	(0.396)	(0.0782)	(0.0784)	(0.0805)	(0.392)	(0.395)	(0.413)	(0.0928)	(0.0930)	(0.0954)
