	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																																				
fert	-0.134	-0.137	-0.263*	0.366**	0.369**	0.501**	0.0402	0.0361	-0.0934	0.382**	0.386**	0.505**	-0.00778	-0.00635	-0.0737	0.376**	0.379**	0.480**	0.0351	0.0215	0.0237	0.365**	0.365**	0.446**	-0.145*	-0.139*	-0.181**	0.351**	0.350**	0.415**	0.178**	0.183**	0.154*	0.340**	0.336**	0.393**
	(0.108)	(0.109)	(0.132)	(0.00318)	(0.00319)	(0.00317)	(0.0802)	(0.0806)	(0.0936)	(0.00273)	(0.00273)	(0.00276)	(0.0698)	(0.0701)	(0.0784)	(0.00284)	(0.00284)	(0.00290)	(0.0618)	(0.0622)	(0.0655)	(0.00319)	(0.00320)	(0.00328)	(0.0653)	(0.0655)	(0.0698)	(0.00373)	(0.00374)	(0.00385)	(0.0630)	(0.0633)	(0.0664)	(0.00453)	(0.00454)	(0.00466)
educf_1_4	-0.687**	-0.714**		-0.603**	-0.624**		-0.631**	-0.656**		-0.586**	-0.607**		-0.647**	-0.673**		-0.610**	-0.633**		-0.620**	-0.646**		-0.596**	-0.621**		-0.617**	-0.641**		-0.582**	-0.607**		-0.576**	-0.599**		-0.563**	-0.587**	
	(0.0228)	(0.0237)		(0.0130)	(0.0130)		(0.0151)	(0.0156)		(0.0105)	(0.0105)		(0.0127)	(0.0129)		(0.0104)	(0.0104)		(0.0122)	(0.0122)		(0.0111)	(0.0111)		(0.0136)	(0.0136)		(0.0124)	(0.0124)		(0.0151)	(0.0151)		(0.0142)	(0.0143)	
educf_5_6	-1.215**	-1.265**		-1.005**	-1.043**		-1.129**	-1.178**		-1.004**	-1.045**		-1.132**	-1.183**		-1.020**	-1.067**		-1.113**	-1.168**		-1.037**	-1.089**		-1.132**	-1.182**		-1.036**	-1.089**		-1.046**	-1.096**		-1.019**	-1.072**	
	(0.0475)	(0.0497)		(0.0135)	(0.0135)		(0.0313)	(0.0326)		(0.0112)	(0.0112)		(0.0234)	(0.0241)		(0.0115)	(0.0114)		(0.0192)	(0.0194)		(0.0127)	(0.0127)		(0.0198)	(0.0197)		(0.0147)	(0.0146)		(0.0205)	(0.0202)		(0.0175)	(0.0175)	
educf_7_10	-1.600**	-1.672**		-1.266**	-1.319**		-1.469**	-1.540**		-1.280**	-1.340**		-1.492**	-1.566**		-1.326**	-1.394**		-1.406**	-1.487**		-1.302**	-1.376**		-1.373**	-1.443**		-1.256**	-1.328**		-1.255**	-1.320**		-1.223**	-1.292**	
	(0.0737)	(0.0769)		(0.0126)	(0.0125)		(0.0455)	(0.0475)		(0.0108)	(0.0107)		(0.0324)	(0.0334)		(0.0115)	(0.0114)		(0.0238)	(0.0241)		(0.0133)	(0.0132)		(0.0226)	(0.0224)		(0.0159)	(0.0158)		(0.0230)	(0.0226)		(0.0194)	(0.0193)	
educf_11plus	-1.902**	-1.993**		-1.376**	-1.443**		-1.726**	-1.818**		-1.419**	-1.494**		-1.774**	-1.872**		-1.486**	-1.576**		-1.744**	-1.857**		-1.541**	-1.643**		-1.798**	-1.893**		-1.542**	-1.643**		-1.568**	-1.663**		-1.495**	-1.595**	
	(0.115)	(0.119)		(0.0147)	(0.0144)		(0.0731)	(0.0758)		(0.0134)	(0.0132)		(0.0547)	(0.0561)		(0.0157)	(0.0156)		(0.0432)	(0.0437)		(0.0201)	(0.0199)		(0.0433)	(0.0431)		(0.0263)	(0.0262)		(0.0454)	(0.0448)		(0.0351)	(0.0350)	
poor1	0.832**	0.865**		0.593**	0.616**		0.809**	0.846**		0.656**	0.686**		0.898**	0.938**		0.745**	0.781**		0.941**	0.987**		0.823**	0.864**		1.022**	1.058**		0.866**	0.906**		0.938**	0.972**		0.890**	0.928**	
	(0.0537)	(0.0552)		(0.0133)	(0.0133)		(0.0374)	(0.0385)		(0.0108)	(0.0108)		(0.0299)	(0.0305)		(0.0108)	(0.0108)		(0.0250)	(0.0252)		(0.0117)	(0.0117)		(0.0246)	(0.0245)		(0.0132)	(0.0132)		(0.0239)	(0.0236)		(0.0154)	(0.0154)	
height	-0.000651**			-0.000504**			-0.000676**			-0.000571**			-0.000740**			-0.000658**			-0.000746**			-0.000694**			-0.000638**			-0.000579**			-0.000540**			-0.000527**		
	(7.50e-05)			(6.41e-05)			(6.07e-05)			(5.41e-05)			(5.87e-05)			(5.52e-05)			(6.22e-05)			(6.04e-05)			(7.13e-05)			(6.85e-05)			(8.04e-05)			(8.00e-05)		
bmi	-0.000317**			-0.000256**			-0.000319**			-0.000285**			-0.000351**			-0.000326**			-0.000365**			-0.000361**			-0.000364**			-0.000378**			-0.000368**			-0.000381**		
	(1.69e-05)			(9.92e-06)			(1.17e-05)			(8.42e-06)			(1.00e-05)			(8.70e-06)			(9.78e-06)			(9.58e-06)			(1.14e-05)			(1.08e-05)			(1.35e-05)			(1.25e-05)		
malec	-0.0217	-0.0205	-0.0226	0.0336**	0.0352**	0.0580**	-0.0182*	-0.0164	-0.000940	0.00650	0.00867	0.0358**	-0.0569**	-0.0539**	-0.0278**	-0.0416**	-0.0388**	-0.0114	-0.0795**	-0.0763**	-0.0528**	-0.0732**	-0.0698**	-0.0475**	-0.113**	-0.109**	-0.0878**	-0.109**	-0.106**	-0.0868**	-0.122**	-0.118**	-0.105**	-0.122**	-0.118**	-0.106**
	(0.0145)	(0.0145)	(0.0166)	(0.00765)	(0.00766)	(0.00803)	(0.00880)	(0.00880)	(0.00928)	(0.00647)	(0.00648)	(0.00679)	(0.00735)	(0.00735)	(0.00768)	(0.00663)	(0.00664)	(0.00695)	(0.00747)	(0.00750)	(0.00782)	(0.00725)	(0.00727)	(0.00758)	(0.00851)	(0.00852)	(0.00894)	(0.00821)	(0.00823)	(0.00854)	(0.00961)	(0.00963)	(0.00999)	(0.00958)	(0.00960)	(0.00992)
agemay	0.0518**	0.0485**	0.0181**	0.0428**	0.0401**	0.0197**	0.0623**	0.0596**	0.0404**	0.0558**	0.0533**	0.0364**	0.0745**	0.0721**	0.0610**	0.0672**	0.0649**	0.0538**	0.0790**	0.0775**	0.0737**	0.0740**	0.0724**	0.0681**	0.0830**	0.0820**	0.0841**	0.0782**	0.0772**	0.0781**	0.0816**	0.0812**	0.0855**	0.0808**	0.0805**	0.0842**
	(0.00217)	(0.00206)	(0.00111)	(0.000938)	(0.000934)	(0.000944)	(0.00174)	(0.00168)	(0.00107)	(0.000796)	(0.000794)	(0.000809)	(0.00156)	(0.00154)	(0.00134)	(0.000813)	(0.000813)	(0.000836)	(0.00129)	(0.00130)	(0.00128)	(0.000892)	(0.000894)	(0.000922)	(0.00124)	(0.00124)	(0.00131)	(0.00102)	(0.00102)	(0.00105)	(0.00126)	(0.00126)	(0.00132)	(0.00122)	(0.00122)	(0.00126)
borddummy2							-0.199**	-0.201**	-0.0666	-0.347**	-0.351**	-0.347**	-0.291**	-0.295**	-0.245**	-0.426**	-0.431**	-0.445**	-0.394**	-0.393**	-0.389**	-0.489**	-0.492**	-0.511**	-0.334**	-0.338**	-0.335**	-0.458**	-0.460**	-0.482**	-0.341**	-0.342**	-0.340**	-0.372**	-0.372**	-0.386**
							(0.0353)	(0.0354)	(0.0446)	(0.00687)	(0.00688)	(0.00719)	(0.0261)	(0.0261)	(0.0299)	(0.00852)	(0.00854)	(0.00893)	(0.0213)	(0.0214)	(0.0226)	(0.0115)	(0.0115)	(0.0120)	(0.0236)	(0.0236)	(0.0249)	(0.0165)	(0.0165)	(0.0172)	(0.0286)	(0.0287)	(0.0298)	(0.0257)	(0.0258)	(0.0267)
borddummy3													-0.483**	-0.492**	-0.368**	-0.786**	-0.795**	-0.819**	-0.702**	-0.699**	-0.690**	-0.915**	-0.921**	-0.964**	-0.695**	-0.702**	-0.698**	-0.961**	-0.965**	-1.014**	-0.776**	-0.780**	-0.783**	-0.847**	-0.847**	-0.886**
													(0.0559)	(0.0560)	(0.0646)	(0.00937)	(0.00939)	(0.00978)	(0.0417)	(0.0419)	(0.0442)	(0.0118)	(0.0118)	(0.0122)	(0.0388)	(0.0389)	(0.0409)	(0.0162)	(0.0162)	(0.0168)	(0.0370)	(0.0372)	(0.0385)	(0.0245)	(0.0246)	(0.0254)
borddummy4																			-0.961**	-0.957**	-0.936**	-1.314**	-1.325**	-1.391**	-0.994**	-1.006**	-0.997**	-1.427**	-1.434**	-1.513**	-1.254**	-1.261**	-1.269**	-1.366**	-1.368**	-1.433**
																			(0.0675)	(0.0679)	(0.0718)	(0.0129)	(0.0129)	(0.0134)	(0.0596)	(0.0598)	(0.0630)	(0.0167)	(0.0168)	(0.0173)	(0.0501)	(0.0504)	(0.0521)	(0.0245)	(0.0246)	(0.0253)
borddummy5																									-1.184**	-1.203**		-1.824**	-1.835**		-1.668**	-1.681**		-1.832**	-1.836**	
																									(0.0864)	(0.0867)		(0.0181)	(0.0182)		(0.0684)	(0.0688)		(0.0253)	(0.0254)	
borddummy6																															-1.983**	-2.004**		-2.211**	-2.220**	
																															(0.0923)	(0.0930)		(0.0268)	(0.0269)	
Constant	3.134*	1.575	0.0809	6.335**	5.121**	4.024*	2.310	0.600	0.793	5.845**	4.474**	3.219*	1.199	-0.872	-1.751	5.376**	3.773**	2.385	0.726	-1.156	-1.706	4.996**	3.254*	1.793	0.870	-0.954	-1.479	4.522**	2.897*	1.422	-0.928	-2.586	-3.613*	4.339**	2.765	1.235
	(1.324)	(1.309)	(1.456)	(1.718)	(1.718)	(1.801)	(1.860)	(1.859)	(2.037)	(1.280)	(1.279)	(1.340)	(1.961)	(1.961)	(2.103)	(1.346)	(1.346)	(1.408)	(1.443)	(1.444)	(1.516)	(1.403)	(1.404)	(1.463)	(1.252)	(1.247)	(1.311)	(1.447)	(1.446)	(1.501)	(1.526)	(1.525)	(1.581)	(1.486)	(1.484)	(1.534)
																																				
Observations	201,469	201,469	201,469	201,469	201,469	201,469	311,868	311,868	311,868	311,868	311,868	311,868	329,004	329,004	329,004	329,004	329,004	329,004	297,827	297,827	297,827	297,827	297,827	297,827	245,663	245,663	245,663	245,663	245,663	245,663	187,281	187,281	187,281	187,281	187,281	187,281
R-squared	0.363	0.359	0.194	0.432	0.430	0.374	0.390	0.386	0.264	0.419	0.417	0.360	0.378	0.376	0.281	0.411	0.409	0.353	0.385	0.380	0.315	0.406	0.403	0.351	0.360	0.358	0.291	0.403	0.400	0.354	0.396	0.394	0.347	0.400	0.397	0.356
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
