	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	-0.0462	-0.0454	-0.0220	-0.0501**	-0.0513**	-0.0863**	-0.0449	-0.0430	-0.00878	-0.0539**	-0.0551**	-0.0876**	-0.0506	-0.0508	-0.0364	-0.0490**	-0.0498**	-0.0773**	0.0135	0.0172	0.0208	-0.0456**	-0.0458**	-0.0678**	-0.0374	-0.0399	-0.0311	-0.0416**	-0.0411**	-0.0585**	-0.110**	-0.112**	-0.105**	-0.0396**	-0.0381**	-0.0531**
	(0.0416)	(0.0417)	(0.0463)	(0.00128)	(0.00128)	(0.00124)	(0.0329)	(0.0331)	(0.0365)	(0.00108)	(0.00108)	(0.00106)	(0.0284)	(0.0285)	(0.0304)	(0.00112)	(0.00112)	(0.00111)	(0.0257)	(0.0258)	(0.0265)	(0.00126)	(0.00126)	(0.00126)	(0.0257)	(0.0258)	(0.0266)	(0.00145)	(0.00146)	(0.00146)	(0.0265)	(0.0266)	(0.0273)	(0.00177)	(0.00177)	(0.00178)
educf_1_4	0.128**	0.137**		0.128**	0.136**		0.141**	0.150**		0.140**	0.149**		0.164**	0.173**		0.164**	0.173**		0.177**	0.186**		0.173**	0.182**		0.175**	0.184**		0.175**	0.184**		0.166**	0.175**		0.172**	0.181**	
	(0.00894)	(0.00929)		(0.00541)	(0.00540)		(0.00605)	(0.00625)		(0.00431)	(0.00431)		(0.00516)	(0.00524)		(0.00425)	(0.00425)		(0.00498)	(0.00499)		(0.00458)	(0.00458)		(0.00538)	(0.00536)		(0.00502)	(0.00502)		(0.00621)	(0.00617)		(0.00578)	(0.00578)	
educf_5_6	0.259**	0.275**		0.257**	0.273**		0.279**	0.297**		0.276**	0.293**		0.297**	0.315**		0.298**	0.315**		0.330**	0.349**		0.316**	0.334**		0.315**	0.333**		0.314**	0.332**		0.292**	0.311**		0.305**	0.323**	
	(0.0188)	(0.0196)		(0.00563)	(0.00560)		(0.0132)	(0.0137)		(0.00460)	(0.00458)		(0.00982)	(0.0101)		(0.00470)	(0.00468)		(0.00810)	(0.00815)		(0.00525)	(0.00523)		(0.00793)	(0.00786)		(0.00596)	(0.00594)		(0.00850)	(0.00833)		(0.00709)	(0.00707)	
educf_7_10	0.339**	0.362**		0.336**	0.358**		0.368**	0.393**		0.362**	0.386**		0.393**	0.418**		0.394**	0.419**		0.418**	0.446**		0.398**	0.425**		0.384**	0.409**		0.383**	0.408**		0.355**	0.379**		0.369**	0.393**	
	(0.0286)	(0.0297)		(0.00521)	(0.00515)		(0.0189)	(0.0197)		(0.00443)	(0.00438)		(0.0136)	(0.0140)		(0.00473)	(0.00468)		(0.0102)	(0.0103)		(0.00549)	(0.00544)		(0.00911)	(0.00900)		(0.00645)	(0.00640)		(0.00958)	(0.00935)		(0.00785)	(0.00781)	
educf_11plus	0.402**	0.431**		0.398**	0.424**		0.447**	0.479**		0.438**	0.468**		0.466**	0.500**		0.468**	0.500**		0.525**	0.563**		0.486**	0.521**		0.484**	0.516**		0.481**	0.515**		0.416**	0.449**		0.451**	0.484**	
