	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	0.0145	0.0153	0.0314	-0.0145**	-0.0153**	-0.0384**	0.0111	0.0126	0.0272	-0.0180**	-0.0188**	-0.0413**	0.0141	0.0157	0.0378*	-0.0204**	-0.0213**	-0.0420**	0.0113	0.0133	0.0243	-0.0229**	-0.0235**	-0.0420**	0.0286	0.0295	0.0476*	-0.0241**	-0.0246**	-0.0404**	-0.0115	-0.00784	0.0115	-0.0246**	-0.0249**	-0.0389**
	(0.0241)	(0.0242)	(0.0270)	(0.00122)	(0.00122)	(0.00120)	(0.0184)	(0.0185)	(0.0203)	(0.00110)	(0.00110)	(0.00110)	(0.0163)	(0.0164)	(0.0182)	(0.00123)	(0.00123)	(0.00124)	(0.0197)	(0.0199)	(0.0212)	(0.00145)	(0.00145)	(0.00148)	(0.0216)	(0.0217)	(0.0234)	(0.00177)	(0.00177)	(0.00182)	(0.0252)	(0.0252)	(0.0269)	(0.00221)	(0.00221)	(0.00227)
educf_1_4	0.130**	0.133**		0.126**	0.128**		0.131**	0.133**		0.128**	0.129**		0.138**	0.140**		0.135**	0.138**		0.144**	0.147**		0.141**	0.144**		0.146**	0.149**		0.141**	0.144**		0.139**	0.143**		0.137**	0.141**	
	(0.00640)	(0.00654)		(0.00516)	(0.00516)		(0.00470)	(0.00477)		(0.00429)	(0.00429)		(0.00465)	(0.00468)		(0.00450)	(0.00450)		(0.00525)	(0.00528)		(0.00508)	(0.00508)		(0.00627)	(0.00630)		(0.00591)	(0.00591)		(0.00732)	(0.00734)		(0.00699)	(0.00699)	
educf_5_6	0.183**	0.188**		0.174**	0.178**		0.187**	0.193**		0.180**	0.185**		0.198**	0.205**		0.191**	0.197**		0.204**	0.211**		0.198**	0.204**		0.218**	0.225**		0.209**	0.215**		0.217**	0.226**		0.216**	0.224**	
	(0.00908)	(0.00952)		(0.00488)	(0.00487)		(0.00606)	(0.00632)		(0.00413)	(0.00412)		(0.00546)	(0.00562)		(0.00440)	(0.00439)		(0.00625)	(0.00638)		(0.00506)	(0.00505)		(0.00715)	(0.00723)		(0.00605)	(0.00603)		(0.00810)	(0.00812)		(0.00735)	(0.00732)	
educf_7_10	0.203**	0.210**		0.187**	0.194**		0.207**	0.215**		0.195**	0.202**		0.218**	0.228**		0.207**	0.215**		0.225**	0.235**		0.216**	0.225**		0.237**	0.247**		0.225**	0.234**		0.239**	0.250**		0.236**	0.246**	
	(0.0133)	(0.0140)		(0.00428)	(0.00424)		(0.00841)	(0.00887)		(0.00383)	(0.00380)		(0.00678)	(0.00707)		(0.00442)	(0.00439)		(0.00755)	(0.00776)		(0.00543)	(0.00539)		(0.00837)	(0.00849)		(0.00682)	(0.00678)		(0.0103)	(0.0104)		(0.00860)	(0.00855)	
educf_11plus	0.202**	0.212**		0.179**	0.187**		0.204**	0.215**		0.186**	0.195**		0.226**	0.240**		0.210**	0.221**		0.247**	0.261**		0.232**	0.245**		0.285**	0.300**		0.266**	0.280**		0.293**	0.310**		0.289**	0.304**	
	(0.0191)	(0.0200)		(0.00449)	(0.00443)		(0.0120)	(0.0126)		(0.00413)	(0.00408)		(0.00923)	(0.00966)		(0.00498)	(0.00492)		(0.0105)	(0.0109)		(0.00668)	(0.00661)		(0.0122)	(0.0124)		(0.00936)	(0.00929)		(0.0154)	(0.0155)		(0.0132)	(0.0131)	
poor1	-0.110**	-0.117**		-0.0990**	-0.104**		-0.115**	-0.122**		-0.103**	-0.109**		-0.123**	-0.131**		-0.111**	-0.118**		-0.127**	-0.136**		-0.117**	-0.124**		-0.128**	-0.135**		-0.116**	-0.123**		-0.121**	-0.130**		-0.119**	-0.126**	
	(0.0103)	(0.0109)		(0.00401)	(0.00399)		(0.00787)	(0.00828)		(0.00332)	(0.00330)		(0.00631)	(0.00659)		(0.00341)	(0.00338)		(0.00683)	(0.00706)		(0.00380)	(0.00377)		(0.00653)	(0.00665)		(0.00440)	(0.00436)		(0.00703)	(0.00706)		(0.00526)	(0.00522)	
height	0.000121**			0.000109**			0.000141**			0.000132**			0.000116**			0.000108**			8.69e-05**			7.95e-05**			8.42e-05**			7.49e-05*			9.02e-05*			9.00e-05*		
	(2.46e-05)			(2.27e-05)			(2.10e-05)			(2.02e-05)			(2.25e-05)			(2.21e-05)			(2.62e-05)			(2.58e-05)			(3.11e-05)			(3.06e-05)			(3.67e-05)			(3.67e-05)		
