	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	0.00909	0.00949	0.0339	0.00623**	0.00562**	-0.0145**	-0.0350	-0.0357	-0.0199	0.00525**	0.00469**	-0.0122**	-0.0908**	-0.0877**	-0.0742**	0.00161	0.00134	-0.0124**	-0.0718**	-0.0729**	-0.0621**	-0.000442	-6.00e-05	-0.0100**	0.0214	0.0147	0.0235	-0.000528	0.000331	-0.00825**	-0.0956**	-0.100**	-0.0991**	-0.00161	5.19e-05	-0.00805**
	(0.0357)	(0.0356)	(0.0391)	(0.00138)	(0.00139)	(0.00138)	(0.0260)	(0.0260)	(0.0278)	(0.00113)	(0.00113)	(0.00114)	(0.0243)	(0.0243)	(0.0256)	(0.00111)	(0.00112)	(0.00113)	(0.0202)	(0.0203)	(0.0208)	(0.00121)	(0.00121)	(0.00123)	(0.0203)	(0.0205)	(0.0212)	(0.00137)	(0.00137)	(0.00140)	(0.0225)	(0.0228)	(0.0233)	(0.00163)	(0.00164)	(0.00166)
educf_1_4	0.164**	0.170**		0.164**	0.170**		0.154**	0.161**		0.158**	0.165**		0.142**	0.149**		0.150**	0.157**		0.138**	0.144**		0.142**	0.148**		0.133**	0.138**		0.132**	0.137**		0.118**	0.124**		0.125**	0.130**	
	(0.00703)	(0.00718)		(0.00520)	(0.00520)		(0.00485)	(0.00492)		(0.00404)	(0.00405)		(0.00446)	(0.00447)		(0.00384)	(0.00385)		(0.00418)	(0.00418)		(0.00398)	(0.00399)		(0.00452)	(0.00451)		(0.00435)	(0.00435)		(0.00531)	(0.00530)		(0.00498)	(0.00499)	
educf_5_6	0.229**	0.240**		0.228**	0.238**		0.202**	0.214**		0.213**	0.225**		0.186**	0.198**		0.205**	0.217**		0.183**	0.196**		0.193**	0.206**		0.192**	0.202**		0.189**	0.200**		0.167**	0.179**		0.181**	0.192**	
	(0.0123)	(0.0126)		(0.00625)	(0.00624)		(0.00854)	(0.00872)		(0.00497)	(0.00496)		(0.00714)	(0.00720)		(0.00486)	(0.00485)		(0.00600)	(0.00596)		(0.00519)	(0.00518)		(0.00647)	(0.00640)		(0.00579)	(0.00578)		(0.00770)	(0.00760)		(0.00680)	(0.00679)	
educf_7_10	0.247**	0.264**		0.245**	0.261**		0.219**	0.237**		0.239**	0.257**		0.194**	0.213**		0.231**	0.248**		0.201**	0.219**		0.222**	0.240**		0.219**	0.233**		0.214**	0.230**		0.188**	0.204**		0.207**	0.222**	
	(0.0227)	(0.0232)		(0.00573)	(0.00566)		(0.0136)	(0.0139)		(0.00470)	(0.00465)		(0.0108)	(0.0109)		(0.00469)	(0.00464)		(0.00788)	(0.00779)		(0.00511)	(0.00507)		(0.00744)	(0.00730)		(0.00583)	(0.00580)		(0.00846)	(0.00825)		(0.00698)	(0.00696)	
educf_11plus	0.263**	0.293**		0.259**	0.289**		0.222**	0.256**		0.260**	0.295**		0.180**	0.221**		0.254**	0.293**		0.211**	0.250**		0.251**	0.290**		0.260**	0.290**		0.251**	0.284**		0.191**	0.226**		0.230**	0.263**	
	(0.0413)	(0.0424)		(0.00860)	(0.00844)		(0.0259)	(0.0265)		(0.00784)	(0.00773)		(0.0215)	(0.0217)		(0.00893)	(0.00883)		(0.0162)	(0.0160)		(0.0112)	(0.0112)		(0.0167)	(0.0164)		(0.0140)	(0.0140)		(0.0205)	(0.0201)		(0.0179)	(0.0178)	
poor1	-0.0975**	-0.105**		-0.0963**	-0.104**		-0.0818**	-0.0900**		-0.0964**	-0.105**		-0.0678**	-0.0774**		-0.0980**	-0.107**		-0.0773**	-0.0860**		-0.0975**	-0.106**		-0.108**	-0.115**		-0.103**	-0.111**		-0.0845**	-0.0919**		-0.107**	-0.115**	
	(0.0155)	(0.0158)		(0.00503)	(0.00502)		(0.0102)	(0.0104)		(0.00386)	(0.00386)		(0.00878)	(0.00885)		(0.00364)	(0.00363)		(0.00686)	(0.00682)		(0.00375)	(0.00374)		(0.00650)	(0.00642)		(0.00408)	(0.00407)		(0.00720)	(0.00708)		(0.00466)	(0.00466)	
height	0.000165**			0.000165**			0.000157**			0.000156**			0.000119**			0.000116**			0.000131**			0.000134**			0.000114**			0.000110**			9.77e-05**			0.000107**		
	(2.82e-05)			(2.77e-05)			(2.20e-05)			(2.18e-05)			(2.16e-05)			(2.09e-05)			(2.22e-05)			(2.18e-05)			(2.41e-05)			(2.38e-05)			(2.80e-05)			(2.73e-05)		
