	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																																				
fert	0.0302	0.0312	0.0373	-0.00866**	-0.00875**	-0.0191**	-0.0126	-0.0118	-0.0107	-0.0128**	-0.0130**	-0.0237**	-0.00384	-0.00185	0.000702	-0.0121**	-0.0125**	-0.0223**	0.0229	0.0272	0.0171	-0.0121**	-0.0125**	-0.0206**	-0.0230	-0.0235	-0.0224	-0.0111**	-0.0114**	-0.0181**	-0.125**	-0.123**	-0.116**	-0.0126**	-0.0127**	-0.0180**
	(0.0228)	(0.0229)	(0.0252)	(0.00140)	(0.00140)	(0.00131)	(0.0215)	(0.0216)	(0.0224)	(0.00139)	(0.00139)	(0.00132)	(0.0266)	(0.0269)	(0.0277)	(0.00166)	(0.00166)	(0.00161)	(0.0338)	(0.0343)	(0.0325)	(0.00203)	(0.00203)	(0.00199)	(0.0325)	(0.0325)	(0.0335)	(0.00251)	(0.00251)	(0.00248)	(0.0436)	(0.0437)	(0.0420)	(0.00315)	(0.00315)	(0.00311)
educf_1_4	0.0745**	0.0758**		0.0561**	0.0567**		0.0648**	0.0656**		0.0647**	0.0652**		0.0581**	0.0597**		0.0558**	0.0567**		0.0650**	0.0670**		0.0580**	0.0589**		0.0459**	0.0470**		0.0474**	0.0485**		0.0245*	0.0259*		0.0416**	0.0426**	
	(0.0133)	(0.0134)		(0.00767)	(0.00766)		(0.0102)	(0.0103)		(0.00644)	(0.00644)		(0.00997)	(0.0101)		(0.00665)	(0.00665)		(0.00988)	(0.0100)		(0.00716)	(0.00716)		(0.00902)	(0.00905)		(0.00809)	(0.00809)		(0.0118)	(0.0118)		(0.00926)	(0.00926)	
educf_5_6	0.129**	0.131**		0.0988**	0.0999**		0.107**	0.109**		0.107**	0.108**		0.0999**	0.104**		0.0955**	0.0980**		0.111**	0.116**		0.0976**	0.100**		0.0938**	0.0962**		0.0969**	0.0995**		0.0565**	0.0584**		0.0807**	0.0823**	
	(0.0192)	(0.0195)		(0.00729)	(0.00728)		(0.0157)	(0.0160)		(0.00616)	(0.00615)		(0.0155)	(0.0159)		(0.00650)	(0.00649)		(0.0147)	(0.0151)		(0.00722)	(0.00721)		(0.0121)	(0.0122)		(0.00845)	(0.00844)		(0.0142)	(0.0142)		(0.0100)	(0.00999)	
educf_7_10	0.151**	0.154**		0.114**	0.116**		0.123**	0.125**		0.122**	0.124**		0.120**	0.125**		0.115**	0.119**		0.129**	0.137**		0.114**	0.119**		0.111**	0.116**		0.114**	0.119**		0.0642**	0.0670**		0.0940**	0.0967**	
	(0.0226)	(0.0230)		(0.00740)	(0.00737)		(0.0184)	(0.0189)		(0.00637)	(0.00634)		(0.0176)	(0.0182)		(0.00695)	(0.00691)		(0.0163)	(0.0170)		(0.00805)	(0.00801)		(0.0131)	(0.0133)		(0.00977)	(0.00973)		(0.0171)	(0.0172)		(0.0120)	(0.0119)	
educf_11plus	0.166**	0.170**		0.121**	0.123**		0.127**	0.131**		0.127**	0.130**		0.129**	0.136**		0.122**	0.127**		0.138**	0.148**		0.117**	0.123**		0.101**	0.108**		0.107**	0.114**		0.0537*	0.0579*		0.101**	0.105**	
	(0.0274)	(0.0279)		(0.00743)	(0.00738)		(0.0224)	(0.0230)		(0.00656)	(0.00650)		(0.0229)	(0.0237)		(0.00745)	(0.00739)		(0.0223)	(0.0232)		(0.00894)	(0.00888)		(0.0191)	(0.0193)		(0.0111)	(0.0110)		(0.0239)	(0.0241)		(0.0144)	(0.0143)	
poor1	-0.0346**	-0.0357**		-0.0166**	-0.0170**		-0.0145	-0.0155		-0.0144**	-0.0150**		-0.0201	-0.0228*		-0.0169**	-0.0186**		-0.0309*	-0.0358**		-0.0184**	-0.0212**		-0.0164	-0.0198		-0.0207**	-0.0243**		0.0232	0.0203		-0.0174*	-0.0195*	
	(0.0113)	(0.0114)		(0.00388)	(0.00388)		(0.00963)	(0.00981)		(0.00366)	(0.00365)		(0.0111)	(0.0114)		(0.00435)	(0.00433)		(0.0132)	(0.0136)		(0.00533)	(0.00531)		(0.0135)	(0.0136)		(0.00675)	(0.00671)		(0.0180)	(0.0180)		(0.00831)	(0.00827)	
height	4.80e-05			3.63e-05			6.64e-05*			6.63e-05**			0.000125**			0.000120**			0.000161**			0.000143**			0.000148**			0.000151**			2.59e-05			6.40e-05		
