	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
																																				
fert	-0.317	-0.275	-0.585	-0.320**	-0.332**	-0.592**	1.306	1.447	3.022	-0.348**	-0.363**	-0.599**	-1.167*	-1.150*	-1.198*	-0.349**	-0.363**	-0.571**	0.778	0.772	0.876	-0.317**	-0.329**	-0.503**	0.552	0.580	0.797	-0.293**	-0.302**	-0.450**	-1.065	-0.911	-0.698	-0.238**	-0.240**	-0.375**
	(0.707)	(0.720)	(0.680)	(0.0221)	(0.0221)	(0.0219)	(0.900)	(0.971)	(1.981)	(0.0177)	(0.0176)	(0.0176)	(0.510)	(0.516)	(0.529)	(0.0185)	(0.0185)	(0.0187)	(0.624)	(0.625)	(0.681)	(0.0214)	(0.0215)	(0.0218)	(0.491)	(0.495)	(0.549)	(0.0253)	(0.0254)	(0.0259)	(0.823)	(0.822)	(0.869)	(0.0306)	(0.0307)	(0.0314)
educf_1_4	1.113**	1.179**		1.112**	1.161**		1.484**	1.612**		1.166**	1.219**		1.052**	1.093**		1.203**	1.254**		1.377**	1.446**		1.189**	1.240**		1.440**	1.516**		1.249**	1.308**		1.235**	1.323**		1.426**	1.479**	
	(0.237)	(0.255)		(0.118)	(0.118)		(0.203)	(0.238)		(0.0898)	(0.0898)		(0.133)	(0.141)		(0.0899)	(0.0900)		(0.149)	(0.156)		(0.0975)	(0.0976)		(0.157)	(0.162)		(0.108)	(0.108)		(0.227)	(0.227)		(0.121)	(0.121)	
educf_5_6	1.997**	2.122**		1.994**	2.082**		3.044**	3.340**		2.025**	2.125**		1.715**	1.795**		2.142**	2.241**		2.622**	2.764**		2.171**	2.275**		2.578**	2.721**		2.287**	2.402**		2.136**	2.286**		2.376**	2.483**	
	(0.479)	(0.522)		(0.119)	(0.119)		(0.565)	(0.661)		(0.0915)	(0.0912)		(0.284)	(0.308)		(0.0940)	(0.0937)		(0.280)	(0.299)		(0.106)	(0.105)		(0.209)	(0.217)		(0.120)	(0.120)		(0.277)	(0.279)		(0.138)	(0.137)	
educf_7_10	2.702**	2.873**		2.699**	2.819**		4.013**	4.397**		2.713**	2.843**		2.167**	2.271**		2.727**	2.854**		3.364**	3.557**		2.729**	2.872**		3.122**	3.329**		2.718**	2.885**		2.507**	2.713**		2.859**	3.003**	
	(0.634)	(0.692)		(0.106)	(0.105)		(0.714)	(0.840)		(0.0861)	(0.0853)		(0.363)	(0.395)		(0.0957)	(0.0951)		(0.381)	(0.407)		(0.114)	(0.113)		(0.275)	(0.288)		(0.140)	(0.139)		(0.390)	(0.393)		(0.167)	(0.166)	
educf_11plus	2.985**	3.208**		2.980**	3.126**		4.843**	5.344**		2.913**	3.066**		2.161**	2.285**		2.980**	3.129**		3.975**	4.191**		3.139**	3.296**		4.058**	4.308**		3.525**	3.724**		2.913**	3.200**		3.399**	3.600**	
	(0.971)	(1.053)		(0.123)	(0.121)		(1.057)	(1.228)		(0.103)	(0.102)		(0.526)	(0.567)		(0.121)	(0.120)		(0.506)	(0.535)		(0.161)	(0.160)		(0.380)	(0.395)		(0.214)	(0.214)		(0.563)	(0.566)		(0.281)	(0.280)	
poor1	-1.520**	-1.649**		-1.518**	-1.614**		-2.357**	-2.673**		-1.326**	-1.435**		-1.012**	-1.106**		-1.486**	-1.602**		-2.118**	-2.291**		-1.582**	-1.708**		-1.937**	-2.118**		-1.611**	-1.758**		-1.303**	-1.481**		-1.577**	-1.707**	
	(0.422)	(0.466)		(0.131)	(0.130)		(0.573)	(0.675)		(0.0995)	(0.0991)		(0.312)	(0.341)		(0.0980)	(0.0975)		(0.325)	(0.348)		(0.104)	(0.103)		(0.222)	(0.233)		(0.113)	(0.113)		(0.302)	(0.304)		(0.127)	(0.126)	
height	0.000886			0.000882			0.00229*			0.000698			8.54e-05			0.000588			0.00157*			0.00114*			0.00185**			0.00173**			0.00113			0.00127		
	(0.000947)			(0.000572)			(0.00102)			(0.000455)			(0.000587)			(0.000476)			(0.000614)			(0.000529)			(0.000621)			(0.000599)			(0.000708)			(0.000678)		
bmi	0.000524**			0.000523**			0.00109**			0.000618**			0.000444**			0.000647**			0.000894**			0.000682**			0.000861**			0.000762**			0.000678**			0.000694**		
	(0.000192)			(7.80e-05)			(0.000268)			(6.16e-05)			(0.000143)			(6.42e-05)			(0.000143)			(7.18e-05)			(0.000102)			(8.10e-05)			(9.55e-05)			(9.19e-05)		
malec	0.124	0.121	-0.0984	0.123	0.109	-0.0993	0.324*	0.328*	0.120	0.116*	0.107	-0.0858	0.142	0.136	-0.0320	0.219**	0.206**	-0.0197	0.364**	0.335**	0.0696	0.322**	0.300**	0.0954	0.514**	0.481**	0.250**	0.521**	0.493**	0.310**	0.610**	0.583**	0.432**	0.588**	0.565**	0.415**
	(0.169)	(0.167)	(0.122)	(0.0687)	(0.0688)	(0.0720)	(0.130)	(0.136)	(0.150)	(0.0543)	(0.0544)	(0.0569)	(0.0759)	(0.0748)	(0.0615)	(0.0568)	(0.0569)	(0.0592)	(0.0714)	(0.0704)	(0.0731)	(0.0635)	(0.0636)	(0.0658)	(0.0742)	(0.0747)	(0.0836)	(0.0719)	(0.0720)	(0.0745)	(0.0868)	(0.0863)	(0.0961)	(0.0818)	(0.0820)	(0.0847)
agemay	0.0351	0.0401	0.106	0.0349**	0.0366**	0.105**	0.135*	0.148*	0.420*	0.0351**	0.0365**	0.0852**	-0.0149	-0.0132	0.0169	0.0341**	0.0343**	0.0654**	0.0903*	0.0894*	0.133**	0.0257*	0.0245*	0.0416**	0.0709*	0.0705*	0.106**	0.0225	0.0203	0.0306*	-0.00319	0.00282	0.0250	0.0386**	0.0367**	0.0420**
	(0.0444)	(0.0459)	(0.0739)	(0.0104)	(0.0104)	(0.0106)	(0.0553)	(0.0608)	(0.184)	(0.00834)	(0.00836)	(0.00855)	(0.0319)	(0.0324)	(0.0419)	(0.00877)	(0.00879)	(0.00906)	(0.0383)	(0.0383)	(0.0466)	(0.0100)	(0.0100)	(0.0104)	(0.0305)	(0.0306)	(0.0356)	(0.0115)	(0.0116)	(0.0119)	(0.0438)	(0.0437)	(0.0480)	(0.0134)	(0.0134)	(0.0139)
borddummy2							-0.835*	-0.883*	-2.161*	-0.103	-0.0875	-0.202**	0.281	0.283	0.188	-0.0774	-0.0573	-0.118	-0.587	-0.560	-0.713*	-0.0772	-0.0528	-0.0490	-0.413	-0.406	-0.596*	-0.00385	0.0184	0.0204	0.202	0.157	0.0229	-0.149	-0.128	-0.117
							(0.404)	(0.432)	(1.076)	(0.0579)	(0.0580)	(0.0605)	(0.235)	(0.235)	(0.269)	(0.0711)	(0.0713)	(0.0743)	(0.306)	(0.303)	(0.343)	(0.0898)	(0.0900)	(0.0934)	(0.264)	(0.265)	(0.298)	(0.112)	(0.113)	(0.117)	(0.378)	(0.377)	(0.404)	(0.141)	(0.141)	(0.146)
borddummy3													0.781	0.785	0.596	0.0169	0.0566	-0.0527	-1.003	-0.951	-1.273	0.00315	0.0502	0.0388	-0.710	-0.678	-1.027	0.101	0.161	0.185	0.714	0.636	0.362	6.56e-06	0.0572	0.0780
													(0.484)	(0.485)	(0.553)	(0.0818)	(0.0819)	(0.0851)	(0.583)	(0.578)	(0.657)	(0.0998)	(0.0999)	(0.104)	(0.487)	(0.487)	(0.550)	(0.122)	(0.123)	(0.127)	(0.726)	(0.724)	(0.780)	(0.150)	(0.150)	(0.155)
borddummy4																			-1.297	-1.214	-1.620	0.117	0.190	0.210	-0.864	-0.816	-1.232	0.215	0.300*	0.372**	1.137	1.014	0.654	0.131	0.198	0.256
