	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ
																																				
fert	-0.646	-0.651	-0.531	-0.236**	-0.239**	-0.444**	3.116*	3.003*	2.683*	-0.227**	-0.230**	-0.423**	-0.571	-0.509	-0.102	-0.251**	-0.258**	-0.417**	0.153	0.148	0.195	-0.185**	-0.191**	-0.332**	-0.326	-0.306	-0.298	-0.144**	-0.151**	-0.250**	-2.097	-1.957	-1.939	-0.0698	-0.0706	-0.161**
	(1.276)	(1.244)	(1.592)	(0.0376)	(0.0375)	(0.0357)	(1.363)	(1.294)	(1.252)	(0.0288)	(0.0287)	(0.0275)	(1.146)	(1.198)	(1.629)	(0.0319)	(0.0318)	(0.0307)	(0.828)	(0.825)	(0.912)	(0.0330)	(0.0329)	(0.0322)	(0.688)	(0.701)	(0.701)	(0.0384)	(0.0384)	(0.0379)	(1.983)	(1.941)	(1.770)	(0.0409)	(0.0409)	(0.0408)
educf_1_4	0.623	0.622		0.777**	0.788**		2.355**	2.406**		0.699**	0.712**		0.379	0.419		0.502**	0.520**		0.594*	0.609*		0.501**	0.511**		0.237	0.258		0.285	0.300		-0.0657	-0.0229		0.420*	0.434*	
	(0.539)	(0.557)		(0.242)	(0.242)		(0.736)	(0.737)		(0.172)	(0.172)		(0.473)	(0.511)		(0.173)	(0.173)		(0.280)	(0.287)		(0.162)	(0.162)		(0.249)	(0.255)		(0.173)	(0.174)		(0.519)	(0.513)		(0.170)	(0.170)	
educf_5_6	1.681	1.680		2.077**	2.099**		5.295**	5.380**		1.800**	1.826**		1.420	1.522		1.685**	1.741**		1.946**	1.992**		1.718**	1.750**		1.226**	1.288**		1.332**	1.383**		0.456	0.535		1.316**	1.355**	
	(1.255)	(1.286)		(0.235)	(0.234)		(1.453)	(1.449)		(0.170)	(0.169)		(0.963)	(1.056)		(0.173)	(0.173)		(0.581)	(0.610)		(0.167)	(0.166)		(0.441)	(0.464)		(0.183)	(0.182)		(0.871)	(0.872)		(0.183)	(0.183)	
educf_7_10	1.872	1.874		2.377**	2.407**		6.621**	6.717**		2.372**	2.406**		1.779	1.911		2.121**	2.193**		2.361**	2.415**		2.096**	2.134**		1.629**	1.687**		1.736**	1.782**		0.631	0.691		1.584**	1.613**	
	(1.588)	(1.624)		(0.235)	(0.233)		(1.756)	(1.748)		(0.173)	(0.171)		(1.235)	(1.353)		(0.180)	(0.179)		(0.672)	(0.707)		(0.175)	(0.174)		(0.446)	(0.471)		(0.194)	(0.193)		(0.961)	(0.976)		(0.192)	(0.192)	
educf_11plus	2.073	2.078		2.713**	2.750**		7.937**	8.006**		2.589**	2.628**		1.682	1.842		2.126**	2.204**		2.560*	2.615*		2.154**	2.192**		1.525*	1.605*		1.708**	1.768**		0.0790	0.149		1.574**	1.596**	
	(2.006)	(2.042)		(0.243)	(0.240)		(2.201)	(2.172)		(0.182)	(0.180)		(1.599)	(1.735)		(0.200)	(0.198)		(1.012)	(1.049)		(0.203)	(0.201)		(0.731)	(0.771)		(0.237)	(0.235)		(1.495)	(1.519)		(0.252)	(0.251)	
poor1	-0.409	-0.408		-0.679**	-0.687**		-2.547**	-2.572**		-0.482**	-0.495**		-0.300	-0.371		-0.499**	-0.535**		-0.795	-0.833		-0.580**	-0.607**		-0.478	-0.545		-0.562**	-0.620**		0.101	0.00524		-1.011**	-1.053**	
	(0.860)	(0.862)		(0.183)	(0.183)		(0.875)	(0.864)		(0.140)	(0.140)		(0.729)	(0.793)		(0.158)	(0.157)		(0.550)	(0.574)		(0.166)	(0.165)		(0.372)	(0.392)		(0.198)	(0.197)		(1.118)	(1.118)		(0.210)	(0.210)	
height	0.000435			0.000936			0.00377*			0.000917			0.00156			0.00185*			0.000933			0.000665			0.000502			0.000646			-0.00275			-0.00102		
	(0.00184)			(0.000972)			(0.00174)			(0.000752)			(0.00135)			(0.000858)			(0.00109)			(0.000862)			(0.00112)			(0.000986)			(0.00211)			(0.00101)		
bmi	-9.83e-06			7.72e-05			0.000855*			8.85e-05			0.000181			0.000248*			0.000309			0.000228*			0.000415*			0.000443**			0.000442*			0.000529**		
	(0.000297)			(0.000120)			(0.000351)			(9.39e-05)			(0.000262)			(0.000106)			(0.000227)			(0.000108)			(0.000162)			(0.000123)			(0.000175)			(0.000123)		
malec	-0.629**	-0.629**	-0.703**	-0.596**	-0.600**	-0.703**	-0.185	-0.207	-0.415**	-0.400**	-0.402**	-0.467**	-0.451**	-0.451**	-0.500**	-0.429**	-0.435**	-0.506**	-0.270	-0.275*	-0.309*	-0.310**	-0.313**	-0.360**	-0.253*	-0.259*	-0.280*	-0.243*	-0.251*	-0.278*	-0.338*	-0.338*	-0.344*	-0.249*	-0.255*	-0.286*
	(0.150)	(0.142)	(0.113)	(0.110)	(0.110)	(0.113)	(0.173)	(0.165)	(0.151)	(0.0869)	(0.0868)	(0.0890)	(0.126)	(0.125)	(0.105)	(0.0983)	(0.0983)	(0.100)	(0.140)	(0.138)	(0.137)	(0.100)	(0.100)	(0.102)	(0.119)	(0.119)	(0.118)	(0.113)	(0.114)	(0.115)	(0.167)	(0.164)	(0.151)	(0.115)	(0.116)	(0.117)
agemay	0.0387	0.0382	0.0807	0.0708**	0.0699**	0.0901**	0.338**	0.326**	0.405**	0.0750**	0.0742**	0.0880**	0.0688	0.0719	0.120	0.0942**	0.0914**	0.0914**	0.110	0.108	0.120	0.0868**	0.0850**	0.0797**	0.0694	0.0672	0.0670	0.0813**	0.0771**	0.0704**	-0.0489	-0.0412	-0.0470	0.0848**	0.0813**	0.0738**
	(0.101)	(0.0970)	(0.172)	(0.0162)	(0.0162)	(0.0162)	(0.110)	(0.103)	(0.130)	(0.0131)	(0.0131)	(0.0132)	(0.0922)	(0.0944)	(0.150)	(0.0156)	(0.0156)	(0.0156)	(0.0599)	(0.0584)	(0.0721)	(0.0165)	(0.0165)	(0.0166)	(0.0487)	(0.0484)	(0.0521)	(0.0194)	(0.0194)	(0.0194)	(0.133)	(0.128)	(0.123)	(0.0201)	(0.0201)	(0.0202)
borddummy2							-2.121**	-2.037**	-2.209**	-0.188*	-0.185*	-0.186*	-0.0248	-0.0536	-0.364	-0.203	-0.192	-0.175	-0.409	-0.395	-0.470	-0.222	-0.211	-0.171	-0.108	-0.105	-0.110	-0.200	-0.183	-0.135	0.745	0.694	0.700	-0.192	-0.172	-0.146
							(0.803)	(0.757)	(0.830)	(0.0922)	(0.0921)	(0.0944)	(0.650)	(0.671)	(0.986)	(0.123)	(0.123)	(0.125)	(0.479)	(0.470)	(0.538)	(0.142)	(0.142)	(0.145)	(0.391)	(0.393)	(0.405)	(0.177)	(0.177)	(0.180)	(0.948)	(0.922)	(0.874)	(0.197)	(0.197)	(0.200)
borddummy3													0.125	0.0725	-0.560	-0.218	-0.193	-0.190	-0.619	-0.592	-0.773	-0.296	-0.275	-0.240	-0.140	-0.127	-0.166	-0.302	-0.263	-0.211	1.193	1.104	1.116	-0.560**	-0.516*	-0.491*
													(1.234)	(1.272)	(1.924)	(0.142)	(0.142)	(0.144)	(0.805)	(0.787)	(0.938)	(0.158)	(0.158)	(0.160)	(0.639)	(0.642)	(0.677)	(0.192)	(0.192)	(0.194)	(1.734)	(1.687)	(1.618)	(0.212)	(0.212)	(0.214)
borddummy4																			-0.804	-0.757	-1.030	-0.279	-0.242	-0.174	-0.109	-0.0872	-0.157	-0.372	-0.308	-0.229	2.316	2.149	2.159	-0.441	-0.392	-0.306
