	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																																				
fert	-0.500*	-0.502*	-0.586*	0.398**	0.401**	0.524**	0.127	0.149	-0.00607	0.423**	0.425**	0.526**	-0.0310	-0.0154	-0.0904	0.422**	0.422**	0.503**	-0.000490	-0.00672	-0.0595	0.412**	0.409**	0.467**	-0.160	-0.132	-0.167	0.395**	0.389**	0.435**	0.161	0.190*	0.184*	0.383**	0.374**	0.414**
	(0.236)	(0.237)	(0.276)	(0.00543)	(0.00545)	(0.00555)	(0.204)	(0.204)	(0.234)	(0.00436)	(0.00438)	(0.00450)	(0.139)	(0.139)	(0.154)	(0.00427)	(0.00429)	(0.00441)	(0.0967)	(0.0971)	(0.103)	(0.00462)	(0.00464)	(0.00478)	(0.0966)	(0.0972)	(0.102)	(0.00527)	(0.00529)	(0.00543)	(0.0878)	(0.0892)	(0.0924)	(0.00635)	(0.00636)	(0.00652)
educf_1_4	-0.676**	-0.714**		-0.567**	-0.598**		-0.583**	-0.616**		-0.552**	-0.587**		-0.594**	-0.630**		-0.558**	-0.594**		-0.547**	-0.581**		-0.525**	-0.561**		-0.526**	-0.554**		-0.500**	-0.533**		-0.499**	-0.525**		-0.486**	-0.517**	
	(0.0375)	(0.0389)		(0.0206)	(0.0207)		(0.0265)	(0.0271)		(0.0159)	(0.0160)		(0.0193)	(0.0192)		(0.0151)	(0.0151)		(0.0169)	(0.0168)		(0.0156)	(0.0157)		(0.0185)	(0.0183)		(0.0171)	(0.0172)		(0.0204)	(0.0203)		(0.0198)	(0.0198)	
educf_5_6	-1.248**	-1.319**		-0.977**	-1.035**		-1.053**	-1.113**		-0.970**	-1.034**		-1.046**	-1.109**		-0.947**	-1.014**		-0.996**	-1.063**		-0.933**	-1.003**		-0.998**	-1.057**		-0.923**	-0.993**		-0.965**	-1.023**		-0.933**	-1.001**	
	(0.0770)	(0.0800)		(0.0247)	(0.0247)		(0.0604)	(0.0615)		(0.0195)	(0.0195)		(0.0361)	(0.0360)		(0.0190)	(0.0190)		(0.0256)	(0.0251)		(0.0204)	(0.0204)		(0.0273)	(0.0266)		(0.0229)	(0.0229)		(0.0300)	(0.0293)		(0.0271)	(0.0271)	
educf_7_10	-1.824**	-1.935**		-1.285**	-1.376**		-1.397**	-1.488**		-1.254**	-1.352**		-1.392**	-1.488**		-1.217**	-1.319**		-1.251**	-1.351**		-1.138**	-1.243**		-1.188**	-1.274**		-1.080**	-1.182**		-1.095**	-1.177**		-1.062**	-1.155**	
	(0.144)	(0.149)		(0.0227)	(0.0224)		(0.100)	(0.102)		(0.0184)	(0.0182)		(0.0567)	(0.0565)		(0.0182)	(0.0181)		(0.0335)	(0.0324)		(0.0199)	(0.0197)		(0.0304)	(0.0292)		(0.0229)	(0.0228)		(0.0308)	(0.0297)		(0.0278)	(0.0277)	
educf_11plus	-2.895**	-3.095**		-1.834**	-1.996**		-2.204**	-2.365**		-1.912**	-2.088**		-2.310**	-2.495**		-1.932**	-2.130**		-2.198**	-2.392**		-1.943**	-2.147**		-2.140**	-2.288**		-1.874**	-2.056**		-1.769**	-1.918**		-1.682**	-1.856**	
	(0.282)	(0.292)		(0.0352)	(0.0345)		(0.204)	(0.207)		(0.0315)	(0.0311)		(0.121)	(0.121)		(0.0352)	(0.0348)		(0.0746)	(0.0726)		(0.0436)	(0.0434)		(0.0740)	(0.0718)		(0.0552)	(0.0551)		(0.0812)	(0.0793)		(0.0731)	(0.0731)	
poor1	1.151**	1.202**		0.747**	0.786**		0.895**	0.930**		0.775**	0.817**		0.977**	1.016**		0.811**	0.856**		0.982**	1.027**		0.851**	0.898**		1.026**	1.057**		0.869**	0.914**		0.935**	0.962**		0.875**	0.915**	
	(0.110)	(0.113)		(0.0226)	(0.0226)		(0.0846)	(0.0855)		(0.0173)	(0.0173)		(0.0534)	(0.0534)		(0.0163)	(0.0163)		(0.0353)	(0.0348)		(0.0169)	(0.0169)		(0.0334)	(0.0328)		(0.0185)	(0.0185)		(0.0318)	(0.0313)		(0.0213)	(0.0213)	
height	-0.000638**			-0.000705**			-0.000729**			-0.000733**			-0.000790**			-0.000819**			-0.000809**			-0.000841**			-0.000739**			-0.000746**			-0.000664**			-0.000661**		
	(0.000132)			(0.000111)			(8.85e-05)			(8.69e-05)			(8.60e-05)			(8.23e-05)			(8.84e-05)			(8.57e-05)			(9.81e-05)			(9.40e-05)			(0.000109)			(0.000108)		
bmi	-0.000541**			-0.000443**			-0.000494**			-0.000478**			-0.000502**			-0.000503**			-0.000505**			-0.000536**			-0.000484**			-0.000549**			-0.000481**			-0.000520**		
	(3.52e-05)			(2.05e-05)			(1.97e-05)			(1.59e-05)			(1.57e-05)			(1.51e-05)			(1.77e-05)			(1.57e-05)			(2.11e-05)			(1.71e-05)			(2.49e-05)			(1.95e-05)		
malec	-0.0372	-0.0348	-0.0313	0.0162	0.0184	0.0326*	-0.0107	-0.00708	0.00562	-0.00188	0.00104	0.0185	-0.0475**	-0.0436**	-0.0263*	-0.0400**	-0.0363**	-0.0191	-0.0556**	-0.0520**	-0.0384**	-0.0568**	-0.0529**	-0.0408**	-0.0726**	-0.0698**	-0.0567**	-0.0761**	-0.0728**	-0.0612**	-0.0787**	-0.0756**	-0.0700**	-0.0813**	-0.0775**	-0.0726**
	(0.0212)	(0.0212)	(0.0239)	(0.0135)	(0.0135)	(0.0143)	(0.0123)	(0.0123)	(0.0130)	(0.0105)	(0.0106)	(0.0111)	(0.0106)	(0.0107)	(0.0113)	(0.0100)	(0.0100)	(0.0105)	(0.0107)	(0.0108)	(0.0113)	(0.0104)	(0.0105)	(0.0109)	(0.0119)	(0.0119)	(0.0124)	(0.0114)	(0.0114)	(0.0118)	(0.0132)	(0.0132)	(0.0137)	(0.0131)	(0.0131)	(0.0135)
agemay	0.125**	0.121**	0.104**	0.0782**	0.0750**	0.0575**	0.0997**	0.0962**	0.0928**	0.0871**	0.0846**	0.0729**	0.110**	0.108**	0.106**	0.0938**	0.0921**	0.0857**	0.108**	0.107**	0.110**	0.0968**	0.0959**	0.0951**	0.111**	0.110**	0.115**	0.0998**	0.0999**	0.103**	0.102**	0.102**	0.107**	0.0990**	0.0997**	0.104**
	(0.0124)	(0.0123)	(0.0118)	(0.00171)	(0.00171)	(0.00176)	(0.00873)	(0.00866)	(0.00889)	(0.00131)	(0.00131)	(0.00136)	(0.00515)	(0.00516)	(0.00544)	(0.00123)	(0.00124)	(0.00128)	(0.00293)	(0.00295)	(0.00315)	(0.00128)	(0.00129)	(0.00133)	(0.00237)	(0.00238)	(0.00258)	(0.00141)	(0.00142)	(0.00146)	(0.00194)	(0.00194)	(0.00206)	(0.00165)	(0.00166)	(0.00170)
borddummy2							-0.382**	-0.397**	-0.269*	-0.532**	-0.537**	-0.549**	-0.428**	-0.438**	-0.400**	-0.602**	-0.605**	-0.628**	-0.542**	-0.542**	-0.535**	-0.664**	-0.665**	-0.689**	-0.469**	-0.477**	-0.483**	-0.608**	-0.607**	-0.631**	-0.453**	-0.457**	-0.459**	-0.497**	-0.493**	-0.503**
							(0.104)	(0.104)	(0.124)	(0.0113)	(0.0113)	(0.0119)	(0.0547)	(0.0547)	(0.0608)	(0.0129)	(0.0129)	(0.0135)	(0.0332)	(0.0334)	(0.0351)	(0.0165)	(0.0166)	(0.0172)	(0.0341)	(0.0342)	(0.0355)	(0.0231)	(0.0232)	(0.0239)	(0.0402)	(0.0404)	(0.0415)	(0.0360)	(0.0361)	(0.0372)
borddummy3													-0.709**	-0.729**	-0.625**	-1.109**	-1.115**	-1.153**	-0.951**	-0.951**	-0.923**	-1.231**	-1.233**	-1.277**	-0.936**	-0.952**	-0.962**	-1.238**	-1.236**	-1.284**	-0.977**	-0.988**	-1.003**	-1.076**	-1.069**	-1.103**
													(0.123)	(0.123)	(0.138)	(0.0143)	(0.0143)	(0.0149)	(0.0678)	(0.0681)	(0.0719)	(0.0170)	(0.0170)	(0.0176)	(0.0575)	(0.0579)	(0.0599)	(0.0226)	(0.0227)	(0.0234)	(0.0520)	(0.0525)	(0.0537)	(0.0343)	(0.0344)	(0.0354)
borddummy4																			-1.279**	-1.280**	-1.227**	-1.751**	-1.756**	-1.826**	-1.336**	-1.364**	-1.374**	-1.826**	-1.825**	-1.898**	-1.557**	-1.576**	-1.603**	-1.711**	-1.702**	-1.759**
																			(0.112)	(0.113)	(0.119)	(0.0187)	(0.0188)	(0.0194)	(0.0887)	(0.0894)	(0.0927)	(0.0234)	(0.0235)	(0.0242)	(0.0695)	(0.0704)	(0.0717)	(0.0342)	(0.0344)	(0.0353)
borddummy5																									-1.585**	-1.629**		-2.324**	-2.325**		-2.057**	-2.087**		-2.280**	-2.272**	
																									(0.131)	(0.132)		(0.0255)	(0.0256)		(0.0951)	(0.0965)		(0.0354)	(0.0355)	
borddummy6																															-2.426**	-2.471**		-2.742**	-2.733**	
																															(0.130)	(0.132)		(0.0375)	(0.0376)	
Constant	4.316*	1.466	1.030	5.145**	3.467	2.924	1.398	-0.798	-1.073	4.990**	3.249*	2.684	1.109	-1.451	-2.350	4.844**	2.930*	2.355	0.967	-1.336	-1.617	4.874**	2.877*	2.282	1.258	-1.008	-2.496	4.705**	2.814*	2.205	-0.909	-3.098*	-3.894*	4.510**	2.798	2.188
	(2.159)	(2.140)	(2.399)	(1.808)	(1.807)	(1.907)	(1.885)	(1.880)	(2.051)	(1.305)	(1.303)	(1.370)	(1.979)	(1.979)	(2.116)	(1.340)	(1.340)	(1.400)	(1.440)	(1.445)	(1.521)	(1.379)	(1.378)	(1.431)	(2.104)	(2.101)	(2.189)	(1.408)	(1.407)	(1.453)	(1.503)	(1.505)	(1.551)	(1.436)	(1.432)	(1.474)
																																				
Observations	71,389	71,389	71,389	71,389	71,389	71,389	121,555	121,555	121,555	121,555	121,555	121,555	142,657	142,657	142,657	142,657	142,657	142,657	139,237	139,237	139,237	139,237	139,237	139,237	121,072	121,072	121,072	121,072	121,072	121,072	94,942	94,942	94,942	94,942	94,942	94,942
R-squared	0.258	0.252	0.061	0.464	0.460	0.399	0.425	0.424	0.312	0.446	0.442	0.383	0.380	0.378	0.287	0.425	0.420	0.367	0.374	0.368	0.299	0.408	0.402	0.355	0.346	0.347	0.290	0.401	0.396	0.355	0.388	0.386	0.347	0.396	0.391	0.355
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
