	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																																				
fert	-0.0408	-0.0482	-0.217	0.240**	0.241**	0.367**	-0.0774	-0.0817	-0.109	0.250**	0.251**	0.374**	-0.188	-0.188	-0.310*	0.239**	0.240**	0.340**	-0.0641	-0.0861	0.0381	0.231**	0.231**	0.310**	-0.0645	-0.0725	-0.0753	0.227**	0.227**	0.294**	0.243	0.249	0.222	0.213**	0.211**	0.266**
	(0.138)	(0.139)	(0.183)	(0.00584)	(0.00584)	(0.00575)	(0.114)	(0.115)	(0.128)	(0.00531)	(0.00531)	(0.00527)	(0.121)	(0.122)	(0.146)	(0.00574)	(0.00575)	(0.00577)	(0.105)	(0.107)	(0.103)	(0.00658)	(0.00659)	(0.00664)	(0.118)	(0.119)	(0.125)	(0.00777)	(0.00778)	(0.00784)	(0.159)	(0.162)	(0.164)	(0.00939)	(0.00941)	(0.00947)
educf_1_4	-0.491**	-0.504**		-0.361**	-0.368**		-0.445**	-0.456**		-0.316**	-0.324**		-0.432**	-0.442**		-0.311**	-0.319**		-0.391**	-0.405**		-0.325**	-0.335**		-0.383**	-0.396**		-0.333**	-0.345**		-0.313**	-0.322**		-0.318**	-0.329**	
	(0.0716)	(0.0727)		(0.0316)	(0.0316)		(0.0519)	(0.0526)		(0.0254)	(0.0254)		(0.0430)	(0.0435)		(0.0245)	(0.0245)		(0.0349)	(0.0352)		(0.0253)	(0.0253)		(0.0344)	(0.0346)		(0.0272)	(0.0273)		(0.0414)	(0.0416)		(0.0303)	(0.0304)	
educf_5_6	-1.141**	-1.163**		-0.911**	-0.923**		-1.117**	-1.138**		-0.876**	-0.888**		-1.094**	-1.116**		-0.853**	-0.871**		-0.958**	-0.990**		-0.826**	-0.847**		-0.913**	-0.939**		-0.804**	-0.826**		-0.728**	-0.749**		-0.737**	-0.761**	
	(0.117)	(0.119)		(0.0299)	(0.0299)		(0.0876)	(0.0895)		(0.0243)	(0.0243)		(0.0728)	(0.0743)		(0.0240)	(0.0240)		(0.0539)	(0.0549)		(0.0257)	(0.0256)		(0.0529)	(0.0535)		(0.0286)	(0.0286)		(0.0593)	(0.0600)		(0.0329)	(0.0329)	
educf_7_10	-1.492**	-1.523**		-1.200**	-1.216**		-1.490**	-1.521**		-1.184**	-1.203**		-1.484**	-1.517**		-1.172**	-1.198**		-1.256**	-1.303**		-1.087**	-1.118**		-1.104**	-1.141**		-0.972**	-1.003**		-0.842**	-0.867**		-0.852**	-0.879**	
	(0.147)	(0.150)		(0.0303)	(0.0301)		(0.110)	(0.112)		(0.0249)	(0.0248)		(0.0922)	(0.0946)		(0.0251)	(0.0249)		(0.0665)	(0.0680)		(0.0274)	(0.0272)		(0.0620)	(0.0629)		(0.0311)	(0.0310)		(0.0624)	(0.0634)		(0.0364)	(0.0363)	
educf_11plus	-1.759**	-1.794**		-1.390**	-1.407**		-1.738**	-1.773**		-1.352**	-1.371**		-1.652**	-1.685**		-1.233**	-1.258**		-1.313**	-1.366**		-1.074**	-1.105**		-1.145**	-1.186**		-0.952**	-0.984**		-0.798**	-0.831**		-0.814**	-0.851**	
	(0.183)	(0.188)		(0.0311)	(0.0308)		(0.137)	(0.141)		(0.0264)	(0.0262)		(0.122)	(0.125)		(0.0280)	(0.0278)		(0.0913)	(0.0934)		(0.0320)	(0.0317)		(0.0872)	(0.0886)		(0.0379)	(0.0377)		(0.0962)	(0.0982)		(0.0474)	(0.0470)	
poor1	0.442**	0.451**		0.301**	0.304**		0.515**	0.526**		0.362**	0.368**		0.601**	0.615**		0.398**	0.410**		0.575**	0.602**		0.435**	0.451**		0.647**	0.673**		0.498**	0.520**		0.506**	0.524**		0.523**	0.545**	
	(0.0730)	(0.0741)		(0.0221)	(0.0221)		(0.0573)	(0.0581)		(0.0201)	(0.0201)		(0.0621)	(0.0629)		(0.0225)	(0.0225)		(0.0569)	(0.0577)		(0.0266)	(0.0266)		(0.0685)	(0.0689)		(0.0325)	(0.0325)		(0.0958)	(0.0964)		(0.0395)	(0.0396)	
height	-0.000349**			-0.000211			-0.000435**			-0.000224*			-0.000521**			-0.000299*			-0.000557**			-0.000440**			-0.000499**			-0.000398*			-0.000259			-0.000273		
	(0.000134)			(0.000113)			(0.000132)			(0.000105)			(0.000139)			(0.000117)			(0.000143)			(0.000134)			(0.000166)			(0.000157)			(0.000199)			(0.000185)		
bmi	-0.000114**			-0.000101**			-0.000128**			-0.000111**			-0.000163**			-0.000150**			-0.000171**			-0.000170**			-0.000198**			-0.000201**			-0.000226**			-0.000225**		
	(1.67e-05)			(1.49e-05)			(1.54e-05)			(1.36e-05)			(1.63e-05)			(1.50e-05)			(1.76e-05)			(1.71e-05)			(2.03e-05)			(1.98e-05)			(2.44e-05)			(2.33e-05)		
malec	0.130**	0.130**	0.134**	0.147**	0.147**	0.163**	0.128**	0.129**	0.141**	0.142**	0.143**	0.158**	0.124**	0.125**	0.134**	0.139**	0.140**	0.153**	0.110**	0.110**	0.134**	0.124**	0.124**	0.143**	0.0808**	0.0821**	0.104**	0.0900**	0.0914**	0.111**	0.0734**	0.0751**	0.0875**	0.0729**	0.0745**	0.0879**
	(0.0156)	(0.0157)	(0.0179)	(0.0129)	(0.0130)	(0.0136)	(0.0135)	(0.0135)	(0.0145)	(0.0121)	(0.0121)	(0.0127)	(0.0148)	(0.0148)	(0.0164)	(0.0134)	(0.0134)	(0.0140)	(0.0164)	(0.0164)	(0.0165)	(0.0153)	(0.0153)	(0.0158)	(0.0185)	(0.0186)	(0.0191)	(0.0178)	(0.0178)	(0.0183)	(0.0210)	(0.0211)	(0.0215)	(0.0209)	(0.0210)	(0.0215)
agemay	-0.000772	-0.00161	-0.0292**	0.00101	0.000280	-0.0148**	0.00451**	0.00361*	-0.0177**	0.00531**	0.00448**	-0.00942**	0.0147**	0.0137**	1.49e-05	0.0144**	0.0133**	0.00526**	0.0189**	0.0179**	0.0147**	0.0188**	0.0178**	0.0158**	0.0193**	0.0182**	0.0197**	0.0208**	0.0197**	0.0219**	0.0287**	0.0284**	0.0316**	0.0285**	0.0281**	0.0319**
	(0.00180)	(0.00181)	(0.00484)	(0.00152)	(0.00152)	(0.00154)	(0.00155)	(0.00155)	(0.00270)	(0.00147)	(0.00146)	(0.00149)	(0.00177)	(0.00177)	(0.00225)	(0.00167)	(0.00167)	(0.00170)	(0.00200)	(0.00200)	(0.00205)	(0.00195)	(0.00194)	(0.00197)	(0.00243)	(0.00243)	(0.00253)	(0.00231)	(0.00231)	(0.00233)	(0.00299)	(0.00299)	(0.00298)	(0.00281)	(0.00282)	(0.00284)
borddummy2							0.000194	-0.00245	0.0936	-0.122**	-0.126**	-0.112**	-0.0285	-0.0331	0.0464	-0.173**	-0.178**	-0.187**	-0.101*	-0.0983*	-0.122**	-0.191**	-0.195**	-0.208**	-0.0703	-0.0723	-0.0588	-0.153**	-0.157**	-0.166**	-0.0909	-0.0980	-0.0865	-0.0841	-0.0895	-0.0965
							(0.0444)	(0.0444)	(0.0561)	(0.0128)	(0.0128)	(0.0134)	(0.0448)	(0.0450)	(0.0562)	(0.0172)	(0.0173)	(0.0180)	(0.0404)	(0.0408)	(0.0412)	(0.0239)	(0.0239)	(0.0248)	(0.0486)	(0.0489)	(0.0519)	(0.0348)	(0.0349)	(0.0359)	(0.0639)	(0.0644)	(0.0662)	(0.0532)	(0.0533)	(0.0546)
borddummy3													-0.0195	-0.0282	0.159	-0.340**	-0.348**	-0.361**	-0.190**	-0.183*	-0.239**	-0.383**	-0.391**	-0.422**	-0.225**	-0.228**	-0.219**	-0.395**	-0.403**	-0.437**	-0.328**	-0.340**	-0.325**	-0.313**	-0.321**	-0.347**
													(0.0927)	(0.0932)	(0.119)	(0.0190)	(0.0190)	(0.0197)	(0.0732)	(0.0741)	(0.0737)	(0.0245)	(0.0245)	(0.0253)	(0.0771)	(0.0778)	(0.0824)	(0.0341)	(0.0342)	(0.0351)	(0.0936)	(0.0950)	(0.0965)	(0.0509)	(0.0510)	(0.0522)
borddummy4																			-0.284*	-0.274*	-0.361**	-0.605**	-0.619**	-0.665**	-0.358**	-0.363**	-0.351**	-0.634**	-0.647**	-0.703**	-0.594**	-0.612**	-0.588**	-0.570**	-0.582**	-0.623**
																			(0.118)	(0.119)	(0.118)	(0.0269)	(0.0269)	(0.0276)	(0.117)	(0.118)	(0.125)	(0.0353)	(0.0354)	(0.0362)	(0.137)	(0.139)	(0.141)	(0.0508)	(0.0509)	(0.0519)
borddummy5																									-0.435**	-0.440**		-0.840**	-0.856**		-0.856**	-0.880**		-0.821**	-0.836**	
																									(0.168)	(0.170)		(0.0383)	(0.0383)		(0.190)	(0.193)		(0.0525)	(0.0526)	
borddummy6																															-1.091**	-1.125**		-1.043**	-1.066**	
																															(0.256)	(0.261)		(0.0560)	(0.0561)	
Constant	3.201*	2.501	2.006	2.642**	2.108**	1.355**	2.378	1.465	1.332	1.506**	0.932*	0.0869	2.041**	0.834	1.436*	1.400**	0.617	-0.457	4.058*	2.806	2.210	1.966**	0.932*	-0.275	3.211	1.902	1.512	1.356**	0.324	-0.891	2.151	1.118	0.911	0.665	-0.249	-1.352*
	(1.402)	(1.355)	(1.550)	(0.482)	(0.446)	(0.469)	(1.478)	(1.435)	(1.576)	(0.431)	(0.395)	(0.415)	(0.652)	(0.521)	(0.645)	(0.436)	(0.393)	(0.410)	(1.618)	(1.589)	(1.626)	(0.484)	(0.433)	(0.448)	(1.709)	(1.674)	(1.739)	(0.522)	(0.457)	(0.469)	(1.871)	(1.804)	(1.847)	(0.647)	(0.575)	(0.588)
																																				
Observations	36,513	36,513	36,513	36,513	36,513	36,513	49,072	49,072	49,072	49,072	49,072	49,072	44,895	44,895	44,895	44,895	44,895	44,895	37,589	37,589	37,589	37,589	37,589	37,589	29,743	29,743	29,743	29,743	29,743	29,743	22,435	22,435	22,435	22,435	22,435	22,435
R-squared	0.307	0.304	0.071	0.348	0.347	0.276	0.327	0.324	0.189	0.375	0.375	0.308	0.343	0.341	0.177	0.415	0.414	0.359	0.419	0.413	0.378	0.448	0.447	0.405	0.443	0.440	0.390	0.468	0.466	0.433	0.480	0.478	0.451	0.481	0.478	0.452
Standard errors in parentheses																																				
** p<0.01, * p<0.05																																				
