	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	-0.0672	-0.0671	-0.0592	-0.0611**	-0.0625**	-0.0942**	0.0461	0.0510	0.0803*	-0.0691**	-0.0706**	-0.102**	-0.0744*	-0.0740*	-0.0687*	-0.0664**	-0.0678**	-0.0958**	0.00707	0.00879	0.00260	-0.0625**	-0.0635**	-0.0871**	-0.0138	-0.0118	0.00585	-0.0601**	-0.0604**	-0.0793**	-0.0800*	-0.0731	-0.0501	-0.0584**	-0.0580**	-0.0747**
	(0.0490)	(0.0491)	(0.0521)	(0.00169)	(0.00169)	(0.00162)	(0.0335)	(0.0339)	(0.0374)	(0.00146)	(0.00146)	(0.00143)	(0.0291)	(0.0292)	(0.0307)	(0.00153)	(0.00154)	(0.00152)	(0.0335)	(0.0337)	(0.0345)	(0.00182)	(0.00182)	(0.00182)	(0.0355)	(0.0356)	(0.0371)	(0.00231)	(0.00232)	(0.00232)	(0.0381)	(0.0381)	(0.0396)	(0.00290)	(0.00290)	(0.00291)
educf_1_4	0.118**	0.124**		0.119**	0.124**		0.151**	0.159**		0.135**	0.141**		0.159**	0.166**		0.160**	0.167**		0.179**	0.188**		0.173**	0.180**		0.189**	0.198**		0.184**	0.192**		0.185**	0.194**		0.187**	0.195**	
	(0.0118)	(0.0122)		(0.00729)	(0.00729)		(0.00774)	(0.00796)		(0.00590)	(0.00590)		(0.00677)	(0.00688)		(0.00590)	(0.00590)		(0.00741)	(0.00748)		(0.00666)	(0.00666)		(0.00893)	(0.00896)		(0.00803)	(0.00803)		(0.0104)	(0.0104)		(0.00953)	(0.00952)	
educf_5_6	0.214**	0.226**		0.216**	0.228**		0.282**	0.300**		0.240**	0.253**		0.267**	0.282**		0.269**	0.284**		0.314**	0.332**		0.297**	0.312**		0.309**	0.326**		0.299**	0.316**		0.301**	0.317**		0.305**	0.320**	
	(0.0218)	(0.0229)		(0.00715)	(0.00712)		(0.0136)	(0.0144)		(0.00592)	(0.00590)		(0.0107)	(0.0111)		(0.00609)	(0.00606)		(0.0111)	(0.0115)		(0.00711)	(0.00707)		(0.0116)	(0.0117)		(0.00891)	(0.00887)		(0.0126)	(0.0125)		(0.0110)	(0.0109)	
educf_7_10	0.260**	0.278**		0.264**	0.281**		0.354**	0.380**		0.292**	0.310**		0.328**	0.349**		0.331**	0.352**		0.370**	0.394**		0.346**	0.368**		0.347**	0.370**		0.334**	0.357**		0.325**	0.346**		0.330**	0.350**	
	(0.0333)	(0.0350)		(0.00641)	(0.00634)		(0.0191)	(0.0203)		(0.00563)	(0.00558)		(0.0142)	(0.0148)		(0.00627)	(0.00622)		(0.0139)	(0.0143)		(0.00786)	(0.00779)		(0.0140)	(0.0141)		(0.0104)	(0.0103)		(0.0165)	(0.0164)		(0.0132)	(0.0131)	
educf_11plus	0.294**	0.316**		0.300**	0.321**		0.450**	0.483**		0.353**	0.376**		0.396**	0.423**		0.401**	0.427**		0.463**	0.495**		0.425**	0.454**		0.442**	0.476**		0.422**	0.454**		0.396**	0.428**		0.405**	0.434**	
