	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	0.00248	0.00571	0.0315	-0.0293**	-0.0304**	-0.0651**	-0.163	-0.168	-0.130	-0.0314**	-0.0319**	-0.0605**	-0.0169	-0.0229	-0.00428	-0.0267**	-0.0266**	-0.0493**	0.0449	0.0469	0.0667	-0.0273**	-0.0260**	-0.0424**	-0.0381	-0.0483	-0.0413	-0.0225**	-0.0206**	-0.0330**	-0.103**	-0.116**	-0.116**	-0.0232**	-0.0202**	-0.0308**
	(0.0917)	(0.0920)	(0.100)	(0.00233)	(0.00234)	(0.00230)	(0.0888)	(0.0889)	(0.0953)	(0.00187)	(0.00188)	(0.00187)	(0.0604)	(0.0605)	(0.0644)	(0.00180)	(0.00180)	(0.00180)	(0.0435)	(0.0436)	(0.0450)	(0.00199)	(0.00199)	(0.00200)	(0.0395)	(0.0400)	(0.0409)	(0.00214)	(0.00214)	(0.00216)	(0.0368)	(0.0375)	(0.0382)	(0.00255)	(0.00255)	(0.00257)
educf_1_4	0.194**	0.208**		0.190**	0.203**		0.173**	0.186**		0.185**	0.199**		0.196**	0.209**		0.195**	0.208**		0.196**	0.207**		0.192**	0.204**		0.185**	0.195**		0.186**	0.196**		0.171**	0.181**		0.175**	0.185**	
	(0.0144)	(0.0148)		(0.00910)	(0.00910)		(0.0108)	(0.0110)		(0.00707)	(0.00707)		(0.00808)	(0.00806)		(0.00659)	(0.00658)		(0.00736)	(0.00730)		(0.00703)	(0.00703)		(0.00743)	(0.00737)		(0.00723)	(0.00723)		(0.00844)	(0.00839)		(0.00821)	(0.00821)	
educf_5_6	0.329**	0.354**		0.319**	0.343**		0.293**	0.315**		0.329**	0.354**		0.322**	0.344**		0.320**	0.343**		0.328**	0.350**		0.316**	0.340**		0.307**	0.327**		0.309**	0.331**		0.282**	0.303**		0.294**	0.315**	
	(0.0309)	(0.0319)		(0.0109)	(0.0108)		(0.0263)	(0.0267)		(0.00865)	(0.00862)		(0.0160)	(0.0159)		(0.00830)	(0.00828)		(0.0115)	(0.0112)		(0.00917)	(0.00914)		(0.0112)	(0.0109)		(0.00967)	(0.00964)		(0.0126)	(0.0122)		(0.0113)	(0.0112)	
educf_7_10	0.437**	0.476**		0.418**	0.454**		0.358**	0.393**		0.422**	0.460**		0.422**	0.456**		0.418**	0.455**		0.419**	0.453**		0.398**	0.433**		0.383**	0.413**		0.386**	0.418**		0.356**	0.386**		0.368**	0.398**	
	(0.0557)	(0.0573)		(0.00998)	(0.00983)		(0.0437)	(0.0444)		(0.00818)	(0.00806)		(0.0252)	(0.0250)		(0.00798)	(0.00788)		(0.0153)	(0.0147)		(0.00896)	(0.00887)		(0.0126)	(0.0120)		(0.00967)	(0.00959)		(0.0129)	(0.0124)		(0.0116)	(0.0115)	
educf_11plus	0.575**	0.645**		0.537**	0.600**		0.422**	0.483**		0.560**	0.628**		0.595**	0.658**		0.586**	0.655**		0.648**	0.713**		0.600**	0.667**		0.568**	0.619**		0.576**	0.631**		0.516**	0.570**		0.547**	0.602**	
