	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore
																																				
fert	-0.00351	-0.00135	0.0497	-0.0573**	-0.0580**	-0.107**	0.0144	0.0158	0.0300	-0.0625**	-0.0633**	-0.110**	0.00522	0.00977	0.0486	-0.0638**	-0.0645**	-0.104**	-0.0420	-0.0306	-0.0674	-0.0596**	-0.0601**	-0.0942**	-0.0686	-0.0622	-0.0681	-0.0566**	-0.0567**	-0.0853**	-0.172	-0.174	-0.158	-0.0462**	-0.0455**	-0.0694**
	(0.0818)	(0.0823)	(0.0964)	(0.00335)	(0.00335)	(0.00320)	(0.0635)	(0.0638)	(0.0676)	(0.00289)	(0.00289)	(0.00279)	(0.0714)	(0.0720)	(0.0791)	(0.00340)	(0.00340)	(0.00332)	(0.0586)	(0.0592)	(0.0575)	(0.00350)	(0.00350)	(0.00346)	(0.0614)	(0.0618)	(0.0637)	(0.00396)	(0.00396)	(0.00394)	(0.0908)	(0.0919)	(0.0905)	(0.00474)	(0.00474)	(0.00472)
educf_1_4	0.109**	0.115**		0.0839**	0.0889**		0.119**	0.125**		0.0879**	0.0930**		0.140**	0.146**		0.119**	0.124**		0.134**	0.141**		0.130**	0.135**		0.121**	0.128**		0.123**	0.129**		0.103**	0.108**		0.126**	0.132**	
	(0.0419)	(0.0425)		(0.0186)	(0.0186)		(0.0291)	(0.0295)		(0.0144)	(0.0144)		(0.0260)	(0.0263)		(0.0151)	(0.0151)		(0.0190)	(0.0192)		(0.0140)	(0.0140)		(0.0182)	(0.0182)		(0.0145)	(0.0145)		(0.0232)	(0.0233)		(0.0160)	(0.0160)	
educf_5_6	0.355**	0.368**		0.310**	0.320**		0.358**	0.371**		0.300**	0.310**		0.373**	0.388**		0.333**	0.345**		0.367**	0.384**		0.358**	0.370**		0.340**	0.355**		0.344**	0.357**		0.278**	0.291**		0.318**	0.332**	
	(0.0702)	(0.0715)		(0.0177)	(0.0176)		(0.0495)	(0.0505)		(0.0138)	(0.0137)		(0.0438)	(0.0447)		(0.0148)	(0.0148)		(0.0305)	(0.0310)		(0.0143)	(0.0142)		(0.0285)	(0.0287)		(0.0153)	(0.0152)		(0.0336)	(0.0339)		(0.0174)	(0.0173)	
educf_7_10	0.501**	0.518**		0.444**	0.457**		0.532**	0.551**		0.459**	0.474**		0.553**	0.576**		0.500**	0.518**		0.526**	0.550**		0.515**	0.532**		0.461**	0.482**		0.467**	0.485**		0.397**	0.411**		0.439**	0.455**	
	(0.0888)	(0.0908)		(0.0178)	(0.0177)		(0.0623)	(0.0638)		(0.0141)	(0.0140)		(0.0568)	(0.0583)		(0.0154)	(0.0153)		(0.0381)	(0.0389)		(0.0152)	(0.0151)		(0.0330)	(0.0334)		(0.0165)	(0.0164)		(0.0360)	(0.0365)		(0.0191)	(0.0190)	
educf_11plus	0.619**	0.638**		0.547**	0.562**		0.645**	0.667**		0.552**	0.569**		0.616**	0.642**		0.544**	0.564**		0.570**	0.599**		0.555**	0.573**		0.508**	0.533**		0.517**	0.537**		0.400**	0.419**		0.472**	0.494**	
