	(1)	(2)	(3)	(4)
VARIABLES	terminated_preg	terminated_preg	terminated_preg	terminated_preg
				
fert	0.00235**	-0.00366**	0.00599**	0.00667**
	(0.000213)	(0.000339)	(0.000317)	(0.000567)
agemay	0.00654**	0.00808**	0.00524**	0.00745**
	(7.13e-05)	(0.000116)	(0.000105)	(0.000183)
educf_1_4	0.0194**	0.0162**	0.0269**	0.0249**
	(0.00117)	(0.00170)	(0.00187)	(0.00375)
educf_5_6	0.0182**	0.0145**	0.0215**	0.0376**
	(0.00127)	(0.00210)	(0.00186)	(0.00371)
educf_7_10	0.0235**	0.0104**	0.0248**	0.0610**
	(0.00124)	(0.00197)	(0.00179)	(0.00387)
educf_11plus	0.0130**	-0.00160	0.0201**	0.0410**
	(0.00150)	(0.00315)	(0.00199)	(0.00414)
height	-5.98e-05**	-7.35e-05**	-0.000101**	0.000112**
	(5.96e-06)	(9.16e-06)	(8.78e-06)	(1.70e-05)
bmi_vslow	-0.0234**	-0.0264**	-0.0248**	0.0551
	(0.00510)	(0.00863)	(0.00635)	(0.0379)
bmi_vlow	-0.00442	-0.000851	-0.0106*	0.0642*
	(0.00347)	(0.00559)	(0.00448)	(0.0266)
bmi_low	-0.00466**	-0.00212	-0.0109**	0.00658
	(0.00122)	(0.00170)	(0.00182)	(0.00600)
bmi_overwt	0.0146**	0.0135**	0.00957**	0.0271**
	(0.00105)	(0.00193)	(0.00151)	(0.00229)
bmi_obese1	0.0289**	0.0277**	0.0171**	0.0525**
	(0.00164)	(0.00398)	(0.00217)	(0.00331)
bmi_obese2	0.0357**	0.00371	0.0335**	0.0561**
	(0.00237)	(0.00627)	(0.00303)	(0.00490)
poor1	-0.0148**	-0.00592**	-0.0282**	-0.00369
	(0.00112)	(0.00167)	(0.00167)	(0.00337)
Constant	0.727**	0.834**	0.0718	0.370*
	(0.0122)	(0.0158)	(0.0414)	(0.144)
				
Observations	1,782,135	685,288	787,428	309,419
R-squared	0.056	0.045	0.041	0.086
Robust standard errors in parentheses				
** p<0.01, * p<0.05				
