	(1)	(2)	(3)	(4)
VARIABLES	twind100	twind100	twind100	twind100
				
bord	0.868**	1.137**	0.750**	0.541**
	(0.0941)	(0.182)	(0.0904)	(0.143)
agemay	0.104	0.0390	0.181*	0.0352
	(0.0611)	(0.0942)	(0.0666)	(0.0935)
educf_1_4	0.195	0.236	0.216	0.109
	(0.125)	(0.180)	(0.235)	(0.257)
educf_5_6	0.380**	0.510	0.135	0.445
	(0.135)	(0.303)	(0.194)	(0.304)
educf_7_10	0.930**	1.047**	0.903**	0.527
	(0.136)	(0.178)	(0.213)	(0.393)
educf_11plus	1.797**	1.056	1.643**	1.391*
	(0.232)	(0.525)	(0.302)	(0.442)
height	0.00483**	0.00515**	0.00352*	0.00747**
	(0.000969)	(0.00146)	(0.00144)	(0.00208)
bmi	0.0496**	0.0596*	0.0565**	0.0235
	(0.0110)	(0.0215)	(0.0130)	(0.0255)
poor1	0.484	1.072*	0.116	0.399
	(0.261)	(0.414)	(0.360)	(0.566)
Constant	-12.45**	-10.06**	-11.18**	-6.976
	(1.772)	(2.645)	(2.563)	(3.942)
				
Observations	480,918	184,499	216,545	79,874
R-squared	0.010	0.013	0.008	0.006
Robust standard errors in parentheses				
** p<0.01, * p<0.05				
