	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Bind	-0.00835	-0.0322	0.0996**	-0.0126	0.00281	-0.0399	0.104***	0.00266	-0.0337*	-0.0473**	0.0230	-0.0211	0.00382	-0.00905	0.0949***	0.0376
	(0.0317)	(0.0292)	(0.0398)	(0.0273)	(0.0343)	(0.0308)	(0.0390)	(0.0261)	(0.0193)	(0.0195)	(0.0296)	(0.0274)	(0.0159)	(0.0160)	(0.0268)	(0.0254)
malec	-0.0385	-0.0347	-0.0385	-0.0347	-0.0491	-0.0444	-0.0491	-0.0444	0.0155	0.0166	0.0155	0.0166	-0.0118	-0.00645	-0.0118	-0.00646
	(0.0250)	(0.0252)	(0.0250)	(0.0252)	(0.0338)	(0.0343)	(0.0338)	(0.0343)	(0.0113)	(0.0112)	(0.0113)	(0.0112)	(0.0124)	(0.0129)	(0.0124)	(0.0129)
agemay	0.0867***	0.0439***	0.0868***	0.0440***	0.0257	-0.0170	0.0257	-0.0169	-0.0350	-0.0531**	-0.0350	-0.0530**	0.0460***	0.0230*	0.0461***	0.0231*
	(0.0163)	(0.0154)	(0.0163)	(0.0154)	(0.0403)	(0.0390)	(0.0403)	(0.0390)	(0.0260)	(0.0263)	(0.0260)	(0.0263)	(0.0101)	(0.0119)	(0.0101)	(0.0119)
magesq	-0.000418**	2.41e-05	-0.000419**	2.38e-05	0.000592	0.000993*	0.000592	0.000993*	7.32e-05	0.000279	7.29e-05	0.000279	-0.000357***	-0.000117	-0.000359***	-0.000118
	(0.000162)	(0.000163)	(0.000163)	(0.000163)	(0.000537)	(0.000512)	(0.000537)	(0.000512)	(0.000309)	(0.000321)	(0.000309)	(0.000321)	(0.000114)	(0.000146)	(0.000114)	(0.000146)
agefirstbirth	-0.00544	-0.0152***	-0.00554	-0.0152***	-7.90e-05	-0.01000**	-0.000207	-0.0100**	-0.00193	-0.00493***	-0.00198	-0.00496***	0.00230	-0.00210	0.00223	-0.00214
	(0.00496)	(0.00253)	(0.00495)	(0.00252)	(0.00570)	(0.00488)	(0.00568)	(0.00487)	(0.00180)	(0.00141)	(0.00180)	(0.00141)	(0.00287)	(0.00139)	(0.00286)	(0.00139)
height		0.00540***		0.00540***		0.00579***		0.00579***		0.00249***		0.00249***		0.00203***		0.00203***
		(0.000727)		(0.000727)		(0.00127)		(0.00127)		(0.000681)		(0.000682)		(0.000399)		(0.000399)
bmi		0.0170***		0.0170***		0.0352***		0.0352***		0.00437***		0.00437***		0.00641***		0.00641***
		(0.00223)		(0.00223)		(0.00503)		(0.00503)		(0.00134)		(0.00134)		(0.000809)		(0.000809)
educf_1_4		0.254***		0.254***		0.403***		0.403***		0.130***		0.130***		0.0905***		0.0905***
		(0.0283)		(0.0283)		(0.0501)		(0.0501)		(0.0237)		(0.0237)		(0.0195)		(0.0195)
educf_5_6		0.479***		0.479***		0.659***		0.659***		0.212***		0.212***		0.192***		0.192***
		(0.0391)		(0.0391)		(0.0530)		(0.0530)		(0.0338)		(0.0338)		(0.0184)		(0.0184)
educf_7_10		0.628***		0.628***		0.786***		0.786***		0.237***		0.237***		0.260***		0.260***
		(0.0525)		(0.0525)		(0.0651)		(0.0650)		(0.0357)		(0.0357)		(0.0196)		(0.0196)
educf_11plus		0.745***		0.745***		0.911***		0.911***		0.289***		0.289***		0.298***		0.297***
		(0.0940)		(0.0940)		(0.114)		(0.114)		(0.0422)		(0.0422)		(0.0300)		(0.0300)
poor1		-0.270***		-0.270***		-0.373***		-0.373***		-0.123***		-0.123***		-0.137***		-0.137***
		(0.0288)		(0.0288)		(0.0313)		(0.0313)		(0.0165)		(0.0165)		(0.0177)		(0.0177)
T_BindXpretwin			-0.165***	-0.0302			-0.225***	-0.0945			-0.0900***	-0.0417			-0.125***	-0.0639**
			(0.0410)	(0.0345)			(0.0721)	(0.0617)			(0.0283)	(0.0259)			(0.0257)	(0.0255)
Constant	-3.911***	-4.422***	-3.909***	-4.422***	-2.726***	-3.889***	-2.723***	-3.888***	2.844***	2.573***	2.844***	2.573***	-1.679***	-1.674***	-1.680***	-1.675***
	(0.494)	(0.503)	(0.494)	(0.503)	(0.620)	(0.730)	(0.620)	(0.730)	(0.797)	(0.820)	(0.797)	(0.820)	(0.218)	(0.220)	(0.218)	(0.220)
																
Observations	249,216	249,216	249,216	249,216	424,886	424,886	424,886	424,886	171,001	171,001	171,001	171,001	113,728	113,728	113,728	113,728
R-squared	0.059	0.154	0.059	0.154	0.783	0.796	0.783	0.796	0.373	0.396	0.373	0.396	0.414	0.476	0.414	0.476
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
