	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Bind	-0.0679*	-0.0751*	-0.0737	-0.0478	-0.0685	-0.0811	-0.0838	-0.0275	-0.0569**	-0.0599**	-0.0786***	-0.0694**	-0.00332	-0.0111	-0.0310	-0.0266
	(0.0404)	(0.0383)	(0.0456)	(0.0506)	(0.0910)	(0.0876)	(0.0966)	(0.113)	(0.0250)	(0.0245)	(0.0268)	(0.0273)	(0.0236)	(0.0228)	(0.0255)	(0.0288)
malec	-0.0523*	-0.0484*	-0.0523*	-0.0484*	-0.106*	-0.0970*	-0.106*	-0.0969*	0.00554	0.00610	0.00553	0.00610	-0.0157	-0.00974	-0.0157	-0.00976
	(0.0270)	(0.0281)	(0.0270)	(0.0281)	(0.0535)	(0.0566)	(0.0535)	(0.0567)	(0.0110)	(0.0110)	(0.0110)	(0.0110)	(0.0139)	(0.0151)	(0.0139)	(0.0151)
agemay	0.0548**	0.0282	0.0548**	0.0282	-0.0768	-0.135**	-0.0768	-0.135**	-0.0263	-0.0362	-0.0263	-0.0362	0.0445***	0.0250	0.0445***	0.0250
	(0.0225)	(0.0203)	(0.0225)	(0.0203)	(0.0555)	(0.0553)	(0.0555)	(0.0553)	(0.0257)	(0.0261)	(0.0257)	(0.0261)	(0.0153)	(0.0174)	(0.0153)	(0.0173)
magesq	-0.000480*	-9.76e-05	-0.000480*	-9.78e-05	0.00161**	0.00242***	0.00161**	0.00242***	-0.000227	-7.11e-05	-0.000227	-7.10e-05	-0.000470**	-0.000213	-0.000470**	-0.000213
	(0.000264)	(0.000268)	(0.000264)	(0.000268)	(0.000706)	(0.000757)	(0.000706)	(0.000757)	(0.000358)	(0.000370)	(0.000358)	(0.000370)	(0.000193)	(0.000233)	(0.000193)	(0.000233)
agefirstbirth	0.0248***	0.00310*	0.0248***	0.00306*	0.0535***	0.0102*	0.0535***	0.0101*	0.00925***	0.00174*	0.00928***	0.00175*	0.0109***	0.00220***	0.0109***	0.00223***
	(0.00554)	(0.00180)	(0.00554)	(0.00182)	(0.0169)	(0.00512)	(0.0169)	(0.00513)	(0.00139)	(0.000995)	(0.00139)	(0.000996)	(0.00284)	(0.000737)	(0.00284)	(0.000721)
height		0.00522***		0.00522***		0.0100***		0.0100***		0.00239***		0.00239***		0.00198***		0.00198***
		(0.000778)		(0.000778)		(0.00215)		(0.00215)		(0.000776)		(0.000776)		(0.000465)		(0.000467)
bmi		0.0133***		0.0133***		0.0332***		0.0332***		0.00285***		0.00284***		0.00498***		0.00498***
		(0.00191)		(0.00192)		(0.00658)		(0.00659)		(0.000898)		(0.000898)		(0.000886)		(0.000889)
educf_1_4		0.241***		0.241***		0.575***		0.575***		0.102***		0.102***		0.103***		0.103***
		(0.0385)		(0.0385)		(0.111)		(0.111)		(0.0225)		(0.0225)		(0.0237)		(0.0237)
educf_5_6		0.440***		0.441***		0.959***		0.959***		0.172***		0.172***		0.189***		0.189***
		(0.0423)		(0.0423)		(0.107)		(0.107)		(0.0300)		(0.0300)		(0.0223)		(0.0223)
educf_7_10		0.586***		0.586***		1.253***		1.253***		0.204***		0.204***		0.258***		0.258***
		(0.0509)		(0.0509)		(0.125)		(0.125)		(0.0316)		(0.0316)		(0.0219)		(0.0219)
educf_11plus		0.714***		0.714***		1.464***		1.464***		0.264***		0.264***		0.292***		0.291***
		(0.0886)		(0.0887)		(0.162)		(0.162)		(0.0378)		(0.0378)		(0.0324)		(0.0324)
poor1		-0.248***		-0.248***		-0.474***		-0.474***		-0.114***		-0.114***		-0.133***		-0.133***
		(0.0289)		(0.0289)		(0.0467)		(0.0468)		(0.0147)		(0.0147)		(0.0201)		(0.0200)
T_BindXtwin			0.0136	-0.0643			0.0362	-0.126			0.0492*	0.0215			0.0774***	0.0433
			(0.0397)	(0.0442)			(0.0783)	(0.0821)			(0.0282)	(0.0274)			(0.0270)	(0.0373)
Constant	-2.808***	-2.972***	-2.808***	-2.974***	-0.941	-1.273	-0.940	-1.276	3.338***	2.987***	3.339***	2.988***	-0.797***	-0.633**	-0.796***	-0.632**
	(0.448)	(0.476)	(0.448)	(0.477)	(0.776)	(0.901)	(0.777)	(0.901)	(0.836)	(0.883)	(0.836)	(0.883)	(0.259)	(0.265)	(0.259)	(0.265)
																
Observations	188,654	188,654	188,654	188,654	188,856	188,856	188,856	188,856	129,966	129,966	129,966	129,966	82,688	82,688	82,688	82,688
R-squared	0.057	0.145	0.057	0.145	0.768	0.792	0.768	0.792	0.424	0.444	0.424	0.444	0.335	0.399	0.335	0.399
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
