	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Bind	-0.0425	-0.0491*	-0.0606*	-0.0416	-0.0607	-0.0743	-0.0913	-0.0503	-0.0396**	-0.0454***	-0.0515**	-0.0482**	-0.00424	-0.0126	-0.0224	-0.0228
	(0.0319)	(0.0269)	(0.0357)	(0.0326)	(0.0648)	(0.0562)	(0.0745)	(0.0683)	(0.0177)	(0.0169)	(0.0197)	(0.0181)	(0.0155)	(0.0140)	(0.0166)	(0.0153)
malec	-0.0412*	-0.0359	-0.0412*	-0.0359	-0.0832	-0.0712	-0.0832	-0.0712	0.0145	0.0163	0.0145	0.0163	-0.0131	-0.00680	-0.0131	-0.00681
	(0.0243)	(0.0250)	(0.0243)	(0.0250)	(0.0522)	(0.0543)	(0.0522)	(0.0543)	(0.0111)	(0.0112)	(0.0111)	(0.0112)	(0.0120)	(0.0128)	(0.0120)	(0.0128)
agemay	0.0645***	0.0170	0.0645***	0.0170	0.0465	-0.0524	0.0464	-0.0523	-0.0414*	-0.0603**	-0.0415*	-0.0603**	0.0453***	0.0175*	0.0453***	0.0175*
	(0.0166)	(0.0139)	(0.0166)	(0.0139)	(0.0596)	(0.0518)	(0.0596)	(0.0518)	(0.0241)	(0.0256)	(0.0241)	(0.0256)	(0.00842)	(0.00962)	(0.00841)	(0.00963)
magesq	-0.000464**	0.000107	-0.000464**	0.000107	0.000345	0.00153**	0.000345	0.00153**	2.69e-05	0.000273	2.71e-05	0.000273	-0.000427***	-0.000109	-0.000428***	-0.000110
	(0.000195)	(0.000155)	(0.000195)	(0.000155)	(0.000760)	(0.000647)	(0.000760)	(0.000647)	(0.000302)	(0.000317)	(0.000302)	(0.000317)	(0.000100)	(0.000128)	(0.000100)	(0.000128)
height		0.00539***		0.00539***		0.0107***		0.0107***		0.00239***		0.00239***		0.00203***		0.00203***
		(0.000750)		(0.000750)		(0.00195)		(0.00195)		(0.000661)		(0.000662)		(0.000415)		(0.000415)
bmi		0.0168***		0.0168***		0.0438***		0.0438***		0.00436***		0.00435***		0.00628***		0.00628***
		(0.00224)		(0.00224)		(0.00556)		(0.00556)		(0.00135)		(0.00135)		(0.000813)		(0.000814)
educf_1_4		0.264***		0.264***		0.640***		0.640***		0.136***		0.136***		0.0937***		0.0937***
		(0.0287)		(0.0287)		(0.0810)		(0.0810)		(0.0244)		(0.0244)		(0.0194)		(0.0193)
educf_5_6		0.500***		0.500***		1.104***		1.104***		0.222***		0.222***		0.199***		0.199***
		(0.0414)		(0.0414)		(0.0840)		(0.0840)		(0.0347)		(0.0347)		(0.0187)		(0.0187)
educf_7_10		0.660***		0.660***		1.400***		1.400***		0.252***		0.252***		0.271***		0.271***
		(0.0549)		(0.0549)		(0.101)		(0.101)		(0.0368)		(0.0368)		(0.0200)		(0.0200)
educf_11plus		0.802***		0.802***		1.622***		1.622***		0.314***		0.314***		0.318***		0.318***
		(0.0976)		(0.0976)		(0.170)		(0.170)		(0.0435)		(0.0435)		(0.0308)		(0.0308)
poor1		-0.278***		-0.278***		-0.601***		-0.601***		-0.127***		-0.127***		-0.139***		-0.139***
		(0.0275)		(0.0275)		(0.0522)		(0.0522)		(0.0169)		(0.0169)		(0.0173)		(0.0172)
T_BindXtwin			0.0524	-0.0217			0.0889	-0.0696			0.0325	0.00745			0.0671***	0.0375
			(0.0370)	(0.0329)			(0.0902)	(0.0722)			(0.0309)	(0.0307)			(0.0233)	(0.0265)
Constant	-3.583***	-4.189***	-3.582***	-4.189***	-4.477***	-5.817***	-4.475***	-5.820***	2.972***	2.665***	2.973***	2.665***	-1.558***	-1.560***	-1.557***	-1.559***
	(0.558)	(0.516)	(0.558)	(0.516)	(1.165)	(1.123)	(1.164)	(1.123)	(0.763)	(0.799)	(0.763)	(0.800)	(0.241)	(0.211)	(0.241)	(0.211)
																
Observations	249,343	249,343	249,343	249,343	249,575	249,575	249,575	249,575	171,104	171,104	171,104	171,104	113,795	113,795	113,795	113,795
R-squared	0.034	0.149	0.034	0.149	0.703	0.739	0.703	0.739	0.366	0.395	0.366	0.395	0.402	0.474	0.402	0.474
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
