	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Bind	-0.0473	-0.0523*	-0.0662*	-0.0458	-0.0716	-0.0819	-0.107	-0.0625	-0.0414**	-0.0468***	-0.0529***	-0.0491***	-0.00618	-0.0137	-0.0243	-0.0239
	(0.0314)	(0.0267)	(0.0351)	(0.0324)	(0.0641)	(0.0562)	(0.0736)	(0.0684)	(0.0176)	(0.0169)	(0.0195)	(0.0182)	(0.0154)	(0.0140)	(0.0165)	(0.0153)
malec	-0.0417*	-0.0363	-0.0417*	-0.0363	-0.0833	-0.0711	-0.0833	-0.0711	0.0138	0.0156	0.0138	0.0156	-0.0133	-0.00721	-0.0133	-0.00722
	(0.0248)	(0.0256)	(0.0248)	(0.0256)	(0.0530)	(0.0554)	(0.0530)	(0.0554)	(0.0110)	(0.0111)	(0.0110)	(0.0111)	(0.0124)	(0.0133)	(0.0123)	(0.0133)
agemay	0.0648***	0.0175	0.0648***	0.0175	0.0371	-0.0613	0.0371	-0.0613	-0.0410	-0.0599**	-0.0410	-0.0599**	0.0465***	0.0190*	0.0465***	0.0190*
	(0.0166)	(0.0139)	(0.0166)	(0.0139)	(0.0591)	(0.0513)	(0.0591)	(0.0513)	(0.0244)	(0.0259)	(0.0244)	(0.0259)	(0.00847)	(0.0102)	(0.00846)	(0.0102)
magesq	-0.000469**	9.58e-05	-0.000469**	9.58e-05	0.000474	0.00165**	0.000474	0.00165**	2.14e-05	0.000267	2.16e-05	0.000267	-0.000437***	-0.000124	-0.000438***	-0.000124
	(0.000196)	(0.000157)	(0.000196)	(0.000157)	(0.000755)	(0.000644)	(0.000755)	(0.000644)	(0.000300)	(0.000317)	(0.000300)	(0.000317)	(0.000102)	(0.000135)	(0.000102)	(0.000135)
height		0.00571***		0.00571***		0.0112***		0.0112***		0.00269***		0.00269***		0.00210***		0.00210***
		(0.000706)		(0.000706)		(0.00190)		(0.00190)		(0.000725)		(0.000726)		(0.000392)		(0.000392)
bmi		0.0165***		0.0165***		0.0433***		0.0434***		0.00429***		0.00429***		0.00626***		0.00625***
		(0.00219)		(0.00219)		(0.00552)		(0.00552)		(0.00137)		(0.00137)		(0.000800)		(0.000801)
educf_1_4		0.267***		0.267***		0.647***		0.647***		0.141***		0.141***		0.0968***		0.0968***
		(0.0295)		(0.0295)		(0.0834)		(0.0834)		(0.0254)		(0.0254)		(0.0196)		(0.0196)
educf_5_6		0.501***		0.501***		1.109***		1.109***		0.221***		0.221***		0.200***		0.200***
		(0.0419)		(0.0419)		(0.0851)		(0.0851)		(0.0346)		(0.0345)		(0.0191)		(0.0191)
educf_7_10		0.660***		0.660***		1.406***		1.406***		0.251***		0.251***		0.273***		0.273***
		(0.0551)		(0.0551)		(0.102)		(0.102)		(0.0373)		(0.0373)		(0.0201)		(0.0201)
educf_11plus		0.800***		0.800***		1.622***		1.622***		0.314***		0.314***		0.318***		0.318***
		(0.0973)		(0.0973)		(0.169)		(0.169)		(0.0442)		(0.0442)		(0.0310)		(0.0310)
poor1		-0.274***		-0.274***		-0.588***		-0.588***		-0.125***		-0.125***		-0.138***		-0.138***
		(0.0281)		(0.0281)		(0.0517)		(0.0517)		(0.0172)		(0.0172)		(0.0178)		(0.0178)
T_BindXtwin			0.0549	-0.0188			0.101	-0.0563			0.0314	0.00640			0.0670***	0.0377
			(0.0371)	(0.0328)			(0.0901)	(0.0722)			(0.0310)	(0.0308)			(0.0232)	(0.0264)
Constant	-3.704***	-4.347***	-3.702***	-4.347***	-4.405***	-5.796***	-4.403***	-5.798***	2.968***	2.620***	2.969***	2.620***	-1.635***	-1.648***	-1.634***	-1.648***
	(0.583)	(0.513)	(0.583)	(0.513)	(1.191)	(1.128)	(1.190)	(1.128)	(0.776)	(0.824)	(0.776)	(0.824)	(0.255)	(0.220)	(0.255)	(0.220)
																
Observations	239,321	239,321	239,321	239,321	239,544	239,544	239,544	239,544	163,560	163,560	163,560	163,560	109,109	109,109	109,109	109,109
R-squared	0.034	0.149	0.034	0.149	0.707	0.742	0.707	0.742	0.371	0.400	0.371	0.400	0.397	0.470	0.397	0.470
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
