	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Final	0.0158	-0.0158	0.128***	0.00463	0.0439**	-0.00560	0.139***	0.0386	0.0137	-0.00108	0.0905***	0.0398**	0.0115	-0.000780	0.0839***	0.0257
	(0.0160)	(0.0130)	(0.0354)	(0.0271)	(0.0197)	(0.0136)	(0.0390)	(0.0280)	(0.00845)	(0.00793)	(0.0166)	(0.0154)	(0.00908)	(0.00772)	(0.0214)	(0.0193)
malec	-0.00943	-0.00161	-0.00947	-0.00161	-0.0179	-0.0118	-0.0179	-0.0118	0.0321**	0.0351***	0.0321**	0.0351***	-0.00505	0.00209	-0.00505	0.00209
	(0.0275)	(0.0275)	(0.0275)	(0.0275)	(0.0367)	(0.0367)	(0.0367)	(0.0367)	(0.0121)	(0.0123)	(0.0121)	(0.0123)	(0.0151)	(0.0156)	(0.0151)	(0.0156)
agemay	0.0791***	0.0471***	0.0793***	0.0472***	-0.00553	-0.0323	-0.00547	-0.0323	-0.00717	-0.0242	-0.00700	-0.0241	0.0278***	0.0101*	0.0281***	0.0102*
	(0.0105)	(0.00995)	(0.0105)	(0.00996)	(0.0312)	(0.0311)	(0.0312)	(0.0311)	(0.0235)	(0.0229)	(0.0235)	(0.0229)	(0.00572)	(0.00527)	(0.00572)	(0.00527)
magesq	-0.000326***	-3.24e-06	-0.000330***	-3.96e-06	0.00104**	0.00128***	0.00104**	0.00128***	-0.000182	1.03e-05	-0.000184	8.73e-06	-0.000142**	4.18e-05	-0.000145**	4.06e-05
	(0.000111)	(0.000118)	(0.000111)	(0.000118)	(0.000446)	(0.000438)	(0.000446)	(0.000438)	(0.000249)	(0.000253)	(0.000249)	(0.000253)	(5.86e-05)	(5.99e-05)	(5.86e-05)	(6.00e-05)
agefirstbirth	-0.00326	-0.0122***	-0.00332	-0.0122***	-0.00342	-0.0109***	-0.00355	-0.0110***	-0.00329**	-0.00610***	-0.00334**	-0.00613***	0.00251	-0.00142	0.00246	-0.00144*
	(0.00358)	(0.00176)	(0.00356)	(0.00176)	(0.00345)	(0.00352)	(0.00343)	(0.00352)	(0.00155)	(0.00113)	(0.00155)	(0.00114)	(0.00188)	(0.000857)	(0.00187)	(0.000857)
height		0.00457***		0.00457***		0.00443***		0.00443***		0.00209***		0.00209***		0.00178***		0.00178***
		(0.000677)		(0.000677)		(0.00118)		(0.00118)		(0.000488)		(0.000488)		(0.000341)		(0.000342)
bmi		0.0198***		0.0198***		0.0434***		0.0434***		0.00679***		0.00679***		0.00777***		0.00777***
		(0.00216)		(0.00216)		(0.00482)		(0.00482)		(0.00158)		(0.00158)		(0.000910)		(0.000910)
educf_1_4		0.276***		0.276***		0.411***		0.411***		0.157***		0.157***		0.0920***		0.0920***
		(0.0236)		(0.0236)		(0.0608)		(0.0607)		(0.0230)		(0.0230)		(0.0186)		(0.0186)
educf_5_6		0.509***		0.509***		0.664***		0.664***		0.241***		0.241***		0.192***		0.192***
		(0.0300)		(0.0300)		(0.0622)		(0.0622)		(0.0329)		(0.0329)		(0.0176)		(0.0176)
educf_7_10		0.688***		0.688***		0.773***		0.773***		0.281***		0.281***		0.270***		0.270***
		(0.0414)		(0.0414)		(0.0850)		(0.0849)		(0.0360)		(0.0360)		(0.0201)		(0.0201)
educf_11plus		0.811***		0.810***		0.824***		0.824***		0.334***		0.334***		0.311***		0.311***
		(0.0897)		(0.0897)		(0.119)		(0.119)		(0.0449)		(0.0449)		(0.0291)		(0.0292)
poor1		-0.296***		-0.296***		-0.415***		-0.415***		-0.142***		-0.142***		-0.136***		-0.135***
		(0.0200)		(0.0200)		(0.0263)		(0.0263)		(0.0163)		(0.0163)		(0.0148)		(0.0148)
T_FinalXpretwin			-0.154***	-0.0279			-0.194***	-0.0903			-0.111***	-0.0592***			-0.0924***	-0.0338*
			(0.0338)	(0.0250)			(0.0680)	(0.0589)			(0.0159)	(0.0154)			(0.0192)	(0.0174)
Constant	-3.609***	-4.184***	-3.610***	-4.184***	-2.010***	-3.341***	-2.010***	-3.340***	2.280***	1.858**	2.280***	1.858**	-1.250***	-1.307***	-1.253***	-1.308***
	(0.294)	(0.369)	(0.294)	(0.369)	(0.551)	(0.694)	(0.550)	(0.694)	(0.754)	(0.786)	(0.754)	(0.786)	(0.160)	(0.168)	(0.160)	(0.168)
																
Observations	1,142,413	1,142,413	1,142,413	1,142,413	1,980,273	1,980,273	1,980,273	1,980,273	760,739	760,739	760,739	760,739	532,787	532,787	532,787	532,787
R-squared	0.046	0.150	0.046	0.150	0.708	0.724	0.708	0.724	0.319	0.349	0.319	0.349	0.379	0.443	0.379	0.443
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
