	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Final	0.00647	-0.0314	0.0123	-0.00119	0.0898	0.0137	0.143***	0.115***	-0.00601	-0.0215**	-0.0203*	-0.0251**	0.0155	-0.00260	0.00973	0.000292
	(0.0247)	(0.0205)	(0.0214)	(0.0223)	(0.0557)	(0.0431)	(0.0435)	(0.0424)	(0.0108)	(0.00954)	(0.0117)	(0.0114)	(0.0149)	(0.0130)	(0.0137)	(0.0128)
malec	-0.0459*	-0.0379	-0.0458*	-0.0379	-0.0912*	-0.0745	-0.0912*	-0.0744	0.00848	0.0112	0.00847	0.0112	-0.0180	-0.0104	-0.0180	-0.0104
	(0.0244)	(0.0257)	(0.0244)	(0.0257)	(0.0511)	(0.0546)	(0.0511)	(0.0547)	(0.00975)	(0.01000)	(0.00974)	(0.01000)	(0.0147)	(0.0160)	(0.0147)	(0.0160)
agemay	0.0554***	0.0342**	0.0554***	0.0342**	-0.0821**	-0.127***	-0.0821**	-0.127***	0.00959	0.000285	0.00958	0.000284	0.0336***	0.0164*	0.0336***	0.0164*
	(0.0149)	(0.0140)	(0.0149)	(0.0140)	(0.0379)	(0.0367)	(0.0379)	(0.0367)	(0.0235)	(0.0237)	(0.0235)	(0.0237)	(0.00745)	(0.00838)	(0.00744)	(0.00839)
magesq	-0.000422**	-0.000124	-0.000422**	-0.000123	0.00179***	0.00240***	0.00179***	0.00241***	-0.000636*	-0.000498	-0.000637*	-0.000499	-0.000331***	-0.000105	-0.000332***	-0.000105
	(0.000182)	(0.000195)	(0.000182)	(0.000195)	(0.000479)	(0.000488)	(0.000479)	(0.000488)	(0.000317)	(0.000329)	(0.000317)	(0.000329)	(9.58e-05)	(0.000121)	(9.59e-05)	(0.000122)
agefirstbirth	0.0230***	0.00363*	0.0230***	0.00359*	0.0452***	0.00839**	0.0451***	0.00825**	0.00824***	0.000811	0.00825***	0.000816	0.0101***	0.00269***	0.0101***	0.00268***
	(0.00327)	(0.00182)	(0.00327)	(0.00182)	(0.0102)	(0.00372)	(0.0102)	(0.00372)	(0.00115)	(0.000916)	(0.00115)	(0.000916)	(0.00152)	(0.000465)	(0.00152)	(0.000460)
height		0.00485***		0.00486***		0.00883***		0.00883***		0.00202***		0.00202***		0.00189***		0.00189***
		(0.000771)		(0.000771)		(0.00227)		(0.00227)		(0.000468)		(0.000468)		(0.000526)		(0.000526)
bmi		0.0156***		0.0156***		0.0394***		0.0394***		0.00459***		0.00459***		0.00594***		0.00594***
		(0.00215)		(0.00215)		(0.00667)		(0.00667)		(0.00125)		(0.00125)		(0.000968)		(0.000968)
educf_1_4		0.253***		0.253***		0.575***		0.575***		0.142***		0.142***		0.0978***		0.0978***
		(0.0306)		(0.0306)		(0.0945)		(0.0945)		(0.0303)		(0.0303)		(0.0178)		(0.0178)
educf_5_6		0.455***		0.455***		0.943***		0.943***		0.212***		0.212***		0.181***		0.181***
		(0.0397)		(0.0397)		(0.0958)		(0.0958)		(0.0409)		(0.0409)		(0.0179)		(0.0179)
educf_7_10		0.633***		0.633***		1.272***		1.272***		0.254***		0.254***		0.258***		0.258***
		(0.0502)		(0.0502)		(0.119)		(0.119)		(0.0435)		(0.0435)		(0.0183)		(0.0183)
educf_11plus		0.765***		0.765***		1.495***		1.495***		0.315***		0.315***		0.294***		0.294***
		(0.0922)		(0.0922)		(0.168)		(0.168)		(0.0508)		(0.0508)		(0.0303)		(0.0303)
poor1		-0.259***		-0.259***		-0.501***		-0.501***		-0.129***		-0.129***		-0.130***		-0.130***
		(0.0235)		(0.0235)		(0.0402)		(0.0402)		(0.0157)		(0.0157)		(0.0161)		(0.0161)
T_FinalXtwin			-0.0145	-0.0753***			-0.132**	-0.253***			0.0326***	0.00813			0.0148	-0.00737
			(0.0282)	(0.0263)			(0.0534)	(0.0392)			(0.0116)	(0.0120)			(0.0196)	(0.0208)
Constant	-3.157***	-3.597***	-3.158***	-3.597***	-1.505	-2.425**	-1.506	-2.426**	2.598***	2.226***	2.599***	2.226***	-1.004***	-1.047***	-1.004***	-1.047***
	(0.496)	(0.505)	(0.496)	(0.505)	(1.096)	(1.190)	(1.096)	(1.189)	(0.765)	(0.803)	(0.765)	(0.803)	(0.236)	(0.239)	(0.236)	(0.239)
																
Observations	638,592	638,592	638,592	638,592	639,225	639,225	639,225	639,225	440,338	440,338	440,338	440,338	265,496	265,496	265,496	265,496
R-squared	0.042	0.140	0.042	0.140	0.733	0.761	0.733	0.761	0.384	0.412	0.384	0.412	0.346	0.409	0.346	0.409
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
