	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Final	-0.0204	-0.0373***	-0.0483***	-0.0368***	-0.0105	-0.0471*	-0.0558*	-0.0326	0.00512	-0.00227	-0.0183**	-0.0121*	0.000897	-0.00610	-0.0109*	-0.00776
	(0.0156)	(0.0123)	(0.0128)	(0.0105)	(0.0368)	(0.0274)	(0.0320)	(0.0259)	(0.00874)	(0.00745)	(0.00822)	(0.00687)	(0.00847)	(0.00721)	(0.00650)	(0.00581)
malec	-0.0116	-0.00245	-0.0117	-0.00245	-0.0223	-0.00220	-0.0223	-0.00218	0.0311**	0.0348***	0.0311**	0.0348***	-0.00636	0.00177	-0.00636	0.00177
	(0.0274)	(0.0274)	(0.0273)	(0.0274)	(0.0630)	(0.0640)	(0.0630)	(0.0640)	(0.0121)	(0.0122)	(0.0121)	(0.0122)	(0.0150)	(0.0155)	(0.0150)	(0.0155)
agemay	0.0424***	0.0164	0.0425***	0.0164	-0.0119	-0.0647	-0.0118	-0.0648	-0.0225	-0.0356	-0.0224	-0.0355	0.0229***	0.00354	0.0230***	0.00355
	(0.0105)	(0.00999)	(0.0105)	(0.01000)	(0.0460)	(0.0425)	(0.0461)	(0.0425)	(0.0221)	(0.0227)	(0.0221)	(0.0227)	(0.00555)	(0.00432)	(0.00555)	(0.00431)
magesq	-0.000197	0.000142	-0.000199	0.000142	0.00102*	0.00171***	0.00102	0.00172***	-0.000129	5.72e-05	-0.000131	5.65e-05	-0.000172***	5.87e-05	-0.000173***	5.85e-05
	(0.000131)	(0.000123)	(0.000131)	(0.000123)	(0.000608)	(0.000549)	(0.000609)	(0.000549)	(0.000238)	(0.000250)	(0.000238)	(0.000250)	(6.25e-05)	(5.21e-05)	(6.26e-05)	(5.20e-05)
height		0.00467***		0.00467***		0.00875***		0.00875***		0.00211***		0.00211***		0.00182***		0.00182***
		(0.000673)		(0.000672)		(0.00176)		(0.00176)		(0.000479)		(0.000479)		(0.000350)		(0.000351)
bmi		0.0193***		0.0193***		0.0521***		0.0522***		0.00665***		0.00665***		0.00754***		0.00754***
		(0.00215)		(0.00215)		(0.00589)		(0.00589)		(0.00157)		(0.00157)		(0.000918)		(0.000918)
educf_1_4		0.283***		0.283***		0.673***		0.673***		0.160***		0.160***		0.0941***		0.0941***
		(0.0242)		(0.0242)		(0.0867)		(0.0867)		(0.0229)		(0.0229)		(0.0188)		(0.0188)
educf_5_6		0.528***		0.528***		1.151***		1.151***		0.247***		0.247***		0.198***		0.198***
		(0.0312)		(0.0312)		(0.0874)		(0.0873)		(0.0330)		(0.0330)		(0.0183)		(0.0183)
educf_7_10		0.722***		0.722***		1.485***		1.485***		0.291***		0.291***		0.281***		0.281***
		(0.0424)		(0.0424)		(0.122)		(0.122)		(0.0361)		(0.0361)		(0.0210)		(0.0210)
educf_11plus		0.883***		0.883***		1.710***		1.710***		0.355***		0.355***		0.337***		0.336***
		(0.0907)		(0.0907)		(0.183)		(0.183)		(0.0445)		(0.0445)		(0.0298)		(0.0298)
poor1		-0.304***		-0.304***		-0.665***		-0.665***		-0.145***		-0.145***		-0.137***		-0.137***
		(0.0195)		(0.0195)		(0.0458)		(0.0457)		(0.0165)		(0.0165)		(0.0148)		(0.0148)
T_FinalXtwin			0.102***	-0.00184			0.166*	-0.0535			0.0755***	0.0318**			0.0529***	0.00744
			(0.0326)	(0.0227)			(0.0914)	(0.0557)			(0.0137)	(0.0145)			(0.0179)	(0.0132)
Constant	-2.772***	-3.762***	-2.772***	-3.762***	-2.357***	-4.564***	-2.357***	-4.564***	2.533***	1.970**	2.533***	1.970**	-0.969***	-1.137***	-0.970***	-1.138***
	(0.290)	(0.379)	(0.290)	(0.379)	(0.823)	(1.060)	(0.823)	(1.060)	(0.736)	(0.779)	(0.736)	(0.779)	(0.151)	(0.171)	(0.151)	(0.171)
																
Observations	1,141,489	1,141,489	1,141,489	1,141,489	1,142,239	1,142,239	1,142,239	1,142,239	760,053	760,053	760,053	760,053	532,350	532,350	532,350	532,350
R-squared	0.022	0.144	0.022	0.144	0.623	0.666	0.623	0.666	0.314	0.348	0.314	0.348	0.368	0.441	0.368	0.441
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
