	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_Final	-0.0272*	-0.0416***	-0.0549***	-0.0414***	-0.0275	-0.0593**	-0.0749**	-0.0476*	0.00350	-0.00272	-0.0195**	-0.0123*	-0.00172	-0.00758	-0.0134**	-0.00926
	(0.0156)	(0.0123)	(0.0127)	(0.0104)	(0.0368)	(0.0275)	(0.0318)	(0.0259)	(0.00894)	(0.00760)	(0.00838)	(0.00700)	(0.00847)	(0.00724)	(0.00646)	(0.00580)
malec	-0.0135	-0.00437	-0.0135	-0.00437	-0.0260	-0.00608	-0.0261	-0.00606	0.0297**	0.0333***	0.0296**	0.0332***	-0.00718	0.000872	-0.00719	0.000871
	(0.0276)	(0.0276)	(0.0275)	(0.0276)	(0.0634)	(0.0644)	(0.0634)	(0.0644)	(0.0120)	(0.0121)	(0.0119)	(0.0121)	(0.0151)	(0.0157)	(0.0151)	(0.0157)
agemay	0.0415***	0.0159	0.0416***	0.0159	-0.0194	-0.0713*	-0.0192	-0.0714*	-0.0216	-0.0344	-0.0216	-0.0344	0.0229***	0.00371	0.0230***	0.00373
	(0.0107)	(0.0101)	(0.0107)	(0.0101)	(0.0466)	(0.0426)	(0.0466)	(0.0426)	(0.0224)	(0.0231)	(0.0224)	(0.0231)	(0.00570)	(0.00447)	(0.00570)	(0.00446)
magesq	-0.000179	0.000150	-0.000182	0.000150	0.00113*	0.00181***	0.00113*	0.00181***	-0.000139	4.23e-05	-0.000141	4.16e-05	-0.000169**	5.80e-05	-0.000170**	5.78e-05
	(0.000134)	(0.000124)	(0.000134)	(0.000125)	(0.000616)	(0.000550)	(0.000617)	(0.000550)	(0.000245)	(0.000257)	(0.000245)	(0.000257)	(6.43e-05)	(5.42e-05)	(6.43e-05)	(5.41e-05)
height		0.00476***		0.00476***		0.00894***		0.00894***		0.00214***		0.00214***		0.00184***		0.00184***
		(0.000655)		(0.000655)		(0.00172)		(0.00172)		(0.000477)		(0.000477)		(0.000348)		(0.000348)
bmi		0.0192***		0.0192***		0.0520***		0.0520***		0.00645***		0.00644***		0.00751***		0.00751***
		(0.00218)		(0.00218)		(0.00603)		(0.00603)		(0.00157)		(0.00157)		(0.000926)		(0.000926)
educf_1_4		0.282***		0.282***		0.671***		0.671***		0.161***		0.161***		0.0950***		0.0950***
		(0.0247)		(0.0247)		(0.0880)		(0.0880)		(0.0233)		(0.0233)		(0.0189)		(0.0189)
educf_5_6		0.525***		0.525***		1.145***		1.145***		0.246***		0.246***		0.198***		0.198***
		(0.0318)		(0.0318)		(0.0889)		(0.0889)		(0.0333)		(0.0333)		(0.0185)		(0.0185)
educf_7_10		0.719***		0.719***		1.482***		1.482***		0.292***		0.292***		0.282***		0.282***
		(0.0429)		(0.0429)		(0.123)		(0.123)		(0.0368)		(0.0368)		(0.0209)		(0.0209)
educf_11plus		0.879***		0.879***		1.705***		1.706***		0.356***		0.356***		0.336***		0.336***
		(0.0907)		(0.0907)		(0.182)		(0.182)		(0.0452)		(0.0451)		(0.0299)		(0.0299)
poor1		-0.301***		-0.301***		-0.656***		-0.657***		-0.144***		-0.144***		-0.137***		-0.137***
		(0.0202)		(0.0201)		(0.0464)		(0.0463)		(0.0163)		(0.0163)		(0.0152)		(0.0152)
T_FinalXtwin			0.102***	-0.000938			0.174*	-0.0429			0.0742***	0.0309**			0.0525***	0.00754
			(0.0328)	(0.0227)			(0.0913)	(0.0550)			(0.0137)	(0.0145)			(0.0180)	(0.0133)
Constant	-2.786***	-3.782***	-2.786***	-3.782***	-2.335***	-4.552***	-2.335***	-4.552***	2.615***	2.039**	2.615***	2.039**	-0.985***	-1.154***	-0.986***	-1.154***
	(0.294)	(0.383)	(0.294)	(0.383)	(0.828)	(1.064)	(0.828)	(1.064)	(0.738)	(0.779)	(0.738)	(0.780)	(0.154)	(0.174)	(0.154)	(0.174)
																
Observations	1,087,332	1,087,332	1,087,332	1,087,332	1,088,068	1,088,068	1,088,068	1,088,068	723,199	723,199	723,199	723,199	505,256	505,256	505,256	505,256
R-squared	0.022	0.144	0.022	0.144	0.628	0.670	0.628	0.670	0.318	0.352	0.318	0.352	0.367	0.440	0.367	0.440
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
