	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool
																																				
fert	-0.0616***	-0.0776***	-0.0228*	-0.0291**	0.0378***	0.0371***	0.0230***	0.0226***	-0.102***	-0.141***	-0.0194**	-0.0298***	0.0321***	0.0311***	0.0202***	0.0195***	-0.0733***	-0.108***	-0.0326***	-0.0425***	0.0337***	0.0330***	0.0223***	0.0218***	-0.0445***	-0.0741***	-0.0161**	-0.0249***	0.0248***	0.0246***	0.0148***	0.0146***	-0.0634***	-0.0883***	-0.0283***	-0.0360***
	(0.0221)	(0.0229)	(0.0137)	(0.0140)	(0.00194)	(0.00192)	(0.00157)	(0.00155)	(0.0152)	(0.0154)	(0.00826)	(0.00836)	(0.00168)	(0.00162)	(0.00135)	(0.00130)	(0.0135)	(0.0138)	(0.00751)	(0.00757)	(0.00171)	(0.00167)	(0.00137)	(0.00133)	(0.0124)	(0.0128)	(0.00632)	(0.00643)	(0.00173)	(0.00170)	(0.00138)	(0.00136)	(0.0124)	(0.0128)	(0.00607)	(0.00618)
malec	-0.0161***	-0.0288***	-0.00291	-0.0116***	0.00421***	0.00385***	0.00279***	0.00257***	-0.00845***	-0.0276***	-0.00263	-0.0130***	0.00347***	0.00303***	0.00262***	0.00234***	0.0147***	-0.00699**	0.00155	-0.00880***	0.00267***	0.00227***	0.00236***	0.00209***	0.0320***	0.0127***	0.00418***	-0.00459***	0.00215***	0.00203***	0.00179***	0.00171***	0.0485***	0.0318***	0.00959***	0.00216
	(0.00402)	(0.00408)	(0.00265)	(0.00248)	(0.000314)	(0.000307)	(0.000255)	(0.000249)	(0.00295)	(0.00302)	(0.00174)	(0.00172)	(0.000306)	(0.000298)	(0.000246)	(0.000240)	(0.00278)	(0.00291)	(0.00157)	(0.00160)	(0.000341)	(0.000338)	(0.000272)	(0.000270)	(0.00291)	(0.00307)	(0.00157)	(0.00162)	(0.000390)	(0.000389)	(0.000312)	(0.000311)	(0.00321)	(0.00337)	(0.00166)	(0.00172)
agemay	0.0895***	0.144***	0.0296***	0.0534***	-0.0831***	-0.0813***	-0.0580***	-0.0568***	0.0810***	0.130***	0.0177***	0.0371***	-0.0284***	-0.0273***	-0.0191***	-0.0183***	0.0679***	0.113***	0.0190***	0.0384***	-0.0282***	-0.0274***	-0.0190***	-0.0184***	0.0471***	0.0906***	0.000441	0.0201***	-0.0243***	-0.0240***	-0.0161***	-0.0159***	0.0565***	0.0972***	0.00933*	0.0269***
	(0.0109)	(0.0101)	(0.00702)	(0.00626)	(0.000878)	(0.000796)	(0.000713)	(0.000645)	(0.00734)	(0.00705)	(0.00488)	(0.00468)	(0.000704)	(0.000641)	(0.000566)	(0.000516)	(0.00686)	(0.00680)	(0.00517)	(0.00501)	(0.000759)	(0.000711)	(0.000607)	(0.000569)	(0.00663)	(0.00671)	(0.00489)	(0.00483)	(0.000810)	(0.000779)	(0.000648)	(0.000623)	(0.00685)	(0.00701)	(0.00481)	(0.00481)
magesq	-5.40e-05	-0.000598***	-0.000194**	-0.000432***	0.000275***	0.000258***	0.000177***	0.000166***	-0.000702***	-0.00127***	-0.000144**	-0.000362***	0.000273***	0.000260***	0.000181***	0.000173***	-0.000547***	-0.00107***	-0.000156**	-0.000378***	0.000293***	0.000284***	0.000198***	0.000192***	-0.000264***	-0.000767***	8.61e-05	-0.000138**	0.000243***	0.000240***	0.000163***	0.000161***	-0.000355***	-0.000827***	-1.66e-05	-0.000217***
	(0.000144)	(0.000139)	(9.03e-05)	(8.42e-05)	(1.21e-05)	(1.14e-05)	(9.85e-06)	(9.21e-06)	(0.000103)	(0.000101)	(6.65e-05)	(6.50e-05)	(1.01e-05)	(9.42e-06)	(8.15e-06)	(7.59e-06)	(9.07e-05)	(9.10e-05)	(6.66e-05)	(6.52e-05)	(1.02e-05)	(9.65e-06)	(8.13e-06)	(7.72e-06)	(8.36e-05)	(8.50e-05)	(6.03e-05)	(5.99e-05)	(1.03e-05)	(9.93e-06)	(8.21e-06)	(7.94e-06)	(8.39e-05)	(8.60e-05)	(5.78e-05)	(5.79e-05)
