	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)
VARIABLES	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool	highschool	childmortality	childmortality	infantmortality	infantmortality	school_zscore	school_zscore	highschool
																																			
fert	0.0922	0.334***	0.0401	0.118**	0.0214***	0.0255***	0.0182***	0.0218***	-0.0336	-0.0272	-0.00449	-0.00187	0.0165***	0.0166***	0.0123***	0.0124***	-0.0364	-0.0665***	-0.0220*	-0.0297**	0.0127***	0.0123***	0.00972***	0.00943***	-0.0323*	-0.0664***	-0.00874	-0.0177**	0.00824***	0.00822***	0.00520***	0.00517***	-0.0738***	-0.0998***	-0.0267***
	(0.0750)	(0.110)	(0.0411)	(0.0576)	(0.00462)	(0.00576)	(0.00415)	(0.00515)	(0.0297)	(0.0321)	(0.0148)	(0.0158)	(0.00258)	(0.00260)	(0.00221)	(0.00223)	(0.0223)	(0.0229)	(0.0114)	(0.0115)	(0.00230)	(0.00223)	(0.00195)	(0.00190)	(0.0167)	(0.0171)	(0.00857)	(0.00869)	(0.00192)	(0.00188)	(0.00160)	(0.00157)	(0.0143)	(0.0147)	(0.00719)
malec	0.0207***	-0.00982	0.0121***	-0.00217	0.00269***	0.00217***	0.00205***	0.00160***	0.00198	-0.0268***	0.00433*	-0.00791***	0.00251***	0.00216***	0.00230***	0.00202***	0.0110***	-0.0158***	0.00683***	-0.00481**	0.00232***	0.00213***	0.00232***	0.00215***	0.0240***	0.00255	0.00782***	-0.00148	0.00184***	0.00184***	0.00174***	0.00173***	0.0374***	0.0206***	0.0120***
	(0.00778)	(0.00838)	(0.00430)	(0.00411)	(0.000485)	(0.000451)	(0.000435)	(0.000402)	(0.00446)	(0.00448)	(0.00239)	(0.00233)	(0.000381)	(0.000361)	(0.000327)	(0.000310)	(0.00363)	(0.00371)	(0.00194)	(0.00194)	(0.000361)	(0.000351)	(0.000307)	(0.000299)	(0.00350)	(0.00366)	(0.00184)	(0.00189)	(0.000395)	(0.000394)	(0.000330)	(0.000329)	(0.00362)	(0.00378)	(0.00185)
agemay	0.0415**	0.0618***	0.0189*	0.0362***	-0.0469***	-0.0466***	-0.0371***	-0.0369***	0.0390***	0.0806***	0.0222***	0.0417***	-0.0138***	-0.0134***	-0.0103***	-0.00993***	0.0282***	0.0725***	0.0183***	0.0375***	-0.0117***	-0.0113***	-0.00866***	-0.00836***	0.0299***	0.0749***	0.00134	0.0210***	-0.00988***	-0.00988***	-0.00742***	-0.00740***	0.0478***	0.0888***	0.00924*
	(0.0203)	(0.0238)	(0.0113)	(0.0118)	(0.00126)	(0.00127)	(0.00113)	(0.00114)	(0.00912)	(0.00877)	(0.00565)	(0.00539)	(0.000759)	(0.000684)	(0.000651)	(0.000587)	(0.00812)	(0.00776)	(0.00556)	(0.00527)	(0.000760)	(0.000687)	(0.000647)	(0.000584)	(0.00710)	(0.00702)	(0.00522)	(0.00509)	(0.000738)	(0.000696)	(0.000615)	(0.000581)	(0.00735)	(0.00743)	(0.00518)
magesq	0.000286	0.000341	-0.000110	-0.000223	0.000117***	0.000120***	9.85e-05***	0.000101***	-0.000170	-0.000624***	-0.000200**	-0.000414***	0.000115***	0.000111***	8.63e-05***	8.26e-05***	-7.74e-05	-0.000588***	-0.000160**	-0.000380***	0.000102***	9.87e-05***	7.67e-05***	7.34e-05***	-7.13e-05	-0.000598***	6.39e-05	-0.000163**	8.12e-05***	8.13e-05***	6.38e-05***	6.36e-05***	-0.000262***	-0.000741***	-2.42e-05
	(0.000277)	(0.000348)	(0.000148)	(0.000167)	(1.72e-05)	(1.86e-05)	(1.55e-05)	(1.66e-05)	(0.000134)	(0.000133)	(7.93e-05)	(7.76e-05)	(1.13e-05)	(1.05e-05)	(9.68e-06)	(9.03e-06)	(0.000110)	(0.000108)	(7.32e-05)	(7.03e-05)	(1.05e-05)	(9.64e-06)	(8.89e-06)	(8.20e-06)	(9.12e-05)	(9.08e-05)	(6.54e-05)	(6.41e-05)	(9.53e-06)	(9.07e-06)	(7.95e-06)	(7.57e-06)	(9.11e-05)	(9.23e-05)	(6.28e-05)
