	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)
VARIABLES	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert
																																		
malec	-0.0618***	-0.0312***	-0.0691***	-0.0284***	-0.0601***	-0.0302***	-0.0601***	-0.0302***	-0.0591***	-0.0311***	-0.0656***	-0.0288***	-0.0564***	-0.0302***	-0.0564***	-0.0302***	-0.0418***	-0.0171***	-0.0474***	-0.0118*	-0.0392***	-0.0170***	-0.0392***	-0.0170***	-0.0173***	-0.00181	-0.0213***	0.000898	-0.0163***	-0.00204	-0.0163***	-0.00204	0.00641	0.0167***
	(0.00793)	(0.00819)	(0.0103)	(0.0106)	(0.00777)	(0.00801)	(0.00777)	(0.00801)	(0.00552)	(0.00571)	(0.00743)	(0.00770)	(0.00526)	(0.00543)	(0.00526)	(0.00543)	(0.00477)	(0.00490)	(0.00654)	(0.00675)	(0.00448)	(0.00460)	(0.00448)	(0.00460)	(0.00465)	(0.00472)	(0.00635)	(0.00646)	(0.00439)	(0.00445)	(0.00439)	(0.00445)	(0.00471)	(0.00476)
agemay	0.239***	0.187***	0.232***	0.164***	0.241***	0.193***	0.241***	0.193***	0.252***	0.211***	0.286***	0.234***	0.246***	0.209***	0.246***	0.209***	0.309***	0.276***	0.407***	0.362***	0.281***	0.250***	0.281***	0.250***	0.327***	0.303***	0.496***	0.460***	0.289***	0.266***	0.289***	0.266***	0.371***	0.353***
	(0.0122)	(0.0126)	(0.0193)	(0.0200)	(0.0117)	(0.0120)	(0.0117)	(0.0120)	(0.00699)	(0.00722)	(0.0128)	(0.0132)	(0.00619)	(0.00639)	(0.00619)	(0.00639)	(0.00588)	(0.00604)	(0.0109)	(0.0112)	(0.00515)	(0.00529)	(0.00515)	(0.00529)	(0.00603)	(0.00613)	(0.0105)	(0.0107)	(0.00541)	(0.00548)	(0.00541)	(0.00548)	(0.00657)	(0.00664)
magesq	-0.00335***	-0.00287***	-0.00309***	-0.00246***	-0.00339***	-0.00296***	-0.00339***	-0.00296***	-0.00381***	-0.00339***	-0.00420***	-0.00366***	-0.00376***	-0.00338***	-0.00376***	-0.00338***	-0.00420***	-0.00386***	-0.00539***	-0.00492***	-0.00387***	-0.00355***	-0.00387***	-0.00355***	-0.00411***	-0.00384***	-0.00615***	-0.00575***	-0.00363***	-0.00339***	-0.00363***	-0.00339***	-0.00441***	-0.00419***
	(0.000147)	(0.000152)	(0.000243)	(0.000252)	(0.000139)	(0.000144)	(0.000139)	(0.000144)	(9.57e-05)	(9.89e-05)	(0.000167)	(0.000173)	(8.57e-05)	(8.84e-05)	(8.57e-05)	(8.84e-05)	(7.96e-05)	(8.18e-05)	(0.000141)	(0.000145)	(7.05e-05)	(7.23e-05)	(7.05e-05)	(7.23e-05)	(7.98e-05)	(8.10e-05)	(0.000134)	(0.000137)	(7.20e-05)	(7.30e-05)	(7.20e-05)	(7.30e-05)	(8.48e-05)	(8.57e-05)
agefirstbirth	-0.0768***	-0.0843***	-0.0922***	-0.100***	-0.0757***	-0.0830***	-0.0757***	-0.0830***	-0.0579***	-0.0741***	-0.0645***	-0.0835***	-0.0556***	-0.0706***	-0.0556***	-0.0706***	-0.0729***	-0.0859***	-0.0822***	-0.0983***	-0.0689***	-0.0809***	-0.0689***	-0.0809***	-0.0837***	-0.0910***	-0.0956***	-0.105***	-0.0800***	-0.0866***	-0.0800***	-0.0866***	-0.0908***	-0.0965***
	(0.00693)	(0.00716)	(0.00863)	(0.00896)	(0.00680)	(0.00702)	(0.00680)	(0.00702)	(0.00175)	(0.00181)	(0.00239)	(0.00247)	(0.00166)	(0.00171)	(0.00166)	(0.00171)	(0.00118)	(0.00121)	(0.00165)	(0.00169)	(0.00111)	(0.00113)	(0.00111)	(0.00113)	(0.00104)	(0.00105)	(0.00143)	(0.00145)	(0.000983)	(0.000991)	(0.000983)	(0.000991)	(0.000999)	(0.00100)
