	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert	fert
																																				
malec	-0.0998***	-0.0875***	-0.129***	-0.0986***	-0.0796***	-0.0713***	-0.0796***	-0.0713***	-0.0668***	-0.0494***	-0.0838***	-0.0500***	-0.0582***	-0.0444***	-0.0582***	-0.0444***	-0.0306***	-0.0132***	-0.0415***	-0.0106*	-0.0273***	-0.0129***	-0.0273***	-0.0129***	-0.00805**	0.00373	-0.0114*	0.00834	-0.00622*	0.00380	-0.00622*	0.00380	0.00792*	0.0157***	0.0127**	0.0255***
	(0.00483)	(0.00503)	(0.00785)	(0.00825)	(0.00388)	(0.00400)	(0.00388)	(0.00400)	(0.00393)	(0.00405)	(0.00624)	(0.00650)	(0.00342)	(0.00351)	(0.00342)	(0.00351)	(0.00385)	(0.00393)	(0.00593)	(0.00608)	(0.00347)	(0.00353)	(0.00347)	(0.00353)	(0.00397)	(0.00402)	(0.00586)	(0.00595)	(0.00364)	(0.00368)	(0.00364)	(0.00368)	(0.00422)	(0.00425)	(0.00600)	(0.00605)
agemay	0.455***	0.399***	0.458***	0.381***	0.424***	0.383***	0.424***	0.383***	0.437***	0.404***	0.506***	0.464***	0.381***	0.352***	0.381***	0.352***	0.451***	0.428***	0.612***	0.575***	0.388***	0.366***	0.388***	0.366***	0.450***	0.433***	0.669***	0.639***	0.388***	0.372***	0.388***	0.372***	0.429***	0.416***	0.657***	0.637***
	(0.00618)	(0.00642)	(0.0127)	(0.0134)	(0.00457)	(0.00471)	(0.00457)	(0.00471)	(0.00444)	(0.00457)	(0.00990)	(0.0103)	(0.00345)	(0.00354)	(0.00345)	(0.00354)	(0.00444)	(0.00453)	(0.00925)	(0.00949)	(0.00373)	(0.00380)	(0.00373)	(0.00380)	(0.00487)	(0.00492)	(0.00914)	(0.00928)	(0.00425)	(0.00429)	(0.00425)	(0.00429)	(0.00564)	(0.00567)	(0.00959)	(0.00967)
magesq	-0.00606***	-0.00554***	-0.00582***	-0.00513***	-0.00594***	-0.00558***	-0.00594***	-0.00558***	-0.00611***	-0.00579***	-0.00696***	-0.00656***	-0.00546***	-0.00519***	-0.00546***	-0.00519***	-0.00588***	-0.00565***	-0.00785***	-0.00748***	-0.00511***	-0.00490***	-0.00511***	-0.00490***	-0.00550***	-0.00531***	-0.00814***	-0.00781***	-0.00474***	-0.00457***	-0.00474***	-0.00457***	-0.00500***	-0.00485***	-0.00771***	-0.00747***
	(7.70e-05)	(8.01e-05)	(0.000167)	(0.000176)	(5.38e-05)	(5.54e-05)	(5.38e-05)	(5.54e-05)	(6.26e-05)	(6.45e-05)	(0.000131)	(0.000136)	(4.97e-05)	(5.10e-05)	(4.97e-05)	(5.10e-05)	(6.15e-05)	(6.27e-05)	(0.000121)	(0.000124)	(5.24e-05)	(5.34e-05)	(5.24e-05)	(5.34e-05)	(6.55e-05)	(6.62e-05)	(0.000117)	(0.000119)	(5.77e-05)	(5.83e-05)	(5.77e-05)	(5.83e-05)	(7.36e-05)	(7.40e-05)	(0.000121)	(0.000122)
agefirstbirth	-0.134***	-0.150***	-0.155***	-0.178***	-0.113***	-0.125***	-0.113***	-0.125***	-0.0912***	-0.109***	-0.0967***	-0.121***	-0.0811***	-0.0957***	-0.0811***	-0.0957***	-0.0998***	-0.111***	-0.111***	-0.127***	-0.0914***	-0.101***	-0.0914***	-0.101***	-0.105***	-0.111***	-0.121***	-0.131***	-0.0980***	-0.104***	-0.0980***	-0.104***	-0.103***	-0.107***	-0.120***	-0.126***
	(0.00375)	(0.00390)	(0.00571)	(0.00600)	(0.00315)	(0.00325)	(0.00315)	(0.00325)	(0.00119)	(0.00122)	(0.00192)	(0.00198)	(0.00103)	(0.00106)	(0.00103)	(0.00106)	(0.000933)	(0.000945)	(0.00145)	(0.00148)	(0.000842)	(0.000852)	(0.000842)	(0.000852)	(0.000870)	(0.000875)	(0.00129)	(0.00131)	(0.000800)	(0.000804)	(0.000800)	(0.000804)	(0.000881)	(0.000883)	(0.00126)	(0.00126)
height	-0.00557***		-0.00791***		-0.00435***		-0.00435***		-0.00551***		-0.00781***		-0.00482***		-0.00482***		-0.00432***		-0.00629***		-0.00390***		-0.00390***		-0.00323***		-0.00468***		-0.00301***		-0.00301***		-0.00220***		-0.00309***	
	(0.000406)		(0.000657)		(0.000326)		(0.000326)		(0.000329)		(0.000523)		(0.000286)		(0.000286)		(0.000321)		(0.000495)		(0.000288)		(0.000288)		(0.000330)		(0.000487)		(0.000303)		(0.000303)		(0.000352)		(0.000499)	
bmi	-0.0230***		-0.0244***		-0.0211***		-0.0211***		-0.0219***		-0.0250***		-0.0204***		-0.0204***		-0.0177***		-0.0213***		-0.0168***		-0.0168***		-0.00976***		-0.0127***		-0.00937***		-0.00937***		-0.00218***		-0.00325***	
	(0.000613)		(0.000943)		(0.000505)		(0.000505)		(0.000498)		(0.000749)		(0.000441)		(0.000441)		(0.000490)		(0.000717)		(0.000447)		(0.000447)		(0.000508)		(0.000718)		(0.000471)		(0.000471)		(0.000539)		(0.000737)	
educf_1_4	-0.200***		-0.249***		-0.166***		-0.166***		-0.170***		-0.218***		-0.152***		-0.152***		-0.151***		-0.192***		-0.139***		-0.139***		-0.126***		-0.158***		-0.117***		-0.117***		-0.118***		-0.150***	
	(0.00821)		(0.0133)		(0.00665)		(0.00665)		(0.00636)		(0.0101)		(0.00554)		(0.00554)		(0.00600)		(0.00920)		(0.00541)		(0.00541)		(0.00605)		(0.00888)		(0.00556)		(0.00556)		(0.00632)		(0.00892)	
educf_5_6	-0.499***		-0.656***		-0.398***		-0.398***		-0.455***		-0.600***		-0.395***		-0.395***		-0.396***		-0.523***		-0.357***		-0.357***		-0.328***		-0.420***		-0.300***		-0.300***		-0.279***		-0.345***	
	(0.00845)		(0.0137)		(0.00679)		(0.00679)		(0.00671)		(0.0107)		(0.00583)		(0.00583)		(0.00656)		(0.0100)		(0.00591)		(0.00591)		(0.00686)		(0.0101)		(0.00629)		(0.00629)		(0.00741)		(0.0104)	
educf_7_10	-0.739***		-0.971***		-0.586***		-0.586***		-0.655***		-0.864***		-0.566***		-0.566***		-0.573***		-0.750***		-0.518***		-0.518***		-0.467***		-0.596***		-0.427***		-0.427***		-0.371***		-0.467***	
	(0.00773)		(0.0126)		(0.00619)		(0.00619)		(0.00640)		(0.0102)		(0.00555)		(0.00555)		(0.00656)		(0.0101)		(0.00590)		(0.00590)		(0.00715)		(0.0105)		(0.00655)		(0.00655)		(0.00800)		(0.0113)	
educf_11plus	-1.067***		-1.412***		-0.863***		-0.863***		-0.991***		-1.310***		-0.863***		-0.863***		-0.894***		-1.168***		-0.807***		-0.807***		-0.782***		-0.996***		-0.717***		-0.717***		-0.685***		-0.841***	
	(0.00880)		(0.0142)		(0.00708)		(0.00708)		(0.00779)		(0.0122)		(0.00677)		(0.00677)		(0.00880)		(0.0133)		(0.00793)		(0.00793)		(0.0106)		(0.0153)		(0.00974)		(0.00974)		(0.0131)		(0.0181)	
twin_two_fam	0.608***	0.621***	0.563***	0.579***	0.591***	0.600***	0.591***	0.600***																												
	(0.0194)	(0.0201)	(0.0309)	(0.0325)	(0.0163)	(0.0168)	(0.0163)	(0.0168)																												
twin_three_fam									0.719***	0.747***	0.753***	0.778***	0.702***	0.728***	0.702***	0.728***																				
									(0.0155)	(0.0160)	(0.0244)	(0.0254)	(0.0139)	(0.0143)	(0.0139)	(0.0143)																				
twin_four_fam																	0.776***	0.798***	0.765***	0.789***	0.768***	0.788***	0.768***	0.788***												
																	(0.0146)	(0.0149)	(0.0222)	(0.0228)	(0.0135)	(0.0138)	(0.0135)	(0.0138)												
twin_five_fam																									0.895***	0.911***	0.912***	0.929***	0.876***	0.891***	0.876***	0.891***				
																									(0.0151)	(0.0153)	(0.0216)	(0.0219)	(0.0141)	(0.0143)	(0.0141)	(0.0143)				
twin_six_fam																																	0.976***	0.987***	1.002***	1.015***
																																	(0.0159)	(0.0160)	(0.0220)	(0.0222)
Constant	-0.714	-1.609***	1.315	-0.434	-0.904	-1.838**	-0.904	-1.838**	0.525	-1.155	-0.882	-2.154	0.191	-1.021*	0.191	-1.021*	0.171	-0.898	-2.572*	-3.682**	0.184	-0.779	0.184	-0.779	0.753	-0.0548	-2.729*	-3.921***	2.028**	1.204	2.028**	1.204	2.028*	1.527	-3.240**	-4.004***
	(0.576)	(0.596)	(1.482)	(1.555)	(0.736)	(0.757)	(0.736)	(0.757)	(1.271)	(1.311)	(1.482)	(1.540)	(0.561)	(0.575)	(0.561)	(0.575)	(0.900)	(0.918)	(1.472)	(1.511)	(1.054)	(1.073)	(1.054)	(1.073)	(1.245)	(1.259)	(1.424)	(1.445)	(0.851)	(0.859)	(0.851)	(0.859)	(1.207)	(1.214)	(1.359)	(1.369)
																																				
Observations	273,494	273,494	141,119	141,119	357,298	357,298	357,298	357,298	419,385	419,385	225,015	225,015	495,905	495,905	495,905	495,905	437,451	437,451	247,269	247,269	494,074	494,074	494,074	494,074	394,263	394,263	235,387	235,387	435,823	435,823	435,823	435,823	327,319	327,319	204,125	204,125
