	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	school_zscore	school_zscore	school_zscore	educ	educ	educ	attendance	attendance	attendance	highschool	highschool	highschool	school_zscore	school_zscore	school_zscore	educ	educ	educ	attendance	attendance	attendance	highschool	highschool	highschool	school_zscore	school_zscore	school_zscore	educ	educ	educ	attendance	attendance	attendance	highschool	highschool	highschool
																																				
fert	-0.112***	-0.0750***	-0.0765***	-0.295***	-0.215***	-0.231***	-0.0244***	-0.0138***	-0.0134***	-0.0419***	-0.0281***	-0.0291***	-0.0915***	-0.0606***	-0.0608***	-0.221***	-0.162***	-0.170***	-0.0243***	-0.0156***	-0.0162***	-0.0331***	-0.0226***	-0.0239***	-0.121***	-0.0812***	-0.0874***	-0.300***	-0.208***	-0.226***	-0.0275***	-0.0159***	-0.0157***	-0.0449***	-0.0300***	-0.0318***
	(0.00865)	(0.00607)	(0.00687)	(0.0274)	(0.0194)	(0.0201)	(0.00203)	(0.00189)	(0.00202)	(0.00351)	(0.00256)	(0.00286)	(0.00831)	(0.00721)	(0.00661)	(0.0241)	(0.0208)	(0.0197)	(0.00261)	(0.00218)	(0.00221)	(0.00439)	(0.00356)	(0.00331)	(0.0114)	(0.00800)	(0.00805)	(0.0351)	(0.0248)	(0.0233)	(0.00286)	(0.00294)	(0.00358)	(0.00446)	(0.00329)	(0.00359)
malec	-0.0247	-0.0159	-0.00549	-0.0532	-0.0336	-0.0143	0.0175**	0.0197***	0.0226***	-0.00761	-0.00123	0.000873		0.00535	0.00801		0.0212	0.0254		0.0386***	0.0408***		-0.00241	-0.00360		-0.0264	-0.0153		-0.0473	-0.0268		0.00518	0.00889		-0.000508	0.00342
	(0.0296)	(0.0315)	(0.0259)	(0.0722)	(0.0770)	(0.0648)	(0.00665)	(0.00685)	(0.00722)	(0.0127)	(0.0137)	(0.0148)		(0.0255)	(0.0289)		(0.0503)	(0.0556)		(0.00861)	(0.00941)		(0.00997)	(0.0117)		(0.0454)	(0.0390)		(0.107)	(0.0960)		(0.00950)	(0.0102)		(0.0185)	(0.0211)
agemay	0.0811***	0.0479***	0.0462***	0.0923**	0.0213	0.00213	0.0270***	0.0171**	0.0195***	0.0308***	0.0151***	0.0110*		0.0770***	0.0692***		0.0637	0.0483		0.0283***	0.0267***		0.00780	0.00552		0.0255*	0.0158		-0.0780	-0.101**		0.00438	0.00455		0.0176**	0.00942
	(0.0133)	(0.0138)	(0.0116)	(0.0384)	(0.0411)	(0.0443)	(0.00711)	(0.00668)	(0.00641)	(0.00507)	(0.00521)	(0.00632)		(0.0171)	(0.0146)		(0.0411)	(0.0391)		(0.00869)	(0.00798)		(0.00833)	(0.00495)		(0.0132)	(0.00980)		(0.0501)	(0.0441)		(0.00771)	(0.00799)		(0.00690)	(0.0105)
magesq	-0.000588***	-0.000212	-0.000198	0.000104	0.000914*	0.00116**	-0.000175*	-6.30e-05	-8.99e-05	-0.000217***	-4.04e-05	-3.85e-05		-0.000479**	-0.000386**		0.000443	0.000631		-0.000170	-0.000143		4.22e-05	6.11e-05		3.23e-05	8.96e-05		0.00203***	0.00226***		5.48e-05	5.93e-05		-7.04e-05	-4.41e-05
	(0.000161)	(0.000173)	(0.000142)	(0.000491)	(0.000539)	(0.000551)	(8.97e-05)	(8.48e-05)	(8.11e-05)	(7.15e-05)	(7.74e-05)	(7.92e-05)		(0.000224)	(0.000180)		(0.000627)	(0.000535)		(0.000114)	(0.000106)		(9.69e-05)	(5.07e-05)		(0.000178)	(0.000147)		(0.000713)	(0.000628)		(9.58e-05)	(9.26e-05)		(0.000102)	(0.000132)
agefirstbirth	-0.000811	-0.0121***	-0.0116***	-0.0270***	-0.0492***	-0.0522***	0.00116	-0.00140**	-0.00117**	0.00169*	-0.00280***	-0.00287***		-0.0118***	-0.00993***		-0.0412***	-0.0392***		-0.00329***	-0.00305***		-0.00356***	-0.00323***		-0.0121***	-0.0124***		-0.0408***	-0.0434***		-0.00133**	-0.00132*		-0.00237***	-0.00249***
	(0.00197)	(0.00112)	(0.00145)	(0.00609)	(0.00438)	(0.00471)	(0.000731)	(0.000531)	(0.000538)	(0.000949)	(0.000570)	(0.000594)		(0.00204)	(0.00189)		(0.00540)	(0.00500)		(0.000702)	(0.000846)		(0.000949)	(0.000705)		(0.00133)	(0.00168)		(0.00527)	(0.00594)		(0.000650)	(0.000663)		(0.000672)	(0.000856)
height			0.00471***			0.00963***			0.00144***			0.00183***			0.00566***			0.0106***			0.00176***			0.00194***			0.00434***			0.00964***			0.00124***			0.00179***
			(0.000718)			(0.00190)			(0.000215)			(0.000362)			(0.000684)			(0.00127)			(0.000395)			(0.000292)			(0.00108)			(0.00289)			(0.000210)			(0.000524)
bmi			0.0204***			0.0589***			0.00454***			0.00818***			0.0328***			0.0781***			0.00839***			0.0124***			0.0152***			0.0442***			0.00335***			0.00661***
			(0.00241)			(0.00729)			(0.000884)			(0.00105)			(0.00168)			(0.00440)			(0.00148)			(0.000765)			(0.00267)			(0.0107)			(0.000744)			(0.00135)
educf_1_4		0.317***	0.277***		0.821***	0.701***		0.121***	0.117***		0.109***	0.0944***		0.322***	0.286***		0.722***	0.613***		0.124***	0.124***		0.0992***	0.0754***		0.304***	0.258***		0.851***	0.747***		0.116***	0.108***		0.114***	0.105***
		(0.0293)	(0.0219)		(0.109)	(0.0845)		(0.0127)	(0.0134)		(0.0161)	(0.0169)		(0.0294)	(0.0214)		(0.0921)	(0.0609)		(0.0128)	(0.0118)		(0.0244)	(0.0193)		(0.0476)	(0.0403)		(0.160)	(0.127)		(0.0226)	(0.0236)		(0.0203)	(0.0233)
educf_5_6		0.586***	0.509***		1.399***	1.176***		0.176***	0.169***		0.232***	0.192***		0.606***	0.531***		1.288***	1.074***		0.191***	0.187***		0.214***	0.166***		0.566***	0.481***		1.431***	1.224***		0.163***	0.154***		0.235***	0.200***
		(0.0284)	(0.0277)		(0.105)	(0.0822)		(0.0184)	(0.0203)		(0.0171)	(0.0153)		(0.0443)	(0.0313)		(0.146)	(0.0845)		(0.0180)	(0.0165)		(0.0392)	(0.0281)		(0.0382)	(0.0354)		(0.135)	(0.112)		(0.0293)	(0.0322)		(0.0191)	(0.0178)
educf_7_10		0.800***	0.685***		1.809***	1.479***		0.216***	0.203***		0.320***	0.264***		0.851***	0.750***		1.667***	1.372***		0.244***	0.232***		0.313***	0.255***		0.770***	0.635***		1.869***	1.550***		0.194***	0.178***		0.322***	0.265***
		(0.0347)	(0.0393)		(0.138)	(0.117)		(0.0169)	(0.0178)		(0.0216)	(0.0163)		(0.0695)	(0.0668)		(0.198)	(0.154)		(0.0187)	(0.0175)		(0.0448)	(0.0372)		(0.0428)	(0.0433)		(0.170)	(0.149)		(0.0259)	(0.0270)		(0.0252)	(0.0181)
educf_11plus		0.962***	0.817***		2.019***	1.638***		0.259***	0.246***		0.357***	0.301***		1.297***	1.124***		2.400***	1.908***		0.305***	0.275***		0.460***	0.372***		0.908***	0.749***		2.057***	1.695***		0.236***	0.223***		0.345***	0.292***
		(0.0676)	(0.0852)		(0.164)	(0.170)		(0.0214)	(0.0231)		(0.0304)	(0.0255)		(0.0634)	(0.0739)		(0.198)	(0.208)		(0.0232)	(0.0231)		(0.0377)	(0.0364)		(0.0726)	(0.0862)		(0.183)	(0.186)		(0.0301)	(0.0326)		(0.0349)	(0.0289)
Constant	-2.171***	-1.985***	-3.641***	-0.778	-0.485	-3.621***	-0.301*	-0.292	-0.685***	-0.830***	-0.694***	-0.990***	-3.333***	-2.489***	-3.890***	-4.102***	-2.496***	-5.361***	-0.773***	-0.574***	-1.041***	-0.333*	0.00426	-0.412**	-1.576***	-1.374***	-2.430***	0.248	0.566	-2.015**	0.237	0.236	-0.0591	-0.903***	-0.782***	-0.884***
	(0.319)	(0.327)	(0.411)	(0.664)	(0.707)	(1.047)	(0.174)	(0.175)	(0.206)	(0.129)	(0.127)	(0.143)	(0.317)	(0.340)	(0.330)	(0.576)	(0.664)	(0.757)	(0.192)	(0.191)	(0.208)	(0.174)	(0.171)	(0.150)	(0.331)	(0.319)	(0.436)	(0.889)	(0.901)	(0.918)	(0.162)	(0.162)	(0.210)	(0.169)	(0.163)	(0.234)
																																				
