	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool
														
T_After	-0.0936***	-0.0731***	-0.0582***	-0.0865***	-0.211***	-0.167***	-0.0920	-0.157***	-0.0210**	-0.0117	0.0174	0.00843	-0.0356***	-0.0251***
	(0.0138)	(0.0109)	(0.0203)	(0.0168)	(0.0291)	(0.0206)	(0.0558)	(0.0363)	(0.00979)	(0.00915)	(0.0135)	(0.0135)	(0.00625)	(0.00564)
malec	-0.0183	-0.0105	-0.0183	-0.0105	-0.0279	-0.0101	-0.0281	-0.0102	0.0267**	0.0291**	0.0266**	0.0291**	-0.00519	0.00217
	(0.0325)	(0.0326)	(0.0325)	(0.0326)	(0.0770)	(0.0781)	(0.0769)	(0.0781)	(0.0125)	(0.0124)	(0.0124)	(0.0124)	(0.0174)	(0.0180)
agemay	0.00604	-0.00160	0.00612	-0.00155	0.0114	-0.00667	0.0116	-0.00651	-0.0531*	-0.0598**	-0.0531*	-0.0598**	0.0117**	0.00177
	(0.0118)	(0.0105)	(0.0118)	(0.0105)	(0.0479)	(0.0458)	(0.0480)	(0.0458)	(0.0280)	(0.0285)	(0.0280)	(0.0285)	(0.00495)	(0.00548)
magesq	9.34e-05	0.000295**	8.97e-05	0.000294**	0.000409	0.000862	0.000398	0.000856	0.000189	0.000327	0.000188	0.000327	-0.000103*	5.63e-05
	(0.000132)	(0.000124)	(0.000132)	(0.000124)	(0.000581)	(0.000561)	(0.000582)	(0.000560)	(0.000299)	(0.000308)	(0.000299)	(0.000308)	(5.18e-05)	(6.86e-05)
agefirstbirth	0.0407***	0.0137***	0.0408***	0.0138***	0.0751***	0.0192***	0.0755***	0.0194***	0.0148***	0.00459***	0.0149***	0.00461***	0.0167***	0.00619***
	(0.00377)	(0.00140)	(0.00378)	(0.00140)	(0.0123)	(0.00350)	(0.0124)	(0.00353)	(0.00135)	(0.000944)	(0.00136)	(0.000949)	(0.00191)	(0.000649)
height		0.00507***		0.00507***		0.0101***		0.0101***		0.00235***		0.00235***		0.00193***
		(0.000668)		(0.000668)		(0.00179)		(0.00179)		(0.000508)		(0.000508)		(0.000353)
bmi		0.0186***		0.0186***		0.0504***		0.0503***		0.00600***		0.00599***		0.00759***
		(0.00210)		(0.00210)		(0.00632)		(0.00631)		(0.00132)		(0.00132)		(0.000895)
educf_1_4		0.276***		0.276***		0.690***		0.690***		0.129***		0.129***		0.0976***
		(0.0246)		(0.0246)		(0.0879)		(0.0877)		(0.0170)		(0.0170)		(0.0189)
educf_5_6		0.513***		0.513***		1.169***		1.169***		0.207***		0.206***		0.197***
		(0.0303)		(0.0303)		(0.0863)		(0.0861)		(0.0267)		(0.0267)		(0.0179)
educf_7_10		0.685***		0.685***		1.505***		1.504***		0.250***		0.250***		0.274***
		(0.0401)		(0.0402)		(0.113)		(0.113)		(0.0308)		(0.0308)		(0.0191)
educf_11plus		0.816***		0.816***		1.686***		1.686***		0.310***		0.310***		0.315***
		(0.0934)		(0.0934)		(0.190)		(0.190)		(0.0391)		(0.0391)		(0.0301)
poor1		-0.301***		-0.301***		-0.677***		-0.677***		-0.128***		-0.128***		-0.145***
		(0.0217)		(0.0217)		(0.0484)		(0.0483)		(0.0145)		(0.0145)		(0.0158)
T_AfterXpretwin			-0.0709**	0.00708			-0.231***	-0.0569			-0.0603***	-0.0299**		
			(0.0267)	(0.0203)			(0.0864)	(0.0588)			(0.0136)	(0.0145)		
T_AfterXposttwin			0.0416*	0.0624***			0.108**	0.151***			-0.0295	-0.0219		
			(0.0224)	(0.0206)			(0.0482)	(0.0514)			(0.0205)	(0.0213)		
Constant	-2.806***	-3.596***	-2.806***	-3.596***	-4.326***	-6.192***	-4.325***	-6.192***	2.840***	2.364**	2.841***	2.365**	-1.067***	-1.232***
	(0.322)	(0.419)	(0.322)	(0.419)	(0.784)	(1.013)	(0.784)	(1.013)	(0.851)	(0.885)	(0.850)	(0.885)	(0.157)	(0.175)
														
Observations	796,277	796,277	796,277	796,277	796,656	796,656	796,656	796,656	513,970	513,970	513,970	513,970	396,770	396,770
R-squared	0.035	0.142	0.035	0.142	0.626	0.666	0.626	0.666	0.335	0.361	0.335	0.361	0.348	0.416
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
