	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool
																
T_After	-0.0444***	-0.0430***	0.0261	-0.0333**	-0.140***	-0.137***	0.0440	-0.0877**	0.00126	0.00210	0.0508***	0.0286**	-0.0225***	-0.0177***	0.0203*	-0.00547
	(0.0108)	(0.00973)	(0.0185)	(0.0165)	(0.0250)	(0.0203)	(0.0565)	(0.0365)	(0.00925)	(0.00892)	(0.0137)	(0.0136)	(0.00481)	(0.00497)	(0.0109)	(0.00942)
malec	-0.0169	-0.00983	-0.0170	-0.00988	-0.0256	-0.00909	-0.0258	-0.00919	0.0272**	0.0294**	0.0271**	0.0293**	-0.00455	0.00243	-0.00458	0.00242
	(0.0325)	(0.0327)	(0.0325)	(0.0327)	(0.0773)	(0.0783)	(0.0772)	(0.0783)	(0.0125)	(0.0124)	(0.0124)	(0.0124)	(0.0175)	(0.0180)	(0.0175)	(0.0180)
agemay	0.0672***	0.0371***	0.0678***	0.0373***	0.135***	0.0692	0.136***	0.0697	-0.0336	-0.0498*	-0.0334	-0.0496*	0.0336***	0.0145**	0.0339***	0.0146**
	(0.0117)	(0.0106)	(0.0116)	(0.0106)	(0.0469)	(0.0469)	(0.0468)	(0.0468)	(0.0291)	(0.0287)	(0.0291)	(0.0287)	(0.00663)	(0.00722)	(0.00661)	(0.00720)
magesq	-0.000199	0.000105	-0.000204*	0.000102	-0.000350	0.000315	-0.000361	0.000310	0.000126	0.000306	0.000124	0.000305	-0.000212***	-9.65e-06	-0.000216***	-1.09e-05
	(0.000120)	(0.000124)	(0.000119)	(0.000123)	(0.000578)	(0.000570)	(0.000577)	(0.000570)	(0.000309)	(0.000314)	(0.000310)	(0.000314)	(6.07e-05)	(8.37e-05)	(6.05e-05)	(8.35e-05)
agefirstbirth	-0.00179	-0.0119***	-0.00215	-0.0121***	0.00309	-0.0173***	0.00230	-0.0177***	-0.00120	-0.00437***	-0.00136	-0.00446***	0.00279	-0.00151	0.00262	-0.00157
	(0.00423)	(0.00198)	(0.00420)	(0.00199)	(0.0107)	(0.00497)	(0.0106)	(0.00496)	(0.00157)	(0.00112)	(0.00158)	(0.00114)	(0.00231)	(0.00103)	(0.00228)	(0.00103)
height		0.00501***		0.00501***		0.0100***		0.0100***		0.00233***		0.00233***		0.00191***		0.00191***
		(0.000705)		(0.000706)		(0.00183)		(0.00183)		(0.000518)		(0.000519)		(0.000364)		(0.000365)
bmi		0.0189***		0.0189***		0.0508***		0.0508***		0.00604***		0.00603***		0.00768***		0.00768***
		(0.00213)		(0.00213)		(0.00633)		(0.00633)		(0.00134)		(0.00134)		(0.000905)		(0.000905)
educf_1_4		0.272***		0.271***		0.685***		0.685***		0.127***		0.127***		0.0967***		0.0967***
		(0.0246)		(0.0246)		(0.0867)		(0.0866)		(0.0167)		(0.0167)		(0.0190)		(0.0190)
educf_5_6		0.501***		0.501***		1.155***		1.155***		0.202***		0.202***		0.194***		0.194***
		(0.0294)		(0.0294)		(0.0857)		(0.0855)		(0.0260)		(0.0260)		(0.0178)		(0.0177)
educf_7_10		0.666***		0.666***		1.476***		1.475***		0.243***		0.243***		0.269***		0.269***
		(0.0390)		(0.0390)		(0.113)		(0.113)		(0.0299)		(0.0299)		(0.0191)		(0.0190)
educf_11plus		0.780***		0.780***		1.627***		1.626***		0.299***		0.299***		0.307***		0.307***
		(0.0922)		(0.0921)		(0.191)		(0.190)		(0.0383)		(0.0383)		(0.0299)		(0.0299)
poor1		-0.293***		-0.292***		-0.666***		-0.665***		-0.125***		-0.125***		-0.143***		-0.143***
		(0.0227)		(0.0227)		(0.0500)		(0.0498)		(0.0143)		(0.0143)		(0.0159)		(0.0159)
T_AfterXpretwin			-0.141***	-0.0388*			-0.340***	-0.114*			-0.0887***	-0.0480***			-0.0647***	-0.0204*
			(0.0278)	(0.0214)			(0.0906)	(0.0602)			(0.0141)	(0.0149)			(0.0164)	(0.0111)
T_AfterXposttwin			0.0887***	0.0917***			0.119**	0.123**			0.00449	0.00476			0.0131	0.0160
			(0.0222)	(0.0195)			(0.0507)	(0.0501)			(0.0224)	(0.0235)			(0.0153)	(0.0144)
Constant	-3.258***	-3.889***	-3.258***	-3.889***	-5.340***	-6.879***	-5.339***	-6.878***	2.701***	2.304**	2.695***	2.301**	-1.359***	-1.404***	-1.362***	-1.405***
	(0.334)	(0.414)	(0.334)	(0.414)	(0.793)	(1.000)	(0.793)	(1.000)	(0.861)	(0.888)	(0.861)	(0.888)	(0.168)	(0.174)	(0.168)	(0.174)
																
Observations	796,277	796,277	796,277	796,277	796,656	796,656	796,656	796,656	513,970	513,970	513,970	513,970	396,770	396,770	396,770	396,770
R-squared	0.047	0.147	0.048	0.147	0.629	0.668	0.630	0.668	0.338	0.362	0.338	0.362	0.352	0.417	0.352	0.417
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
