	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance	school_zscore	school_zscore	attendance	attendance
																								
fert	-0.167***	-0.106**	-0.0449**	-0.0534***	-0.142***	-0.0908**	0.0108	0.0234	-0.177***	-0.0695*	-0.0448*	-0.0268	-0.202***	-0.0826**	-0.0179	0.00604	-0.176***	-0.0783*	-0.0211	-0.0117	-0.0729	0.0299	0.0692***	0.0866***
	(0.0494)	(0.0458)	(0.0207)	(0.0192)	(0.0455)	(0.0380)	(0.0208)	(0.0201)	(0.0431)	(0.0370)	(0.0230)	(0.0212)	(0.0548)	(0.0415)	(0.0265)	(0.0226)	(0.0494)	(0.0401)	(0.0244)	(0.0217)	(0.0460)	(0.0402)	(0.0237)	(0.0217)
malec	-0.0761***	-0.0841***	-0.00925***	-0.0109***	-0.0834***	-0.0998***	-0.00223	-0.00650**	-0.0492***	-0.0674***	0.00479	0.000914	-0.0212***	-0.0414***	0.0155***	0.0103***	-0.00203	-0.0179***	0.0142***	0.0106***	0.0316***	0.0216***	0.0389***	0.0355***
	(0.00770)	(0.00788)	(0.00334)	(0.00338)	(0.00597)	(0.00612)	(0.00279)	(0.00283)	(0.00569)	(0.00592)	(0.00295)	(0.00299)	(0.00619)	(0.00641)	(0.00337)	(0.00341)	(0.00640)	(0.00665)	(0.00362)	(0.00364)	(0.00716)	(0.00738)	(0.00418)	(0.00421)
agemay	-0.0287***	0.0128	-0.00599	0.00270	0.0139**	0.0534***	0.0127***	0.0227***	0.0429***	0.0848***	0.0328***	0.0435***	0.0290***	0.0721***	0.0333***	0.0434***	0.0531***	0.0952***	0.0455***	0.0598***	0.0370***	0.0730***	0.0468***	0.0579***
	(0.00836)	(0.00841)	(0.00446)	(0.00443)	(0.00630)	(0.00644)	(0.00372)	(0.00376)	(0.00582)	(0.00601)	(0.00402)	(0.00405)	(0.00673)	(0.00694)	(0.00483)	(0.00488)	(0.00758)	(0.00783)	(0.00548)	(0.00553)	(0.00983)	(0.0101)	(0.00755)	(0.00760)
magesq	0.000545***	4.81e-06	0.000180***	6.89e-05	-2.32e-05	-0.000494***	-7.36e-05	-0.000190***	-0.000271***	-0.000751***	-0.000300***	-0.000420***	-1.66e-05	-0.000507***	-0.000282***	-0.000386***	-0.000278***	-0.000737***	-0.000371***	-0.000534***	-8.02e-05	-0.000480***	-0.000377***	-0.000507***
	(0.000112)	(0.000113)	(6.17e-05)	(6.16e-05)	(8.39e-05)	(8.59e-05)	(5.08e-05)	(5.14e-05)	(7.90e-05)	(8.20e-05)	(5.42e-05)	(5.46e-05)	(8.98e-05)	(9.29e-05)	(6.36e-05)	(6.43e-05)	(9.92e-05)	(0.000103)	(7.01e-05)	(7.07e-05)	(0.000125)	(0.000129)	(9.37e-05)	(9.42e-05)
