	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	school_zscore	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	educ	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool	highschool
																																																								
T_After	-0.136*	-0.0720	-0.0276	-0.0302	-0.0658**	-0.0513*	-0.0455	0.00102	-0.124***	-0.0807**	-0.0367	-0.0177	-0.0975**	-0.0602*	-0.162	-0.105	0.0287	-0.000460	-0.0287	-0.0738	-0.120	0.0226	-0.273***	-0.163**	-0.0733	-0.0217	-0.294***	-0.233***	-0.132**	-0.181***	-0.0433	-0.0688**	-0.0281	-0.0410*	-0.0297	-0.0264	-0.00537	-0.0203	0.0285	0.00957	-0.0266	-0.0118	0.0118	-0.0158	0.0171	0.00721	0.00920	-0.0318*	-0.00986	-0.00531	-0.0447**	-0.0423**	0.0102	0.00756	0.00496	0.00371
	(0.0783)	(0.0662)	(0.0354)	(0.0328)	(0.0333)	(0.0310)	(0.0319)	(0.0284)	(0.0369)	(0.0316)	(0.0347)	(0.0300)	(0.0438)	(0.0361)	(0.146)	(0.125)	(0.0691)	(0.0649)	(0.0764)	(0.0718)	(0.0804)	(0.0681)	(0.0857)	(0.0732)	(0.0896)	(0.0779)	(0.103)	(0.0879)	(0.0514)	(0.0480)	(0.0312)	(0.0296)	(0.0258)	(0.0241)	(0.0242)	(0.0228)	(0.0296)	(0.0278)	(0.0307)	(0.0277)	(0.0400)	(0.0358)	(0.0433)	(0.0349)	(0.0223)	(0.0212)	(0.0199)	(0.0186)	(0.0227)	(0.0182)	(0.0210)	(0.0175)	(0.0215)	(0.0183)	(0.0225)	(0.0183)
malec	-0.0833***	-0.0924***	-0.0799***	-0.0987***	-0.0405***	-0.0647***	0.000370	-0.0266***	0.0294***	0.00491	0.0637***	0.0486***	-0.0142	-0.0266**	-0.185***	-0.213***	-0.174***	-0.225***	-0.0696***	-0.132***	0.0397*	-0.0305	0.154***	0.0909***	0.201***	0.161***	-0.150***	-0.188***	-0.0126**	-0.0141**	-0.00583	-0.0106**	0.00779	0.000865	0.0223***	0.0149**	0.0200**	0.0105	0.0521***	0.0475***	0.0729***	0.0683***	-0.0131***	-0.0206***	-0.0103**	-0.0211***	-8.74e-05	-0.0143***	0.0141***	-0.00139	0.0188***	0.00620	0.0346***	0.0246***	0.0282***	0.0228***
	(0.00887)	(0.00910)	(0.00721)	(0.00743)	(0.00744)	(0.00781)	(0.00861)	(0.00900)	(0.00958)	(0.0101)	(0.0111)	(0.0117)	(0.0122)	(0.0126)	(0.0183)	(0.0191)	(0.0160)	(0.0167)	(0.0182)	(0.0192)	(0.0218)	(0.0228)	(0.0247)	(0.0260)	(0.0300)	(0.0314)	(0.0336)	(0.0346)	(0.00591)	(0.00597)	(0.00505)	(0.00510)	(0.00555)	(0.00563)	(0.00668)	(0.00677)	(0.00811)	(0.00819)	(0.00991)	(0.0100)	(0.0135)	(0.0136)	(0.00506)	(0.00526)	(0.00412)	(0.00426)	(0.00448)	(0.00470)	(0.00518)	(0.00544)	(0.00564)	(0.00591)	(0.00638)	(0.00665)	(0.00680)	(0.00699)
agemay	-0.0497***	-0.0141	0.00414	0.0323***	0.0372***	0.0610***	0.0257***	0.0452***	0.0594***	0.0724***	0.0386***	0.0488***	-0.00616	0.0115	-0.348***	-0.248***	-0.290***	-0.209***	-0.160***	-0.0902***	-0.137***	-0.0883***	-0.00751	0.0226	-0.00781	0.0141	-0.0166	0.0344	0.0191**	0.0297***	0.000895	0.0114	0.0316***	0.0370***	0.0220*	0.0239*	0.0693***	0.0810***	0.103***	0.108***	0.139***	0.140***	-0.00531	0.0158	0.00843	0.0224***	0.0428***	0.0554***	-0.0134*	-0.00255	0.0108	0.0214***	-0.0148	-0.00603	-0.00681	-9.96e-05
	(0.00971)	(0.00973)	(0.00781)	(0.00794)	(0.00761)	(0.00783)	(0.00940)	(0.00958)	(0.0112)	(0.0115)	(0.0147)	(0.0152)	(0.0202)	(0.0206)	(0.0202)	(0.0201)	(0.0157)	(0.0160)	(0.0173)	(0.0180)	(0.0223)	(0.0228)	(0.0270)	(0.0279)	(0.0360)	(0.0372)	(0.0509)	(0.0519)	(0.00970)	(0.00964)	(0.00839)	(0.00844)	(0.00987)	(0.00989)	(0.0123)	(0.0124)	(0.0155)	(0.0156)	(0.0207)	(0.0210)	(0.0306)	(0.0309)	(0.00983)	(0.00997)	(0.00722)	(0.00736)	(0.00707)	(0.00728)	(0.00747)	(0.00764)	(0.00799)	(0.00814)	(0.00901)	(0.00918)	(0.0114)	(0.0114)
magesq	0.000794***	0.000320**	7.49e-05	-0.000281***	-0.000207**	-0.000508***	1.37e-05	-0.000232*	-0.000345**	-0.000525***	-4.37e-05	-0.000195	0.000488*	0.000189	0.00510***	0.00378***	0.00430***	0.00329***	0.00283***	0.00197***	0.00273***	0.00210***	0.00118***	0.000761**	0.00130***	0.000969**	0.00174***	0.000838	-0.000478***	-0.000619***	-0.000461***	-0.000588***	-0.000952***	-0.00102***	-0.000852***	-0.000870***	-0.00131***	-0.00148***	-0.00161***	-0.00170***	-0.00192***	-0.00199***	0.000136	-0.000121	3.22e-06	-0.000173*	-0.000411***	-0.000576***	0.000323***	0.000178*	1.81e-05	-0.000125	0.000347***	0.000237**	0.000242*	0.000123
	(0.000128)	(0.000129)	(0.000102)	(0.000104)	(0.000102)	(0.000106)	(0.000124)	(0.000127)	(0.000146)	(0.000151)	(0.000186)	(0.000193)	(0.000251)	(0.000255)	(0.000288)	(0.000290)	(0.000225)	(0.000230)	(0.000249)	(0.000260)	(0.000311)	(0.000320)	(0.000365)	(0.000379)	(0.000470)	(0.000488)	(0.000642)	(0.000655)	(0.000135)	(0.000135)	(0.000114)	(0.000115)	(0.000131)	(0.000131)	(0.000160)	(0.000160)	(0.000195)	(0.000197)	(0.000255)	(0.000259)	(0.000369)	(0.000373)	(0.000119)	(0.000121)	(8.85e-05)	(9.03e-05)	(8.80e-05)	(9.10e-05)	(9.39e-05)	(9.64e-05)	(0.000100)	(0.000103)	(0.000112)	(0.000115)	(0.000140)	(0.000140)
agefirstbirth	0.000649	0.0124***	0.00209	0.0154***	-0.00682***	0.00222	-0.00569***	0.000144	-0.0143***	-0.0122***	-0.0114***	-0.0105***	-0.00537**	-0.00392	0.0183***	0.0498***	0.0222***	0.0542***	0.00391	0.0254***	-0.00343	0.00923**	-0.0322***	-0.0291***	-0.0245***	-0.0240***	-0.0461***	-0.0455***	3.30e-08	0.00404***	-0.00118	0.00324***	-0.00337***	-5.67e-05	-0.00149	0.00117	-0.00682***	-0.00648***	-0.00767***	-0.00762***	-0.00953***	-0.00853***	0.00288**	0.00816***	0.000581	0.00600***	-0.000909	0.00317***	-0.00230**	-0.000294	-0.00470***	-0.00443***	-0.00250**	-0.00223*	-0.00476***	-0.00523***
	(0.00223)	(0.00226)	(0.00171)	(0.00168)	(0.00163)	(0.00167)	(0.00177)	(0.00184)	(0.00192)	(0.00199)	(0.00223)	(0.00229)	(0.00272)	(0.00277)	(0.00430)	(0.00451)	(0.00337)	(0.00341)	(0.00375)	(0.00385)	(0.00440)	(0.00455)	(0.00487)	(0.00504)	(0.00576)	(0.00593)	(0.00719)	(0.00730)	(0.00143)	(0.00143)	(0.00106)	(0.00105)	(0.00112)	(0.00110)	(0.00139)	(0.00139)	(0.00155)	(0.00155)	(0.00202)	(0.00201)	(0.00273)	(0.00271)	(0.00137)	(0.00142)	(0.000938)	(0.000947)	(0.000957)	(0.000984)	(0.00106)	(0.00109)	(0.00113)	(0.00116)	(0.00125)	(0.00127)	(0.00142)	(0.00142)
height	0.00439***		0.00473***		0.00603***		0.00485***		0.00409***		0.00376***		0.00286**		0.0102***		0.0134***		0.0146***		0.0139***		0.00821***		0.00994***		0.00998***		0.00142***		0.00117***		0.00154***		0.00231***		0.00112		0.00208**		0.00328***		0.00170***		0.00289***		0.00184***		0.00169***		0.00127***		0.000955*		0.000999*	
	(0.000761)		(0.000611)		(0.000617)		(0.000723)		(0.000806)		(0.000937)		(0.00113)		(0.00159)		(0.00140)		(0.00153)		(0.00185)		(0.00212)		(0.00256)		(0.00328)		(0.000488)		(0.000430)		(0.000459)		(0.000567)		(0.000690)		(0.000816)		(0.00119)		(0.000431)		(0.000352)		(0.000380)		(0.000432)		(0.000470)		(0.000531)		(0.000584)	
bmi	0.00727***		0.00921***		0.0131***		0.0162***		0.0154***		0.0151***		0.0195***		0.0270***		0.0323***		0.0422***		0.0481***		0.0504***		0.0464***		0.0497***		-0.000448		-0.000242		0.00158**		0.00285***		0.00279***		0.00169		0.00237		0.00401***		0.00372***		0.00530***		0.00657***		0.00640***		0.00544***		0.00739***	
	(0.00101)		(0.000843)		(0.000834)		(0.00101)		(0.00116)		(0.00133)		(0.00157)		(0.00222)		(0.00187)		(0.00213)		(0.00259)		(0.00306)		(0.00358)		(0.00449)		(0.000711)		(0.000587)		(0.000640)		(0.000786)		(0.000915)		(0.00114)		(0.00158)		(0.000557)		(0.000435)		(0.000471)		(0.000557)		(0.000643)		(0.000747)		(0.000829)	
educf_1_4	0.165***		0.161***		0.266***		0.261***		0.287***		0.337***		0.303***		0.576***		0.479***		0.759***		0.707***		0.761***		0.855***		0.792***		0.0308**		0.0415***		0.0650***		0.0940***		0.118***		0.164***		0.0957***		0.104***		0.0814***		0.111***		0.101***		0.109***		0.113***		0.0763***	
	(0.0206)		(0.0130)		(0.0122)		(0.0133)		(0.0138)		(0.0159)		(0.0200)		(0.0516)		(0.0326)		(0.0300)		(0.0328)		(0.0361)		(0.0414)		(0.0524)		(0.0134)		(0.00981)		(0.00968)		(0.0110)		(0.0133)		(0.0152)		(0.0221)		(0.0141)		(0.00869)		(0.00769)		(0.00812)		(0.00850)		(0.00943)		(0.0107)	
educf_5_6	0.329***		0.324***		0.430***		0.441***		0.524***		0.526***		0.509***		0.964***		0.876***		1.137***		1.140***		1.356***		1.364***		1.326***		0.0726***		0.0885***		0.125***		0.125***		0.171***		0.176***		0.183***		0.153***		0.148***		0.189***		0.189***		0.199***		0.204***		0.173***	
	(0.0183)		(0.0117)		(0.0115)		(0.0138)		(0.0161)		(0.0191)		(0.0249)		(0.0440)		(0.0285)		(0.0288)		(0.0344)		(0.0396)		(0.0499)		(0.0633)		(0.0120)		(0.00882)		(0.00912)		(0.0113)		(0.0141)		(0.0168)		(0.0254)		(0.0117)		(0.00744)		(0.00694)		(0.00824)		(0.00946)		(0.0112)		(0.0130)	
educf_7_10	0.416***		0.437***		0.583***		0.627***		0.659***		0.691***		0.607***		1.218***		1.222***		1.541***		1.579***		1.662***		1.680***		1.537***		0.0967***		0.119***		0.152***		0.177***		0.205***		0.221***		0.253***		0.201***		0.196***		0.249***		0.262***		0.265***		0.264***		0.214***	
	(0.0157)		(0.0105)		(0.0115)		(0.0137)		(0.0169)		(0.0214)		(0.0256)		(0.0386)		(0.0254)		(0.0275)		(0.0340)		(0.0417)		(0.0494)		(0.0695)		(0.00980)		(0.00716)		(0.00832)		(0.0103)		(0.0133)		(0.0165)		(0.0269)		(0.0100)		(0.00629)		(0.00648)		(0.00779)		(0.00923)		(0.0114)		(0.0147)	
educf_11plus	0.503***		0.586***		0.657***		0.725***		0.839***		0.821***		0.810***		1.396***		1.465***		1.645***		1.715***		2.025***		1.865***		1.824***		0.164***		0.191***		0.216***		0.253***		0.280***		0.286***		0.341***		0.222***		0.217***		0.257***		0.282***		0.289***		0.294***		0.250***	
	(0.0160)		(0.0119)		(0.0128)		(0.0175)		(0.0233)		(0.0312)		(0.0388)		(0.0380)		(0.0266)		(0.0301)		(0.0413)		(0.0594)		(0.0780)		(0.121)		(0.0105)		(0.00821)		(0.00941)		(0.0124)		(0.0170)		(0.0270)		(0.0429)		(0.0100)		(0.00674)		(0.00700)		(0.00876)		(0.0117)		(0.0150)		(0.0179)	
poor1	-0.168***		-0.207***		-0.258***		-0.244***		-0.259***		-0.321***		-0.265***		-0.385***		-0.460***		-0.564***		-0.662***		-0.662***		-0.799***		-0.831***		-0.0775***		-0.0680***		-0.107***		-0.0954***		-0.113***		-0.115***		-0.139***		-0.132***		-0.124***		-0.141***		-0.148***		-0.131***		-0.130***		-0.135***	
	(0.0229)		(0.0145)		(0.0131)		(0.0145)		(0.0153)		(0.0173)		(0.0214)		(0.0519)		(0.0335)		(0.0323)		(0.0365)		(0.0393)		(0.0469)		(0.0562)		(0.0113)		(0.00793)		(0.00752)		(0.00822)		(0.00924)		(0.0107)		(0.0165)		(0.0170)		(0.0102)		(0.00900)		(0.00933)		(0.00915)		(0.0104)		(0.0111)	
Constant	-0.683**	-1.308***	-1.480***	-1.455***	-2.833***	-1.351***	-3.159***	-1.612***	-4.587***	-1.908***	-3.568***	-1.147*	-2.791***	-1.645***	1.586***	-1.931***	1.282	1.639*	-1.683**	2.701***	-3.617***	1.537	-5.761***	0.717	-4.909***	1.642	-3.325***	0.126	1.305***	1.362***	2.397***	2.403***	1.492***	1.709***	1.521***	1.994***	0.538	0.727**	-0.636	-0.176	-2.627***	-1.729***	-0.575***	-1.497***	-0.755***	-0.627***	-0.946***	-1.176***	-0.824***	-0.278	-1.311***	-0.508**	-0.741***	0.203	-0.855***	-0.417*
	(0.321)	(0.179)	(0.546)	(0.540)	(0.424)	(0.317)	(0.284)	(0.305)	(0.375)	(0.384)	(0.362)	(0.692)	(0.499)	(0.486)	(0.539)	(0.339)	(0.936)	(0.915)	(0.786)	(0.920)	(0.863)	(0.980)	(0.654)	(0.940)	(0.872)	(1.783)	(1.182)	(1.116)	(0.240)	(0.230)	(0.248)	(0.234)	(0.218)	(0.207)	(0.274)	(0.261)	(0.332)	(0.320)	(0.442)	(0.431)	(0.664)	(0.643)	(0.210)	(0.200)	(0.153)	(0.148)	(0.151)	(0.151)	(0.169)	(0.202)	(0.171)	(0.219)	(0.220)	(0.184)	(0.252)	(0.242)
																																																								
Observations	51,126	51,305	87,647	88,114	88,658	89,306	70,731	71,449	56,630	57,374	41,101	41,736	457,006	457,617	51,142	51,321	87,664	88,131	88,702	89,350	70,766	71,484	56,647	57,391	41,107	41,742	457,012	457,623	37,122	37,174	59,635	59,777	55,986	56,171	42,616	42,825	32,868	33,052	23,095	23,317	443,975	444,160	24,281	24,360	46,147	46,373	47,786	48,139	39,053	39,445	32,489	32,922	24,488	24,864	274,655	275,037
R-squared	0.132	0.082	0.120	0.057	0.125	0.041	0.119	0.040	0.133	0.052	0.136	0.058	0.871	0.859	0.834	0.818	0.779	0.758	0.712	0.681	0.648	0.616	0.611	0.575	0.583	0.549	0.960	0.957	0.623	0.615	0.558	0.549	0.492	0.478	0.437	0.421	0.383	0.365	0.349	0.331	0.994	0.994	0.283	0.227	0.266	0.213	0.294	0.231	0.316	0.257	0.341	0.290	0.357	0.312	0.619	0.596
Robust standard errors in parentheses																																																								
*** p<0.01, ** p<0.05, * p<0.1																																																								
